ClusterID,BirthFrame,DeathFrame,Lifetime
156,4,2,1
450,1,2,1
108,33,5000,4967
325,19,2,1
130,1,2,1
179,1,2,1
283,1,2,1
233,19,2,1
463,5,5000,4995
418,13,2,1
443,4,2,1
275,1,2,1
185,1,2,1
254,5,2,1
296,14,5000,4986
134,1,2,1
491,1,2,1
191,5,2,1
20,1,2,1
240,1,2,1
357,33,5000,4967
239,14,5000,4986
459,4,5000,4996
268,1,2,1
429,1,2,1
389,10,5000,4990
36,3601,5000,1399
430,1,3,2
115,10,5000,4990
340,1,3,2
287,10,3,1
208,1,3,2
17,1,3,2
234,1,3,2
381,12,3,2
358,1,3,2
157,10,3,1
393,1442,5000,3558
446,1442,5000,3558
211,2,3,1
102,10,5000,4990
176,9,5000,4991
378,1,3,2
407,9,5000,4991
35,1,3,2
367,1,4,3
90,1,4,3
422,2,4,2
71,1,4,3
453,1,4,3
382,1,4,3
449,1,4,3
386,2,4,2
257,1,4,3
420,12,5000,4988
297,1,4,3
492,7,5000,4993
354,3,5,2
319,1,5,4
64,4,5,1
165,1,5,4
464,2,5,3
493,11,5000,4989
242,2,5,3
433,11,5000,4989
374,2,5,3
388,1,5,4
390,7,5000,4993
232,1,6,5
348,11,5000,4989
84,2138,5000,2862
363,1,6,5
360,11,5000,4989
237,3,6,3
461,1,6,5
41,3,6,3
288,1,6,5
22,2138,5000,2862
135,1,6,5
498,6,7,1
472,5,7,2
83,16,5000,4984
361,16,5000,4984
34,5,8,3
277,1651,8,7
107,3601,5000,1399
1,1651,8,7
411,1,8,7
258,1,8,7
241,5,8,3
395,4,8,4
245,11,5000,4989
377,1,9,8
404,40,9,8
282,1,9,8
441,40,9,8
451,1,9,8
317,1,9,8
61,12,5000,4988
70,9,10,1
42,9,10,1
401,1,11,10
235,3,11,8
499,1,11,10
220,7,12,5
496,3,12,9
190,3,12,9
132,27,5000,4973
370,1,13,12
59,1,13,12
403,11,14,3
385,1,15,14
85,14,15,1
52,1,15,14
447,1,16,15
293,11,16,5
356,11,16,5
199,12,20,8
148,1,25,24
372,1,25,24
467,1716,5000,3284
93,1716,5000,3284
250,526,5000,4474
267,526,5000,4474
419,3,47,44
82,3,47,44
94,12,783,771
120,2,986,984
424,2,986,984
310,1,1311,1310
280,1,1856,1855
203,1,1856,1855
16,2240,2250,10
186,1,2554,2553
0,1,2554,2553
45,2459,2639,180
243,20,2673,2653
112,20,2673,2653
207,3,3062,3059
352,3,3062,3059
91,1508,3284,1776
55,1508,3284,1776
201,2643,3813,1170
54,2643,3813,1170
252,14,4955,4941
24,14,4955,4941
86,1,5000,4999
89,1,5000,4999
33,5,5000,4995
379,1,5000,4999
271,1,5000,4999
274,1,5000,4999
159,1,5000,4999
202,1,5000,4999
97,2090,5000,2910
104,1,5000,4999
210,3,5000,4997
88,3,5000,4997
128,1,5000,4999
334,1,5000,4999
230,1,5000,4999
285,1,5000,4999
421,5,5000,4995
194,1,5000,4999
25,2,5000,4998
111,1,5000,4999
96,11,5000,4989
73,1,5000,4999
261,1,5000,4999
336,3,5000,4997
53,1,5000,4999
51,1,5000,4999
281,1,5000,4999
87,1,5000,4999
209,1,5000,4999
295,1,5000,4999
437,1,5000,4999
311,1,5000,4999
304,1,5000,4999
62,1,5000,4999
248,1,5000,4999
223,1,5000,4999
231,1,5000,4999
170,11,5000,4989
116,1,5000,4999
380,1,5000,4999
342,1,5000,4999
177,1,5000,4999
69,1,5000,4999
101,1,5000,4999
195,750,5000,4250
442,1,5000,4999
38,1,5000,4999
326,1,5000,4999
174,6,5000,4994
400,2,5000,4998
272,1,5000,4999
308,1,5000,4999
57,1,5000,4999
495,6,5000,4994
14,1,5000,4999
279,1,5000,4999
9,1,5000,4999
473,1,5000,4999
364,1,5000,4999
155,1,5000,4999
249,1,5000,4999
7,2,5000,4998
19,1,5000,4999
396,1,5000,4999
32,9,5000,4991
49,1,5000,4999
238,1,5000,4999
406,1,5000,4999
330,1,5000,4999
384,1,5000,4999
353,1,5000,4999
485,1,5000,4999
236,1,5000,4999
188,1,5000,4999
483,1,5000,4999
163,1,5000,4999
196,1,5000,4999
144,1,5000,4999
2,1,5000,4999
189,1,5000,4999
301,1,5000,4999
412,1,5000,4999
168,1,5000,4999
303,1,5000,4999
173,1,5000,4999
278,1,5000,4999
153,1,5000,4999
138,1,5000,4999
454,1,5000,4999
227,1,5000,4999
344,10,5000,4990
486,1,5000,4999
137,278,5000,4722
397,1,5000,4999
431,1,5000,4999
343,8,5000,4992
99,1,5000,4999
182,1,5000,4999
219,2090,5000,2910
434,1,5000,4999
366,1,5000,4999
369,1,5000,4999
290,1,5000,4999
362,1,5000,4999
225,1,5000,4999
72,1,5000,4999
200,1,5000,4999
312,1,5000,4999
484,1,5000,4999
469,1,5000,4999
113,1,5000,4999
146,1,5000,4999
455,1,5000,4999
318,1,5000,4999
205,1,5000,4999
408,1,5000,4999
217,1,5000,4999
221,1,5000,4999
460,1,5000,4999
490,1,5000,4999
414,1,5000,4999
332,1,5000,4999
322,1,5000,4999
204,1,5000,4999
79,4682,5000,318
109,1,5000,4999
468,1,5000,4999
305,1,5000,4999
216,1,5000,4999
11,1,5000,4999
136,4,5000,4996
394,12,5000,4988
488,1,5000,4999
131,1,5000,4999
333,1,5000,4999
143,1,5000,4999
383,1,5000,4999
126,278,5000,4722
458,1,5000,4999
124,1,5000,4999
21,1,5000,4999
347,1,5000,4999
313,3,5000,4997
292,1,5000,4999
106,1,5000,4999
145,1,5000,4999
10,1,5000,4999
77,25,5000,4975
315,1,5000,4999
58,4,5000,4996
457,1,5000,4999
192,1,5000,4999
482,1,5000,4999
489,1,5000,4999
37,1,5000,4999
193,1,5000,4999
475,1,5000,4999
299,5,5000,4995
392,1,5000,4999
171,1,5000,4999
123,2235,5000,2765
214,1,5000,4999
409,1,5000,4999
180,1,5000,4999
298,1,5000,4999
127,1,5000,4999
487,1,5000,4999
270,1,5000,4999
445,4,5000,4996
139,1,5000,4999
273,1,5000,4999
13,1,5000,4999
60,1,5000,4999
286,1,5000,4999
456,1,5000,4999
133,1,5000,4999
435,1,5000,4999
329,1,5000,4999
365,1,5000,4999
76,750,5000,4250
398,1,5000,4999
474,4251,5000,749
150,1,5000,4999
444,1,5000,4999
39,1,5000,4999
48,1,5000,4999
151,1,5000,4999
118,1,5000,4999
266,1,5000,4999
302,1,5000,4999
65,1,5000,4999
371,1,5000,4999
405,1,5000,4999
399,1,5000,4999
28,1,5000,4999
341,1,5000,4999
350,1,5000,4999
122,1,5000,4999
27,1,5000,4999
8,1,5000,4999
114,1,5000,4999
154,1,5000,4999
175,1,5000,4999
178,1,5000,4999
351,1,5000,4999
426,1,5000,4999
103,1,5000,4999
284,1,5000,4999
213,1,5000,4999
125,9,5000,4991
4,1,5000,4999
331,2,5000,4998
402,1,5000,4999
294,1,5000,4999
181,1,5000,4999
18,1,5000,4999
121,1,5000,4999
226,2235,5000,2765
337,1,5000,4999
47,1,5000,4999
68,3,5000,4997
74,1,5000,4999
183,10,5000,4990
244,1,5000,4999
46,1,5000,4999
479,1,5000,4999
466,1,5000,4999
224,11,5000,4989
417,1,5000,4999
255,1,5000,4999
265,1,5000,4999
