Frame,ClusterID,Charge,BindingEnergy
0,50-129-211,1,8.053445689480953e-05
0,132-440-464,1,0.00048257071713747477
0,160-220-262,2,0.0030388501499997306
10,35-440-464,1,0.0034276262561893167
10,79-191-251,2,0.14220342095447736
10,81-85-376,1,0.00023699944140209074
10,135-470-498,1,0.007594154234612886
10,158-323-429,1,0.016031474707229286
20,75-100-472,2,0.06811416587593
20,79-191-251,2,0.2319429116942702
20,158-323-429,1,0.02619888332403486
20,160-220-381,1,0.2147277867438172
30,35-440-464,1,0.005850282017302428
30,75-100-472,2,0.07514112236218026
30,79-191-251,2,0.2620837004332438
30,158-323-429,1,0.02891504606802562
30,160-220-381,1,0.2405258736483441
40,35-440-464,1,0.006022622500324218
40,75-100-472,2,0.07640364063863894
40,79-191-251,2,0.2666316306000648
40,158-323-429,1,0.029269791090231354
40,160-220-381,1,0.24399488578553735
50,35-440-464,1,0.005917059341399022
50,75-100-472,2,0.07496406158650568
50,79-191-251,2,0.2621906427895753
50,158-323-429,1,0.028657040962155978
50,160-220-381,1,0.23964405897904045
60,35-440-464,1,0.005760369348393185
60,75-100-472,2,0.07270742972612078
60,79-191-251,2,0.254744532376328
60,158-323-429,1,0.027816179367146816
60,160-220-381,1,0.232522665655151
70,35-440-464,1,0.005548947635231671
70,75-100-472,2,0.07030808742032497
70,79-191-251,2,0.24651335529669538
70,158-323-429,1,0.0268905812855934
70,160-220-381,1,0.224865905875339
80,35-440-464,1,0.005358799702528547
80,75-100-472,2,0.06789994527935486
80,79-191-251,2,0.2381975118884863
80,158-323-429,1,0.025954987458447855
80,160-220-381,1,0.21714965730609662
90,35-440-464,1,0.005185857219269823
90,75-100-472,2,0.06555084920457985
90,79-191-251,2,0.23005913567745945
90,158-323-429,1,0.025069491978628428
90,160-220-381,1,0.20956234292658898
100,35-440-464,1,0.004997062895937272
100,75-100-472,2,0.06326943097024508
100,79-191-251,2,0.22217894513933956
100,158-323-429,1,0.024199812990804308
100,160-220-381,1,0.2023494194178456
110,35-440-464,1,0.004821341520649534
110,75-100-472,2,0.06105164313275416
110,79-191-251,2,0.21458466155545936
110,158-323-429,1,0.023357460571688787
110,160-220-381,1,0.19534064453776118
120,35-440-464,1,0.004657257480346972
120,75-100-472,2,0.05896053515100615
120,79-191-251,2,0.20722735413807253
120,158-323-429,1,0.02255605044466339
120,160-220-381,1,0.18853384704591913
130,35-440-464,1,0.004490270080034335
130,75-100-472,2,0.05692522739669048
130,79-191-251,2,0.20017458513601838
130,158-323-429,1,0.021775057051928778
130,160-220-381,1,0.18202670368606733
140,35-440-464,1,0.004328173391181903
140,75-100-472,2,0.05496916599429297
140,79-191-251,2,0.1933483253715347
140,158-323-429,1,0.021029374549358666
140,160-220-381,1,0.17577221094168727
150,35-440-464,1,0.004168013464845166
150,75-100-472,2,0.05307304434719243
150,79-191-251,2,0.18680100652981438
150,158-323-429,1,0.020301311731775823
150,160-220-381,1,0.16974994457746656
160,35-440-464,1,0.004019853838947221
160,75-100-472,2,0.051269603716123255
160,79-191-251,2,0.18049612561598413
160,158-323-429,1,0.019615005526153906
160,160-220-381,1,0.163898483770861
170,35-440-464,1,0.0038776818410013385
170,75-100-472,2,0.04951157493630388
170,79-191-251,2,0.17441935114771928
170,158-323-429,1,0.0189431072081252
170,160-220-381,1,0.15832790690636564
180,35-440-464,1,0.0037545069882417635
180,75-100-472,2,0.04781803154509327
