Frame,ClusterID,FailureReason
100,16-44-45,spin_violation
100,26-378-494,color_ratio_wrong
100,92-235-254,spin_violation
100,167-413-416,color_ratio_wrong
200,16-44-45,spin_violation
200,26-378-494,color_ratio_wrong
200,92-235-254,spin_violation
200,167-413-416,color_ratio_wrong
300,16-44-45,spin_violation
300,26-378-494,color_ratio_wrong
300,92-235-254,spin_violation
300,167-413-416,color_ratio_wrong
400,16-44-45,spin_violation
400,26-378-494,color_ratio_wrong
400,92-235-254,spin_violation
400,167-413-416,color_ratio_wrong
500,16-44-45,spin_violation
500,26-378-494,color_ratio_wrong
500,92-235-254,spin_violation
500,167-413-416,color_ratio_wrong
600,16-44-45,spin_violation
600,26-378-494,color_ratio_wrong
600,92-235-254,spin_violation
600,167-413-416,color_ratio_wrong
700,16-44-45,spin_violation
700,26-378-494,color_ratio_wrong
700,92-235-254,spin_violation
700,167-413-416,color_ratio_wrong
800,16-44-45,spin_violation
800,26-378-494,color_ratio_wrong
800,92-235-254,spin_violation
900,16-44-45,spin_violation
900,26-378-494,color_ratio_wrong
900,92-235-254,spin_violation
1000,16-44-45,spin_violation
1000,26-378-494,color_ratio_wrong
1000,92-235-254,spin_violation
1100,16-44-45,spin_violation
1100,26-378-494,color_ratio_wrong
1100,92-235-254,spin_violation
1200,16-44-45,spin_violation
1200,26-378-494,color_ratio_wrong
1200,92-235-254,spin_violation
1300,16-44-45,spin_violation
1300,26-378-494,color_ratio_wrong
1300,92-235-254,spin_violation
1400,16-44-45,spin_violation
1400,26-378-494,color_ratio_wrong
1400,92-235-254,spin_violation
1500,16-44-45,spin_violation
1500,26-378-494,color_ratio_wrong
1500,92-235-254,spin_violation
1600,16-44-45,spin_violation
1600,26-378-494,color_ratio_wrong
1600,92-235-254,spin_violation
1700,16-44-45,spin_violation
1700,26-378-494,color_ratio_wrong
1700,92-235-254,spin_violation
1800,16-44-45,spin_violation
1800,26-378-494,color_ratio_wrong
1800,92-235-254,spin_violation
1900,16-44-45,spin_violation
1900,26-378-494,color_ratio_wrong
1900,92-235-254,spin_violation
2000,16-44-45,spin_violation
2000,26-378-494,color_ratio_wrong
2000,92-235-254,spin_violation
2100,16-44-45,spin_violation
2100,26-378-494,color_ratio_wrong
2100,92-235-254,spin_violation
2200,26-378-494,color_ratio_wrong
2200,44-199-418,color_ratio_wrong
2200,92-235-254,spin_violation
2300,26-378-494,color_ratio_wrong
2400,26-378-494,color_ratio_wrong
2500,26-378-494,color_ratio_wrong
2500,44-199-418,color_ratio_wrong
2600,26-378-494,color_ratio_wrong
2600,44-199-418,color_ratio_wrong
2700,26-378-494,color_ratio_wrong
2700,44-199-418,color_ratio_wrong
2700,92-235-254,spin_violation
2800,16-45-92,spin_violation
2800,26-378-494,color_ratio_wrong
2800,44-199-418,color_ratio_wrong
2900,16-45-92,spin_violation
2900,26-378-494,color_ratio_wrong
2900,44-199-418,color_ratio_wrong
3000,16-45-92,spin_violation
3000,26-378-494,color_ratio_wrong
3000,44-199-418,color_ratio_wrong
3100,16-45-92,spin_violation
3100,26-378-494,color_ratio_wrong
3100,44-199-418,color_ratio_wrong
3200,16-45-92,spin_violation
3200,26-378-494,color_ratio_wrong
3200,44-199-418,color_ratio_wrong
3300,16-45-92,spin_violation
3300,26-378-494,color_ratio_wrong
3300,44-199-418,color_ratio_wrong
3400,16-45-92,spin_violation
3400,26-378-494,color_ratio_wrong
3400,44-199-418,color_ratio_wrong
3500,16-45-92,spin_violation
3500,26-378-494,color_ratio_wrong
3500,44-199-418,color_ratio_wrong
3600,16-45-92,spin_violation
3600,26-378-494,color_ratio_wrong
3600,44-199-418,color_ratio_wrong
3700,16-45-92,spin_violation
3700,26-378-494,color_ratio_wrong
3700,44-199-418,color_ratio_wrong
3800,16-45-92,spin_violation
3800,26-378-494,color_ratio_wrong
3800,44-199-418,color_ratio_wrong
3900,16-45-92,spin_violation
3900,26-378-494,color_ratio_wrong
3900,44-199-418,color_ratio_wrong
4000,16-45-92,spin_violation
4000,26-378-494,color_ratio_wrong
4000,44-199-418,color_ratio_wrong
4100,16-45-92,spin_violation
4100,26-378-494,color_ratio_wrong
4100,44-199-418,color_ratio_wrong
4200,16-45-92,spin_violation
4200,26-378-494,color_ratio_wrong
4200,44-199-418,color_ratio_wrong
4300,16-45-92,spin_violation
4300,26-378-494,color_ratio_wrong
4300,44-199-418,color_ratio_wrong
4400,16-45-92,spin_violation
4400,26-378-494,color_ratio_wrong
4400,44-199-418,color_ratio_wrong
4500,16-45-92,spin_violation
4500,26-378-494,color_ratio_wrong
4500,44-199-418,color_ratio_wrong
4600,16-45-92,spin_violation
4600,26-378-494,color_ratio_wrong
4600,44-199-418,color_ratio_wrong
4700,16-45-92,spin_violation
4700,26-378-494,color_ratio_wrong
4700,44-199-418,color_ratio_wrong
4800,16-45-92,spin_violation
4800,26-378-494,color_ratio_wrong
4800,44-199-418,color_ratio_wrong
4900,16-45-92,spin_violation
4900,26-378-494,color_ratio_wrong
4900,44-199-418,color_ratio_wrong
