Frame,ClusterID,Charge,BindingEnergy
0,86-132-305,1,44.58924053476794
0,149-246-496,2,44.58613509481094
0,152-254-429,1,44.585840507756835
0,84-158-334,2,44.581750290071575
0,170-308-404,1,44.58293361000439
0,156-173-390,2,44.58360632931349
0,28-200-413,1,44.58546697072894
0,201-346-480,1,44.586874230872645
0,205-211-339,1,162.89899997285025
0,208-289-296,2,44.585815243058946
0,186-212-295,1,44.59065856425203
0,147-237-337,1,44.58751859321789
0,278-343-434,2,40.227310962965134
0,110-279-375,2,44.58813274325248
0,208-273-289,2,44.57900999743449
0,212-295-329,1,44.58497102498097
0,150-170-308,1,40.2254352410128
0,328-332-380,1,44.580601955691115
0,158-334-420,1,44.58289332515786
0,215-278-343,2,44.587556542676204
0,0-358-374,1,40.22728669518797
0,360-364-476,1,44.58743291023124
0,360-364-378,1,40.227515829041664
0,50-379-438,2,44.582813336025986
0,200-413-444,1,40.22718500965183
0,84-334-420,1,44.58573882177786
0,34-140-488,1,44.58234466713337
0,99-149-496,1,44.58347949051362
0,253-453-497,1,44.58828401787379
10,86-132-305,1,44.56813811944607
10,152-254-429,1,44.54744384412874
10,84-158-334,2,44.53163559726832
10,170-308-404,1,44.536311072826514
10,156-173-390,2,44.632357247501886
10,28-200-413,1,44.55414055755594
10,232-360-492,1,44.5874189344394
10,188-234-312,1,44.53944270585837
10,147-237-337,1,44.5684930276018
10,278-343-434,2,40.22118318488784
10,110-279-375,2,44.56609721031139
10,150-170-308,1,40.199802353569865
10,328-332-380,1,44.519099295613735
10,158-334-420,1,44.53289439329371
10,215-278-343,2,44.569237686749446
10,232-285-360,1,40.186135677259905
10,50-379-438,2,44.526604030040104
10,221-400-408,1,44.55679328345562
10,200-413-444,1,40.209602691987264
10,84-334-420,1,44.54408832485728
10,221-408-472,1,44.5202632222192
10,34-140-488,1,44.53444914146127
10,253-453-497,1,44.558870596303436
20,86-132-305,1,44.54875874703869
20,110-153-279,2,44.520878668388356
20,152-254-429,1,44.523141660371536
20,84-158-334,2,44.507537388076855
20,170-308-404,1,44.51318253217837
20,28-200-413,1,44.536256112543626
20,188-234-312,1,44.512063232274855
20,147-237-337,1,44.55417615324781
20,278-343-434,2,40.216318630484146
20,110-279-375,1,44.547984773760184
20,150-170-308,1,40.186836399922576
20,328-332-380,1,44.48930697180089
20,158-334-420,1,44.506977275774226
20,215-278-343,2,44.55518779151541
20,50-379-438,2,44.49606740665617
20,221-400-408,1,44.53702019663113
20,200-413-444,1,40.1976189180918
20,84-334-420,1,44.51770030051918
20,221-408-472,1,44.48589729657808
20,34-140-488,1,44.51131342236064
20,253-453-497,1,44.5364512696722
30,86-132-305,1,44.54061932637062
30,110-153-279,2,44.511099907867276
30,84-158-334,2,44.49850940143119
30,170-308-404,1,44.504307482618366
30,28-200-413,1,44.529207831481706
30,188-234-312,1,44.501018546099246
30,278-343-434,2,40.214270970035486
30,110-279-375,1,44.540471346521926
30,150-170-308,1,40.18182948582926
30,328-332-380,1,44.47793209633974
30,158-334-420,1,44.49705447732664
30,215-278-343,2,44.549385525210035
30,50-379-438,2,44.48416076034698
30,221-400-408,1,44.529021403760424
30,200-413-444,1,40.19273029168109
30,84-334-420,1,44.5072689667539
30,221-408-472,1,44.47256087912163
30,34-140-488,1,44.50240583454141
30,253-453-497,1,44.52711954763418
40,110-153-279,2,44.50738021999915
40,152-254-429,1,44.50953695344197
40,84-158-334,2,44.49517602271965
40,170-308-404,1,44.50096969291367
40,28-200-413,1,44.52654176014307
40,188-234-312,1,44.49678033500837
40,278-343-434,2,40.21346965174423
40,110-279-375,1,44.5375883057401
40,150-170-308,1,40.17991633834679
40,328-332-380,1,44.47364949254334
