Frame,ClusterID,Charge,Lifetime
0,147-237-337,1,-1
0,208-273-289,2,-1
0,253-453-497,1,-1
0,110-279-375,2,-1
0,186-212-295,1,-1
0,0-358-374,1,-1
0,150-170-308,1,-1
0,158-334-420,1,-1
0,170-308-404,1,-1
0,205-211-339,1,-1
0,200-413-444,1,-1
0,84-158-334,2,-1
0,149-246-496,2,-1
0,50-379-438,2,-1
0,278-343-434,2,-1
0,328-332-380,1,-1
0,360-364-476,1,-1
0,84-334-420,1,-1
0,215-278-343,2,-1
0,152-254-429,1,-1
0,201-346-480,1,-1
0,208-289-296,2,-1
0,28-200-413,1,-1
0,360-364-378,1,-1
0,34-140-488,1,-1
0,156-173-390,2,-1
0,99-149-496,1,-1
0,86-132-305,1,-1
0,212-295-329,1,-1
10,232-285-360,1,3
10,147-237-337,1,9
10,221-400-408,1,6
10,253-453-497,1,9
10,110-279-375,2,9
10,221-408-472,1,6
10,150-170-308,1,9
10,158-334-420,1,9
10,170-308-404,1,9
10,232-360-492,1,3
10,200-413-444,1,9
10,84-158-334,2,9
10,188-234-312,1,3
10,50-379-438,2,9
10,278-343-434,2,9
10,328-332-380,1,9
10,84-334-420,1,9
10,215-278-343,2,9
10,152-254-429,1,9
10,28-200-413,1,9
10,34-140-488,1,9
10,156-173-390,2,9
10,86-132-305,1,9
20,147-237-337,1,19
20,221-400-408,1,16
20,253-453-497,1,19
20,110-279-375,1,19
20,221-408-472,1,16
20,150-170-308,1,19
20,158-334-420,1,19
20,170-308-404,1,19
20,200-413-444,1,19
20,84-158-334,2,19
20,188-234-312,1,13
20,50-379-438,2,19
20,278-343-434,2,19
20,328-332-380,1,19
20,84-334-420,1,19
20,215-278-343,2,19
20,152-254-429,1,19
20,110-153-279,2,6
20,28-200-413,1,19
20,34-140-488,1,19
20,86-132-305,1,19
30,221-400-408,1,26
30,253-453-497,1,29
30,110-279-375,1,29
30,221-408-472,1,26
30,150-170-308,1,29
30,158-334-420,1,29
30,170-308-404,1,29
30,200-413-444,1,29
30,84-158-334,2,29
30,188-234-312,1,23
30,50-379-438,2,29
30,278-343-434,2,29
30,328-332-380,1,29
30,84-334-420,1,29
30,215-278-343,2,29
30,110-153-279,2,16
30,28-200-413,1,29
30,34-140-488,1,29
30,86-132-305,1,29
40,221-400-408,1,36
40,253-453-497,1,39
40,110-279-375,1,39
40,221-408-472,1,36
40,150-170-308,1,39
40,158-334-420,1,39
40,170-308-404,1,39
40,200-413-444,1,39
40,84-158-334,2,39
40,188-234-312,1,33
40,50-379-438,2,39
40,278-343-434,2,39
40,328-332-380,1,39
40,84-334-420,1,39
40,215-278-343,2,39
40,152-254-429,1,39
40,110-153-279,2,26
40,28-200-413,1,39
40,34-140-488,1,39
50,200-413-444,1,49
50,84-158-334,2,49
50,188-234-312,1,43
50,110-153-279,2,36
50,110-279-375,1,49
50,50-379-438,2,49
50,221-408-472,1,46
50,28-200-413,1,49
50,278-343-434,2,49
50,221-400-408,1,46
50,84-334-420,1,49
50,34-140-488,1,49
50,253-453-497,1,49
50,150-170-308,1,49
50,158-334-420,1,49
50,170-308-404,1,49
50,215-278-343,2,49
50,152-254-429,1,49
60,200-413-444,1,59
60,84-158-334,2,59
60,188-234-312,1,53
60,110-153-279,2,46
60,110-279-375,1,59
60,50-379-438,2,59
60,221-408-472,1,56
60,28-200-413,1,59
60,278-343-434,2,59
60,221-400-408,1,56
60,84-334-420,1,59
60,34-140-488,1,59
60,253-453-497,1,59
60,150-170-308,1,59
60,158-334-420,1,59
60,170-308-404,1,59
60,215-278-343,2,59
60,152-254-429,1,59
70,221-400-408,1,66
70,253-453-497,1,69
70,110-279-375,1,69
70,221-408-472,1,66
70,150-170-308,1,69
70,158-334-420,1,69
70,170-308-404,1,69
70,200-413-444,1,69
70,84-158-334,2,69
70,188-234-312,1,63
70,50-379-438,2,69
70,278-343-434,2,69
70,84-334-420,1,69
70,215-278-343,2,69
70,152-254-429,1,69
70,110-153-279,2,56
70,28-200-413,1,69
70,70-290-330,2,5
70,34-140-488,1,69
80,221-400-408,1,76
80,253-453-497,1,79
80,110-279-375,1,79
80,221-408-472,1,76
80,150-170-308,1,79
80,158-334-420,1,79
80,170-308-404,1,79
80,200-413-444,1,79
80,84-158-334,2,79
80,188-234-312,1,73
80,50-379-438,2,79
80,278-343-434,2,79
80,84-334-420,1,79
80,215-278-343,2,79
80,152-254-429,1,79
80,110-153-279,2,66
80,28-200-413,1,79
80,70-290-330,2,15
80,34-140-488,1,79
90,221-400-408,1,86
90,253-453-497,1,89
90,110-279-375,1,89
90,221-408-472,1,86
90,150-170-308,1,89
90,158-334-420,1,89
90,170-308-404,1,89
90,200-413-444,1,89
90,84-158-334,2,89
90,188-234-312,1,83
90,50-379-438,2,89
90,278-343-434,2,89
90,84-334-420,1,89
90,215-278-343,2,89
90,152-254-429,1,89
90,110-153-279,2,76
90,28-200-413,1,89
90,70-290-330,2,25
90,34-140-488,1,89
100,221-400-408,1,96
100,253-453-497,1,99
100,110-279-375,1,99
100,221-408-472,2,96
100,150-170-308,1,99
100,158-334-420,1,99
100,170-308-404,1,99
100,200-413-444,1,99
100,84-158-334,2,99
100,188-234-312,1,93
100,50-379-438,2,99
100,278-343-434,2,99
100,84-334-420,1,99
100,215-278-343,2,99
100,152-254-429,1,99
