Frame,ClusterID,FailureReason
100,36-119-402,spin_violation
100,50-72-379,color_ratio_wrong
100,80-164-225,spin_violation
100,86-132-305,color_ratio_wrong
100,86-132-387,spin_violation
100,79-176-177,spin_violation
100,180-371-406,color_ratio_wrong
100,206-222-475,color_ratio_wrong
100,196-239-301,color_ratio_wrong
100,155-240-299,color_ratio_wrong
100,328-332-380,color_ratio_wrong
100,33-95-336,spin_violation
100,51-230-412,spin_violation
200,36-119-402,spin_violation
200,50-72-379,color_ratio_wrong
200,80-164-225,spin_violation
200,86-132-305,color_ratio_wrong
200,86-132-387,spin_violation
200,152-254-429,color_ratio_wrong
200,170-308-404,color_ratio_wrong
200,79-176-177,spin_violation
200,28-200-413,color_ratio_wrong
200,206-222-475,color_ratio_wrong
200,188-234-312,color_ratio_wrong
200,196-239-301,color_ratio_wrong
200,155-240-299,color_ratio_wrong
200,70-290-330,color_ratio_wrong
200,150-170-308,color_ratio_wrong
200,33-95-336,spin_violation
200,51-230-412,spin_violation
200,200-413-444,color_ratio_wrong
200,253-453-497,color_ratio_wrong
300,36-119-402,spin_violation
300,80-164-225,spin_violation
300,86-132-387,spin_violation
300,170-308-404,color_ratio_wrong
300,79-176-177,spin_violation
300,28-200-413,color_ratio_wrong
300,206-222-475,color_ratio_wrong
300,188-234-312,color_ratio_wrong
300,155-240-299,color_ratio_wrong
300,150-170-308,color_ratio_wrong
300,33-95-336,spin_violation
300,51-230-412,spin_violation
300,200-413-444,color_ratio_wrong
300,253-453-497,color_ratio_wrong
400,36-119-402,spin_violation
400,80-164-225,spin_violation
400,86-132-387,spin_violation
400,84-158-334,color_ratio_wrong
400,170-308-404,color_ratio_wrong
400,79-176-177,spin_violation
400,28-200-413,color_ratio_wrong
400,206-222-475,color_ratio_wrong
400,188-234-312,color_ratio_wrong
400,155-240-299,color_ratio_wrong
400,110-279-375,color_ratio_wrong
400,150-170-308,color_ratio_wrong
400,33-95-336,spin_violation
400,51-230-412,spin_violation
400,200-413-444,color_ratio_wrong
400,253-453-497,color_ratio_wrong
500,36-119-402,spin_violation
500,80-164-225,spin_violation
500,86-132-387,spin_violation
500,84-158-334,color_ratio_wrong
500,170-308-404,color_ratio_wrong
500,79-176-177,spin_violation
500,28-200-413,color_ratio_wrong
500,206-222-475,color_ratio_wrong
500,196-239-301,color_ratio_wrong
500,155-240-299,color_ratio_wrong
500,110-279-375,color_ratio_wrong
500,33-95-336,spin_violation
500,51-230-412,spin_violation
500,200-413-444,color_ratio_wrong
500,253-453-497,color_ratio_wrong
600,36-119-402,spin_violation
600,50-72-379,color_ratio_wrong
600,80-164-225,spin_violation
600,110-153-279,color_ratio_wrong
600,86-132-387,spin_violation
600,84-158-334,color_ratio_wrong
600,170-308-404,color_ratio_wrong
600,79-176-177,spin_violation
600,180-371-406,color_ratio_wrong
600,28-200-413,color_ratio_wrong
600,206-222-475,color_ratio_wrong
600,155-240-299,color_ratio_wrong
