Frame,ClusterID,Charge,BindingEnergy
0,16-229-383,1,162.90072537618718
0,21-74-142,2,40.2248274651185
0,24-135-478,2,44.58466032771759
0,27-40-173,1,40.227472570859156
0,29-116-370,2,44.588301304443306
0,151-182-187,2,44.58725504159991
0,169-290-475,1,44.58719658144916
0,115-151-187,2,40.22785139308174
0,53-206-294,1,40.22740823984273
0,213-420-445,1,44.58683857248602
0,7-61-227,1,44.58075234917674
0,135-172-314,2,44.58447216288046
0,90-150-341,1,44.58666379880075
0,29-197-370,2,40.22995695593586
0,388-411-447,2,44.5839479826441
0,267-371-416,1,44.58209866275215
0,49-165-430,1,44.58612871609718
0,260-436-497,2,40.22429708490411
0,87-169-475,1,44.59121459739748
0,124-147-482,1,44.58208610541573
0,200-343-493,2,44.583560287181506
0,122-437-495,1,44.586084670554335
0,432-491-498,1,44.58891188856673
10,24-135-478,2,44.535904122999405
10,29-116-370,2,44.56981795750324
10,151-182-187,2,44.56547877589079
10,169-290-475,1,44.54292669352655
10,115-151-187,2,40.22095666675629
10,53-206-294,1,40.209325167890434
10,14-207-268,1,40.218018767748575
10,7-61-227,1,44.5244372009658
10,135-172-314,2,44.53658120846921
10,90-150-341,1,44.554955807928565
10,29-197-370,2,40.22641111141727
10,388-411-447,2,44.53588818750946
10,267-371-416,1,44.525713398162424
10,262-424-486,2,44.53820402708349
10,49-165-430,1,44.54496171968244
10,260-436-497,2,40.195779880101576
10,87-169-475,1,44.56437816624198
10,124-147-482,1,44.5295497777305
10,200-343-493,2,44.53528132268994
10,122-437-495,1,44.554611448406895
10,432-491-498,1,44.554720220979085
20,24-135-478,2,44.507005921508835
20,29-116-370,2,44.555640789337126
20,151-182-187,2,44.55034504488546
20,2-159-315,1,44.57221685988463
20,169-290-475,1,44.513011442877186
20,115-151-187,2,40.2148021097612
20,53-206-294,1,40.19747266511524
20,14-207-268,1,40.21456464119002
20,7-61-227,1,44.49903390187913
20,135-172-314,2,44.50776337179793
20,90-150-341,1,44.533559483425634
20,29-197-370,2,40.21868145462855
20,388-411-447,2,44.50919800178714
20,267-371-416,1,44.49635132450707
20,262-424-486,2,44.50968699299123
20,49-165-430,1,44.51835997072696
20,260-436-497,2,40.182394005771606
20,87-169-475,1,44.53923424299473
20,124-147-482,1,44.503279492808225
20,200-343-493,2,44.50851431404463
20,122-437-495,1,44.534390642982764
20,432-491-498,1,44.52697053074282
30,24-135-478,2,44.49557514640355
30,29-116-370,2,44.5498434786556
30,151-182-187,2,44.54422872301396
30,2-159-315,1,44.56638426357714
30,169-290-475,1,44.50095040324164
30,115-151-187,2,40.21219524773759
30,53-206-294,2,40.192759021556334
30,14-207-268,1,40.21321979200558
30,7-61-227,1,44.48951568095185
30,135-172-314,2,44.49625593984825
30,90-150-341,1,44.524835316142344
30,29-197-370,2,40.2152279496296
30,388-411-447,2,44.49865612794489
30,267-371-416,1,44.484878019914014
30,262-424-486,2,44.49836324881634
30,49-165-430,1,44.50768624000265
30,260-436-497,2,40.17730799928557
30,87-169-475,1,44.52874977682901
30,124-147-482,1,44.49306204540082
30,200-343-493,2,44.49794749843997
30,122-437-495,2,44.52622167566502
30,432-491-498,1,44.515341580609864
40,24-135-478,2,44.491240303044364
40,29-116-370,2,44.547634991915665
40,151-182-187,2,44.54190035514352
40,2-159-315,1,44.56402842150723
40,169-290-475,1,44.496279064498154
40,115-151-187,2,40.211178997679184
40,12-197-370,2,44.57869248626602
40,53-206-294,2,40.190967191684166
40,14-207-268,1,40.212657006345914
40,7-61-227,1,44.485970979836004
40,135-172-314,2,44.49183942846104
40,90-150-341,1,44.521495387133264
40,29-197-370,2,40.21385670886773
40,388-411-447,2,44.494655718012176
40,267-371-416,1,44.480510489149985
40,262-424-486,2,44.49406461512859
40,49-165-430,1,44.503624302789106
40,260-436-497,2,40.17538617535022
40,87-169-475,1,44.524719892250296
40,124-147-482,1,44.48920014155754
40,200-343-493,2,44.49393823860121
40,122-437-495,2,44.523105579928796
40,432-491-498,1,44.510832527433905
50,0-302-435,1,44.52217032671089
50,24-135-478,2,44.489450344043206
50,27-65-173,1,44.51550143823015
50,29-116-370,2,44.546733525174794
50,38-141-389,1,44.857907488890916
50,151-182-187,2,44.54094771925659
50,2-159-315,1,44.562999441956556
50,169-290-475,1,44.49425199741766
50,115-151-187,2,40.210750534539116
50,12-197-370,2,44.57800347312582
50,53-206-294,2,40.19021850434897
50,14-207-268,1,40.2123718569855
50,7-61-227,1,44.4845229278247
50,135-172-314,2,44.48997231992779
50,90-150-341,1,44.52012829423647
50,29-197-370,2,40.21326767761474
50,388-411-447,2,44.493021296114605
50,106-141-389,1,44.91311558431014
50,267-371-416,1,44.47868730966731
50,262-424-486,2,44.49229208761183
50,49-165-430,1,44.50195461768895
50,260-436-497,2,40.17458427920527
50,87-169-475,1,44.52303051875597
50,124-147-482,1,44.48762439361715
50,200-343-493,2,44.49230103557336
50,122-437-495,2,44.521834707707114
50,432-491-498,1,44.508957720038815
60,0-302-435,1,44.52152600684723
60,24-135-478,2,44.48854874430418
60,27-65-173,1,44.51451592672078
60,29-116-370,2,44.546289364119275
60,38-141-389,1,44.855467747698206
60,151-182-187,2,44.540476930129856
60,2-159-315,1,44.56244641970001
60,169-290-475,1,44.4931557958507
60,115-151-187,2,40.21052984822505
60,12-197-370,2,44.577653769126535
60,53-206-294,1,40.18983326854716
60,14-207-268,1,40.212185442953896
60,7-61-227,1,44.48380067809502
60,135-172-314,2,44.48899897891172
60,90-150-341,1,44.5194560868512
60,29-197-370,2,40.21295670656118
60,388-411-447,2,44.49221681573665
60,106-141-389,1,44.910988470092114
60,267-371-416,1,44.47775382886205
60,262-424-486,2,44.491401912508515
60,49-165-430,1,44.501121967861785
60,260-436-497,2,40.17417286211543
60,87-169-475,1,44.52216038753891
60,124-147-482,1,44.48684904705592
60,200-343-493,2,44.4914956812392
60,122-437-495,2,44.5212130133422
60,432-491-498,1,44.50801453713525
70,0-302-435,1,44.52110674161914
70,24-135-478,2,44.487963093955806
70,29-116-370,2,44.54600625567892
70,38-141-389,1,44.852227911577465
70,151-182-187,2,44.54017586605971
70,2-159-315,1,44.56206323723403
70,169-290-475,1,44.492406752546316
70,115-151-187,2,40.210383372462566
70,12-197-370,2,44.57742506511872
70,53-206-294,1,40.189578962734814
70,14-207-268,1,40.212035705998886
70,135-172-314,2,44.48834697685611
70,90-150-341,1,44.51902777256165
70,29-197-370,2,40.212746028771576
70,388-411-447,2,44.491703225783574
70,106-141-389,1,44.907915592146765
70,267-371-416,2,44.47713565191431
70,262-424-486,2,44.49082468483598
70,49-165-430,1,44.50058464354235
70,260-436-497,2,40.173900051138936
70,87-169-475,1,44.52158777443549
70,124-147-482,1,44.48635411969012
70,200-343-493,2,44.49098191255022
70,122-437-495,2,44.520818932295604
70,432-491-498,1,44.50739956330085
80,0-302-435,1,44.52077205208821
80,24-135-478,2,44.48749832656801
80,29-116-370,2,44.54578287092599
80,38-141-389,1,44.848917231901716
80,151-182-187,2,44.53993751393816
80,2-159-315,1,44.56174308894675
80,169-290-475,1,44.49180742541774
80,115-151-187,2,40.21026519714369
80,12-197-370,2,44.57724148581188
80,53-206-294,1,40.1893770719039
80,14-207-268,1,40.211901235335326
80,135-172-314,2,44.487821051967515
80,90-150-341,1,44.51868713638367
80,29-197-370,2,40.21257458754434
80,388-411-447,2,44.49129431755708
80,106-141-389,1,44.90471982916526
80,267-371-416,2,44.47663597135615
80,262-424-486,2,44.4903661099231
80,49-165-430,1,44.50015716721339
80,260-436-497,2,40.17367966551317
80,87-169-475,1,44.52113655981422
80,124-147-482,1,44.485960093216995
