Frame,SpinFlips,ColorFlips,DT,KineticEnergy,PotentialEnergy,HamiltonianEnergy
0,0,0,0.000901,0.079634,-2950942390915.6436,-2950942390915.564
1,0,2,0.000811,0.100964,-25743530240.27156,-25743530240.170597
2,0,1,0.00073,0.146158,-2509969376.096765,-2509969375.950607
3,0,2,0.000657,0.207686,-551323392.901559,-551323392.693872
4,0,0,0.000592,0.279815,-184258196.942265,-184258196.66245
5,0,1,0.000533,0.358201,-79619072.762635,-79619072.404434
6,0,1,0.00048,0.43969,-40902056.79231,-40902056.352619
7,0,1,0.000432,0.521824,-23783976.715833,-23783976.194009
8,0,0,0.000389,0.60286,-15174224.062411,-15174223.459551
9,0,0,0.00035,0.681549,-10400825.12524,-10400824.443691
10,0,0,0.000316,0.757043,-7545720.106668,-7545719.349625
11,0,1,0.000284,0.828292,-5731445.081868,-5731444.253576
12,0,1,0.000256,0.895387,-4520716.100127,-4520715.20474
13,0,2,0.000231,0.958174,-3679248.514219,-3679247.556045
14,0,0,0.000208,1.016618,-3074249.183793,-3074248.167175
15,0,2,0.000187,1.07078,-2626648.930648,-2626647.859868
16,0,0,0.000169,1.120772,-2287345.445877,-2287344.325105
17,0,1,0.000152,1.166776,-2024719.213901,-2024718.047125
18,0,0,0.000137,1.208993,-1817754.913002,-1817753.704009
19,0,2,0.000123,1.247643,-1652091.861752,-1652090.614109
20,0,1,0.000111,1.282953,-1517672.700619,-1517671.417667
21,0,1,0.0001,1.315153,-1407298.03117,-1407296.716017
22,0,1,9.1e-05,1.34447,-1315712.256673,-1315710.912203
23,0,1,8.2e-05,1.371124,-1239010.436732,-1239009.065607
24,0,1,7.4e-05,1.395326,-1174244.470157,-1174243.074831
25,0,1,6.7e-05,1.417277,-1119156.116474,-1119154.699197
26,0,1,6e-05,1.437167,-1071992.542524,-1071991.105357
27,0,0,5.4e-05,1.455172,-1031376.660834,-1031375.205662
28,0,0,4.9e-05,1.471459,-996214.526587,-996213.055128
29,0,0,4.4e-05,1.48618,-965628.229137,-965626.742957
30,0,2,4e-05,1.499476,-938906.599377,-938905.099901
31,0,5,3.6e-05,1.511479,-915468.548406,-915467.036927
32,0,2,3.3e-05,1.522308,-894835.482513,-894833.960205
33,0,0,3e-05,1.532074,-876610.321725,-876608.789652
34,0,3,2.7e-05,1.540875,-860461.378864,-860459.837988
35,0,0,2.5e-05,1.548805,-846109.855106,-846108.306301
36,0,0,2.2e-05,1.555946,-833320.053851,-833318.497905
