Frame,KE,StableProtons,UnstableParticles,NewBorn,Dissolved,SpinFlips,ColorFlips,AvgClusterSize,MinClusterSize,MaxClusterSize,MinDistance,MaxDistance,MeanDistance,KELossRadiative
0,0.07969,20,50,23,0,0,0,0.5,0,3,2e-05,10.18038,4.26784,5e-05
1,0.10102,21,50,2,0,0,2,0.49,0,3,0.0001,10.18035,4.26811,6e-05
2,0.14623,21,50,0,0,0,1,0.49,0,3,0.37491,10.18033,4.26784,7e-05
3,0.20777,21,47,0,0,0,2,0.48,0,3,0.37484,10.1803,4.2677,9e-05
4,0.27992,21,47,0,0,0,0,0.48,0,3,0.37477,10.18027,4.2677,0.00011
5,0.35834,22,47,1,1,0,1,0.47,0,3,0.37469,10.18025,4.26796,0.00014
6,0.43977,20,47,0,0,0,1,0.46,0,3,0.37461,10.18023,4.26838,8e-05
7,0.52191,20,47,0,0,0,1,0.46,0,3,0.37454,10.1802,4.26865,8e-05
8,0.60295,19,47,0,0,0,0,0.46,0,3,0.37446,10.18018,4.26834,9e-05
9,0.68165,19,47,0,0,0,0,0.46,0,3,0.37438,10.18016,4.26834,0.0001
10,0.75714,18,47,0,0,0,0,0.46,0,3,0.37431,9.97824,4.268,9e-05
11,0.82887,18,47,0,0,0,1,0.46,0,3,0.37425,9.97826,4.26772,0.00058
12,0.89600,18,47,0,0,0,1,0.46,0,3,0.37418,9.97827,4.26772,0.00062
13,0.95883,18,47,0,0,0,2,0.46,0,3,0.37412,9.97828,4.26771,0.00065
14,1.01730,18,47,0,0,0,0,0.46,0,3,0.37407,9.97829,4.26771,0.00069
15,1.07150,18,47,0,0,0,2,0.46,0,3,0.37402,9.97831,4.26774,0.00071
16,1.12152,19,47,1,0,0,0,0.46,0,3,0.37397,9.97832,4.26797,0.00075
17,1.16755,19,47,0,0,0,1,0.46,0,3,0.37393,9.97833,4.26797,0.00078
18,1.20979,19,47,0,0,0,0,0.46,0,3,0.37389,9.97834,4.26797,0.0008
19,1.24846,19,47,0,0,0,2,0.46,0,3,0.37386,9.97834,4.26797,0.00082
20,1.28378,19,47,0,0,0,1,0.46,0,3,0.37382,9.97835,4.2679,0.00083
21,1.31600,19,47,0,0,0,1,0.46,0,3,0.37379,9.97836,4.2679,0.00085
22,1.34533,19,47,0,0,0,1,0.46,0,3,0.37377,9.97836,4.2679,0.00086
23,1.37199,19,47,0,0,0,1,0.46,0,3,0.37374,9.97837,4.2679,0.00087
24,1.39620,19,47,0,0,0,1,0.46,0,3,0.37372,9.97837,4.2679,0.00088
25,1.41816,19,47,0,0,0,1,0.46,0,3,0.3737,9.97838,4.2679,0.00089
26,1.43806,19,47,0,0,0,1,0.46,0,3,0.37368,9.97838,4.26789,0.00089
27,1.45607,19,47,0,0,0,0,0.46,0,3,0.37367,9.97839,4.26789,0.0009
28,1.47236,19,47,0,0,0,0,0.46,0,3,0.37365,9.97839,4.26789,0.0009
29,1.48708,19,47,0,0,0,0,0.46,0,3,0.37364,9.97839,4.26789,0.0009
30,1.50038,19,47,0,0,0,2,0.46,0,3,0.37363,9.9784,4.26789,0.0009
31,1.51238,19,47,0,0,0,5,0.46,0,3,0.37361,9.9784,4.26789,0.0009
32,1.52321,19,47,0,0,0,2,0.46,0,3,0.3736,9.9784,4.26789,0.0009
33,1.53298,19,47,0,0,0,0,0.46,0,3,0.3736,9.97841,4.26789,0.0009
34,1.54178,20,44,1,0,0,3,0.46,0,3,0.37359,9.97841,4.26789,0.0009
35,1.54971,20,44,0,0,0,0,0.46,0,3,0.37358,9.97841,4.26789,0.0009
36,1.55684,20,44,0,0,0,0,0.46,0,3,0.37357,9.97841,4.26789,0.0009
37,1.56327,20,44,0,0,0,0,0.46,0,3,0.37357,9.97841,4.26789,0.0009
38,1.56905,20,44,0,0,0,4,0.46,0,3,0.37356,9.97841,4.26789,0.00089
39,1.57425,20,44,0,0,0,1,0.46,0,3,0.37356,9.97841,4.26789,0.00089
40,1.57893,20,44,0,0,0,2,0.46,0,3,0.37355,9.97842,4.26788,0.00089
41,1.58313,20,44,0,0,0,1,0.46,0,3,0.37355,9.97842,4.26788,0.00088
42,1.58691,20,44,0,0,0,2,0.46,0,3,0.37354,9.97842,4.26788,0.00088
43,1.59031,20,44,0,0,0,2,0.46,0,3,0.37354,9.97842,4.26788,0.00087
44,1.59335,20,44,0,0,0,2,0.46,0,3,0.37354,9.97842,4.26788,0.00087
45,1.59609,20,44,0,0,0,1,0.46,0,3,0.37353,9.97842,4.26788,0.00086
46,1.59855,20,44,0,0,0,2,0.46,0,3,0.37353,9.97842,4.26788,0.00086
47,1.60075,20,44,0,0,0,0,0.46,0,3,0.37353,9.97842,4.26788,0.00085
48,1.60273,20,44,0,0,0,1,0.46,0,3,0.37353,9.97842,4.26788,0.00085
49,1.60451,21,43,1,0,0,3,0.46,0,3,0.37352,9.97842,4.26788,0.00084
50,1.60610,23,39,3,0,0,2,0.47,0,3,0.37352,9.97842,4.26793,0.00087
51,1.60751,23,39,0,0,0,0,0.47,0,3,0.37352,9.97842,4.26793,0.00086
52,1.60876,23,39,0,0,0,0,0.47,0,3,0.37352,9.97842,4.26793,0.00085
53,1.60988,23,39,0,0,0,0,0.47,0,3,0.37352,9.97843,4.26793,0.00085
54,1.61089,23,39,0,0,0,0,0.47,0,3,0.37351,9.97843,4.26793,0.00084
55,1.61179,23,39,0,0,0,0,0.47,0,3,0.37351,9.97843,4.26793,0.00084
56,1.61259,23,39,0,0,0,2,0.47,0,3,0.37351,9.97843,4.26793,0.00083
57,1.61331,23,39,0,0,0,4,0.47,0,3,0.37351,9.97843,4.26793,0.00083
58,1.61396,23,39,0,0,0,1,0.47,0,3,0.37351,9.97843,4.26793,0.00082
59,1.61453,23,39,0,0,0,0,0.47,0,3,0.37351,9.97843,4.26793,0.00082
60,1.61505,23,39,0,0,0,1,0.47,0,3,0.37351,9.97843,4.26793,0.00081
61,1.61551,23,39,0,0,0,0,0.47,0,3,0.37351,9.97843,4.26793,0.00081
62,1.61593,23,39,0,0,0,2,0.47,0,3,0.37351,9.97843,4.26793,0.0008
63,1.61630,23,39,0,0,0,0,0.47,0,3,0.3735,9.97843,4.26793,0.00079
64,1.61663,21,43,0,0,0,2,0.47,0,3,0.3735,9.97843,4.26793,0.00079
65,1.61693,21,43,0,0,0,0,0.47,0,3,0.3735,9.97843,4.26793,0.00078
66,1.61720,21,43,0,0,0,2,0.47,0,3,0.3735,9.97843,4.26793,0.00078
67,1.61744,21,43,0,0,0,1,0.47,0,3,0.3735,9.97843,4.26793,0.00077
68,1.61767,21,43,0,0,0,0,0.47,0,3,0.3735,9.97843,4.26793,0.00077
69,1.61787,21,43,0,0,0,0,0.47,0,3,0.3735,9.97843,4.26793,0.00076
70,1.61805,21,43,0,0,0,1,0.47,0,3,0.3735,9.97843,4.26793,0.00076
71,1.61822,21,43,0,0,0,0,0.47,0,3,0.3735,9.97843,4.26793,0.00075
72,1.61837,21,43,0,0,0,2,0.47,0,3,0.3735,9.97843,4.26793,0.00075
73,1.61851,21,43,0,0,0,1,0.47,0,3,0.3735,9.97843,4.26793,0.00074
74,1.61864,21,43,0,0,0,0,0.47,0,3,0.3735,9.97843,4.26793,0.00074
75,1.61877,21,43,0,0,0,1,0.47,0,3,0.3735,9.97843,4.26793,0.00073
76,1.61889,21,43,0,0,0,0,0.47,0,3,0.3735,9.97843,4.26793,0.00073
77,1.61900,21,43,0,0,0,2,0.47,0,3,0.37349,9.97843,4.26793,0.00072
78,1.61910,21,43,0,0,0,2,0.47,0,3,0.37349,9.97843,4.26793,0.00072
79,1.61920,21,43,0,0,0,2,0.47,0,3,0.37349,9.97843,4.26793,0.00071
80,1.61930,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00071
81,1.61940,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.0007
82,1.61949,21,43,0,0,0,2,0.47,0,3,0.37349,9.97843,4.26793,0.0007
83,1.61959,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00069
84,1.61968,21,43,0,0,0,4,0.47,0,3,0.37349,9.97843,4.26793,0.00069
85,1.61977,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00068
86,1.61987,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00068
87,1.61996,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00067
88,1.62006,21,43,0,0,0,1,0.47,0,3,0.37349,9.97843,4.26793,0.00067
89,1.62016,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00066
90,1.62026,21,43,0,0,0,1,0.47,0,3,0.37349,9.97843,4.26793,0.00066
91,1.62036,21,43,0,0,0,2,0.47,0,3,0.37349,9.97843,4.26793,0.00065
92,1.62046,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00065
93,1.62057,21,43,0,0,0,2,0.47,0,3,0.37349,9.97843,4.26793,0.00065
94,1.62068,21,43,0,0,0,0,0.47,0,3,0.37349,9.97843,4.26793,0.00064
95,1.62079,21,43,0,0,0,1,0.47,0,3,0.37349,9.97843,4.26793,0.00064
96,1.62090,21,43,0,0,0,3,0.47,0,3,0.37348,9.97843,4.26793,0.00063
97,1.62102,21,43,0,0,0,1,0.47,0,3,0.37348,9.97843,4.26793,0.00063
98,1.62114,21,43,0,0,0,1,0.47,0,3,0.37348,9.97843,4.26793,0.00062
99,1.62126,21,46,0,0,0,1,0.47,0,3,0.37348,9.97843,4.26793,0.00062
100,1.62139,21,46,0,0,0,0,0.47,0,3,0.37348,9.97843,4.26793,0.00061
101,1.62152,21,46,0,0,0,1,0.47,0,3,0.37348,9.97843,4.26793,0.00061
102,1.62166,21,46,0,0,0,2,0.47,0,3,0.37348,9.97844,4.26793,0.00061
103,1.62179,21,46,0,0,0,1,0.47,0,3,0.37348,9.97844,4.26793,0.0006
104,1.62193,21,46,0,0,0,1,0.47,0,3,0.37348,9.97844,4.26793,0.0006
105,1.62208,21,46,0,0,0,4,0.47,0,3,0.37348,9.97844,4.26793,0.00059
106,1.62223,21,46,0,0,0,1,0.47,0,3,0.37348,9.97844,4.26793,0.00059
107,1.62238,21,46,0,0,0,1,0.47,0,3,0.37348,9.97844,4.26793,0.00059
108,1.62253,20,49,0,0,0,3,0.47,0,3,0.37348,9.97844,4.26793,0.00058
109,1.62269,20,49,0,0,0,2,0.47,0,3,0.37348,9.97844,4.26793,0.00058
110,1.62285,21,48,1,0,0,3,0.47,0,3,0.37348,9.97844,4.26793,0.00057
111,1.62302,21,48,0,0,0,2,0.47,0,3,0.37348,9.97844,4.26793,0.00057
112,1.62319,21,48,0,0,0,1,0.47,0,3,0.37348,9.97844,4.26793,0.00057
113,1.62336,22,47,1,0,0,1,0.47,0,3,0.37348,9.97844,4.26793,0.00056
114,1.62354,22,47,0,0,0,0,0.47,0,3,0.37348,9.97844,4.26793,0.00056
115,1.62372,22,47,0,0,0,0,0.47,0,3,0.37348,9.97844,4.26793,0.00055
116,1.62390,22,47,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00055
117,1.62409,22,47,0,0,0,1,0.47,0,3,0.37347,9.97844,4.26793,0.00055
118,1.62428,22,47,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00054
119,1.62448,22,47,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00054
120,1.62468,22,47,0,0,0,1,0.47,0,3,0.37347,9.97844,4.26793,0.00054
121,1.62488,22,47,0,0,0,1,0.47,0,3,0.37347,9.97844,4.26793,0.00053
122,1.62509,22,47,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00053
123,1.62529,22,47,0,0,0,1,0.47,0,3,0.37347,9.97844,4.26793,0.00053
124,1.62551,22,47,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00052
125,1.62572,22,47,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00052
126,1.62594,22,47,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00052
127,1.62617,21,50,0,0,0,2,0.47,0,3,0.37347,9.97844,4.26793,0.00051
128,1.62639,21,50,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00051
129,1.62662,21,50,0,0,0,1,0.47,0,3,0.37347,9.97844,4.26793,0.0005
130,1.62685,21,50,0,0,0,1,0.47,0,3,0.37347,9.97844,4.26793,0.0005
131,1.62709,21,50,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.0005
132,1.62733,21,50,0,0,0,2,0.47,0,3,0.37347,9.97844,4.26793,0.00049
133,1.62757,21,50,0,0,0,2,0.47,0,3,0.37347,9.97844,4.26793,0.00049
134,1.62782,21,50,0,0,0,3,0.47,0,3,0.37347,9.97844,4.26793,0.00049
135,1.62807,21,50,0,0,0,1,0.47,0,3,0.37347,9.97844,4.26793,0.00048
136,1.62832,21,50,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00048
137,1.62858,21,50,0,0,0,0,0.47,0,3,0.37347,9.97844,4.26793,0.00048
138,1.62884,21,50,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00048
139,1.62910,20,51,0,0,0,3,0.47,0,3,0.37346,9.97844,4.26793,0.00047
140,1.62937,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00047
141,1.62963,20,51,0,0,0,2,0.47,0,3,0.37346,9.97844,4.26793,0.00047
142,1.62991,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00046
143,1.63018,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00046
144,1.63046,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00046
145,1.63074,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00045
146,1.63102,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00045
147,1.63131,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00045
148,1.63160,20,51,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00044
149,1.63189,20,51,0,0,0,2,0.47,0,3,0.37346,9.97844,4.26793,0.00044
150,1.63219,20,51,0,0,0,1,0.47,0,3,0.37346,9.97844,4.26793,0.00044
151,1.63249,20,51,0,0,0,2,0.47,0,3,0.37346,9.97844,4.26793,0.00044
152,1.63279,19,54,0,0,0,2,0.47,0,3,0.37346,9.97844,4.26793,0.00043
153,1.63310,19,54,0,0,0,1,0.47,0,3,0.37346,9.97844,4.26793,0.00043
154,1.63340,19,54,0,0,0,2,0.47,0,3,0.37346,9.97844,4.26793,0.00043
155,1.63371,19,54,0,0,0,1,0.47,0,3,0.37346,9.97844,4.26793,0.00042
156,1.63403,19,54,0,0,0,1,0.47,0,3,0.37346,9.97844,4.26793,0.00042
157,1.63434,19,54,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00042
158,1.63466,19,54,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00042
159,1.63498,19,54,0,0,0,1,0.47,0,3,0.37346,9.97844,4.26793,0.00041
160,1.63531,19,54,0,0,0,0,0.47,0,3,0.37346,9.97844,4.26793,0.00041
161,1.63563,19,54,0,0,0,1,0.47,0,3,0.37346,9.97844,4.26793,0.00041
162,1.63596,20,51,1,0,0,2,0.47,0,3,0.37345,9.97844,4.26793,0.00041
163,1.63630,20,51,0,0,0,1,0.47,0,3,0.37345,9.97844,4.26793,0.0004
164,1.63663,20,51,0,0,0,0,0.47,0,3,0.37345,9.97844,4.26793,0.0004
165,1.63697,20,51,0,0,0,1,0.47,0,3,0.37345,9.97845,4.26792,0.0004
166,1.63731,20,51,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.0004
167,1.63765,20,51,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00039
168,1.63800,20,51,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00039
169,1.63834,20,51,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00039
170,1.63870,20,51,1,0,0,3,0.47,0,3,0.37345,9.97845,4.26792,0.00039
171,1.63905,20,51,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00038
172,1.63940,20,51,0,0,0,1,0.47,0,3,0.37345,9.97845,4.26792,0.00038
173,1.63976,20,51,0,0,0,3,0.47,0,3,0.37345,9.97845,4.26792,0.00038
174,1.64012,20,51,0,0,0,2,0.47,0,3,0.37345,9.97845,4.26792,0.00038
175,1.64049,20,51,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00037
176,1.64085,20,51,0,0,0,3,0.47,0,3,0.37345,9.97845,4.26792,0.00037
177,1.64122,20,51,0,0,0,2,0.47,0,3,0.37345,9.97845,4.26792,0.00037
178,1.64159,20,51,0,0,0,1,0.47,0,3,0.37345,9.97845,4.26792,0.00037
179,1.64196,20,48,1,0,0,1,0.47,0,3,0.37345,9.97845,4.26792,0.00036
180,1.64234,20,48,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00036
181,1.64271,20,48,0,0,0,2,0.47,0,3,0.37345,9.97845,4.26792,0.00036
182,1.64309,20,48,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00036
183,1.64348,20,48,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00035
184,1.64386,20,48,0,0,0,0,0.47,0,3,0.37345,9.97845,4.26792,0.00035
185,1.64425,20,51,0,0,0,1,0.48,0,3,0.37345,9.97845,4.26758,0.00035
186,1.64464,20,51,0,0,0,1,0.48,0,3,0.37345,9.97845,4.26758,0.00035
187,1.64503,20,51,0,0,0,1,0.48,0,3,0.37345,9.97845,4.26758,0.00035
