Frame,KE,StableProtons,UnstableParticles,NewBorn,Dissolved,SpinFlips,ColorFlips,AvgClusterSize,MinClusterSize,MaxClusterSize,MinDistance,MaxDistance,MeanDistance,KELossRadiative,ClustersDamped,ParticlesDamped
0,0.07577,28,53,35,0,0,0,0.65,0,4,0.0,9.964,4.20927,0.0,0,0
1,0.07672,28,53,0,0,0,0,0.65,0,4,0.0,9.964,4.20927,0.0,0,0
2,0.07762,28,53,0,0,0,0,0.65,0,4,1e-05,9.964,4.20927,0.0,0,0
3,0.07847,28,53,0,0,0,0,0.65,0,4,1e-05,9.964,4.20927,0.0,0,0
4,0.07927,28,53,0,0,0,0,0.65,0,4,1e-05,9.96399,4.20927,0.00015,65,207
5,0.07988,28,53,0,0,0,0,0.65,0,4,1e-05,9.96399,4.20926,0.00015,65,207
6,0.08045,28,53,0,0,0,0,0.65,0,4,1e-05,9.96399,4.20926,0.00016,65,207
7,0.08099,28,56,0,0,0,0,0.64,0,4,1e-05,9.96399,4.20962,0.00015,64,203
8,0.08149,28,56,0,0,0,0,0.64,0,4,2e-05,9.96399,4.20962,0.00015,64,203
9,0.08197,28,56,0,0,0,0,0.64,0,4,2e-05,9.96399,4.20962,0.00015,64,203
10,0.08242,28,56,0,0,0,0,0.64,0,4,2e-05,9.96399,4.20962,0.00015,64,203
11,0.08285,28,56,0,0,0,0,0.64,0,4,2e-05,9.96399,4.20962,0.00015,65,206
12,0.08325,28,56,0,0,0,0,0.64,0,4,2e-05,9.96399,4.20962,0.00015,65,206
13,0.08363,28,56,0,0,0,0,0.64,0,4,2e-05,9.96399,4.20962,0.00015,65,206
14,0.08399,28,56,0,0,0,0,0.64,0,4,2e-05,9.96399,4.20962,0.00015,65,206
15,0.08434,28,56,0,0,0,0,0.65,0,4,2e-05,9.96399,4.20986,0.00015,65,206
16,0.08467,28,56,0,0,0,0,0.65,0,4,2e-05,9.96399,4.20986,0.00015,65,206
17,0.08499,28,56,0,0,0,0,0.65,0,4,3e-05,9.96399,4.20986,0.00015,65,206
18,0.08530,28,56,0,0,0,0,0.65,0,4,3e-05,9.96399,4.20986,0.00015,65,206
19,0.08560,28,56,0,0,0,0,0.65,0,4,3e-05,9.96399,4.20986,0.00015,65,206
20,0.08589,28,56,0,0,0,0,0.65,0,4,3e-05,9.96399,4.20986,0.00015,65,206
