Frame,SpinFlips,ColorFlips,DT,KineticEnergy
0,0,0,0.00090264,0.07070
1,0,1,0.00081487,0.07196
2,0,0,0.00073581,0.07382
3,0,1,0.00066427,0.07616
4,0,1,0.00059986,0.07877
5,0,1,0.00054188,0.08151
6,0,0,0.00048978,0.08427
7,0,1,0.00044320,0.08678
8,0,3,0.00040076,0.08915
9,0,1,0.00036246,0.09141
10,0,0,0.00032797,0.09350
11,0,1,0.00029692,0.09529
12,0,0,0.00026899,0.09693
13,0,1,0.00024388,0.09833
14,0,1,0.00022129,0.09945
15,0,1,0.00020096,0.10037
16,0,0,0.00018270,0.10104
17,0,0,0.00016627,0.10160
18,0,2,0.00015154,0.10189
19,0,1,0.00013826,0.10208
20,0,1,0.00012634,0.10210
21,0,0,0.00011573,0.10199
22,0,2,0.00010619,0.10179
23,0,2,0.00009759,0.10149
24,0,1,0.00008990,0.10109
25,0,0,0.00008302,0.10063
26,0,1,0.00007679,0.10012
27,0,3,0.00007121,0.09954
28,0,0,0.00006620,0.09891
29,0,0,0.00006176,0.09826
30,0,2,0.00005774,0.09756
31,0,1,0.00005409,0.09686
32,0,0,0.00005087,0.09613
33,0,2,0.00004809,0.09537
34,0,0,0.00004554,0.09461
35,0,4,0.00004315,0.09385
36,0,2,0.00004094,0.09307
37,0,1,0.00003900,0.09227
38,0,6,0.00003749,0.09145
39,0,0,0.00003620,0.09063
40,0,1,0.00003513,0.08979
41,0,0,0.00003410,0.08896
42,0,2,0.00003318,0.08813
43,0,1,0.00003235,0.08730
44,0,2,0.00003162,0.08647
45,0,2,0.00003107,0.08564
46,0,0,0.00003054,0.08483
47,0,0,0.00003007,0.08402
48,0,1,0.00002956,0.08321
49,0,1,0.00002908,0.08240
50,0,2,0.00002862,0.08160
51,0,0,0.00002816,0.08079
52,0,4,0.00002767,0.07999
53,0,1,0.00002730,0.07919
54,0,0,0.00002695,0.07840
55,0,0,0.00002667,0.07760
56,0,0,0.00002642,0.07682
57,0,0,0.00002618,0.07604
58,0,1,0.00002587,0.07526
59,0,1,0.00002558,0.07449
60,0,0,0.00002537,0.07372
61,0,0,0.00002514,0.07296
62,0,2,0.00002497,0.07221
63,0,1,0.00002475,0.07146
64,0,0,0.00002455,0.07071
65,0,0,0.00002439,0.06997
66,0,3,0.00002404,0.06924
67,0,1,0.00002380,0.06851
68,0,2,0.00002358,0.06780
69,0,0,0.00002338,0.06709
70,0,1,0.00002324,0.06639
71,0,1,0.00002301,0.06570
72,0,0,0.00002280,0.06502
73,0,1,0.00002271,0.06434
74,0,1,0.00002268,0.06367
75,0,1,0.00002269,0.06301
76,0,1,0.00002261,0.06235
77,0,2,0.00002266,0.06170
78,0,2,0.00002275,0.06105
79,0,0,0.00002283,0.06041
80,0,0,0.00002290,0.05978
81,0,0,0.00002296,0.05916
82,0,2,0.00002306,0.05854
83,0,1,0.00002311,0.05793
84,0,1,0.00002323,0.05733
85,0,3,0.00002315,0.05673
86,0,0,0.00002307,0.05614
87,0,0,0.00002300,0.05556
88,0,2,0.00002280,0.05499
89,0,3,0.00002261,0.05442
90,0,0,0.00002242,0.05385
91,0,1,0.00002235,0.05329
92,0,0,0.00002221,0.05274
93,0,0,0.00002213,0.05219
94,0,1,0.00002213,0.05165
95,0,0,0.00002187,0.05112
96,0,1,0.00002158,0.05059
97,0,0,0.00002131,0.05007
98,0,0,0.00002102,0.04956
99,0,1,0.00002090,0.04904
100,0,2,0.00002083,0.04854
101,0,0,0.00002077,0.04803
102,0,1,0.00002068,0.04754
103,0,2,0.00002064,0.04704
104,0,2,0.00002057,0.04655
105,0,0,0.00002051,0.04606
106,0,0,0.00002047,0.04558
107,0,0,0.00002051,0.04510
108,0,0,0.00002058,0.04463
109,0,1,0.00002061,0.04417
110,0,0,0.00002071,0.04371
111,0,0,0.00002079,0.04326
112,0,2,0.00002077,0.04281
113,0,1,0.00002076,0.04237
114,0,0,0.00002074,0.04194
115,0,0,0.00002073,0.04151
116,0,1,0.00002072,0.04108
117,0,0,0.00002075,0.04066
118,0,1,0.00002076,0.04025
119,0,2,0.00002085,0.03983
120,0,0,0.00002093,0.03943
