Frame,SpinFlips,ColorFlips,DT,KineticEnergy
0,0,0,0.00090414,0.02691
1,0,0,0.00081787,0.02721
2,0,0,0.00074022,0.02764
3,0,0,0.00067034,0.02815
4,0,0,0.00060745,0.02872
5,0,0,0.00055085,0.02932
6,0,0,0.00049990,0.02993
7,0,1,0.00045419,0.03051
8,0,1,0.00041294,0.03110
9,0,1,0.00037587,0.03165
10,0,1,0.00034267,0.03217
11,0,2,0.00031272,0.03263
12,0,0,0.00028575,0.03306
13,0,0,0.00026149,0.03347
14,0,1,0.00023956,0.03385
15,0,2,0.00021971,0.03422
16,0,0,0.00020185,0.03456
17,0,1,0.00018584,0.03489
18,0,1,0.00017152,0.03516
19,0,0,0.00015863,0.03542
20,0,0,0.00014703,0.03565
21,0,1,0.00013664,0.03586
22,0,1,0.00012737,0.03604
23,0,0,0.00011903,0.03620
24,0,0,0.00011152,0.03635
25,0,0,0.00010476,0.03649
26,0,0,0.00009868,0.03661
27,0,2,0.00009328,0.03673
28,0,0,0.00008841,0.03685
29,0,0,0.00008404,0.03695
30,0,0,0.00008010,0.03705
31,0,2,0.00007655,0.03713
32,0,0,0.00007335,0.03721
33,0,2,0.00007033,0.03727
34,0,1,0.00006744,0.03732
35,0,0,0.00006484,0.03737
36,0,0,0.00006249,0.03741
37,0,1,0.00006059,0.03745
38,0,0,0.00005887,0.03748
39,0,0,0.00005732,0.03751
40,0,1,0.00005604,0.03753
41,0,1,0.00005489,0.03755
42,0,0,0.00005385,0.03756
43,0,0,0.00005292,0.03758
44,0,0,0.00005207,0.03760
45,0,0,0.00005132,0.03761
46,0,1,0.00005083,0.03761
47,0,0,0.00005038,0.03762
48,0,0,0.00004999,0.03762
49,0,1,0.00004972,0.03762
50,0,0,0.00004948,0.03762
51,0,0,0.00004926,0.03762
52,0,0,0.00004907,0.03761
53,0,0,0.00004890,0.03761
54,0,1,0.00004883,0.03761
55,0,1,0.00004869,0.03761
56,0,0,0.00004856,0.03761
57,0,0,0.00004845,0.03761
58,0,0,0.00004834,0.03761
59,0,2,0.00004790,0.03761
60,0,1,0.00004737,0.03761
61,0,1,0.00004699,0.03761
62,0,1,0.00004672,0.03760
63,0,1,0.00004631,0.03760
64,0,0,0.00004594,0.03760
65,0,0,0.00004561,0.03760
66,0,0,0.00004531,0.03761
67,0,0,0.00004504,0.03761
68,0,0,0.00004480,0.03761
69,0,0,0.00004459,0.03761
70,0,1,0.00004434,0.03760
71,0,1,0.00004422,0.03760
72,0,0,0.00004411,0.03760
73,0,0,0.00004401,0.03760
74,0,0,0.00004392,0.03759
75,0,1,0.00004389,0.03758
76,0,0,0.00004386,0.03757
77,0,0,0.00004384,0.03756
78,0,0,0.00004382,0.03756
79,0,0,0.00004380,0.03755
80,0,0,0.00004378,0.03754
81,0,0,0.00004376,0.03753
82,0,1,0.00004383,0.03752
83,0,0,0.00004389,0.03751
84,0,2,0.00004417,0.03749
85,0,0,0.00004443,0.03748
86,0,2,0.00004444,0.03746
87,0,0,0.00004445,0.03745
88,0,0,0.00004446,0.03743
89,0,0,0.00004447,0.03742
90,0,1,0.00004464,0.03740
91,0,0,0.00004480,0.03739
92,0,0,0.00004494,0.03738
93,0,0,0.00004507,0.03736
94,0,0,0.00004518,0.03735
95,0,0,0.00004528,0.03734
96,0,0,0.00004538,0.03733
97,0,0,0.00004546,0.03732
98,0,0,0.00004553,0.03731
99,0,0,0.00004560,0.03730
100,0,0,0.00004566,0.03729
101,0,0,0.00004572,0.03729
102,0,0,0.00004577,0.03728
103,0,0,0.00004581,0.03727
104,0,0,0.00004585,0.03726
105,0,0,0.00004589,0.03726
106,0,0,0.00004592,0.03725
107,0,1,0.00004594,0.03725
108,0,1,0.00004588,0.03725
109,0,0,0.00004583,0.03725
110,0,0,0.00004578,0.03725
111,0,0,0.00004574,0.03725
112,0,1,0.00004593,0.03725
113,0,0,0.00004610,0.03725
114,0,0,0.00004626,0.03724
115,0,0,0.00004640,0.03724
116,0,0,0.00004653,0.03724
117,0,0,0.00004664,0.03724
118,0,1,0.00004673,0.03723
119,0,1,0.00004682,0.03722
120,0,0,0.00004690,0.03721
121,0,1,0.00004658,0.03720
122,0,0,0.00004630,0.03719
123,0,0,0.00004605,0.03718
124,0,0,0.00004582,0.03717
125,0,0,0.00004561,0.03716
126,0,0,0.00004542,0.03716
127,0,1,0.00004523,0.03715
128,0,0,0.00004507,0.03714
129,0,0,0.00004491,0.03714
130,0,0,0.00004478,0.03713
131,0,1,0.00004458,0.03712
132,0,0,0.00004440,0.03711
133,0,1,0.00004426,0.03711
134,0,0,0.00004413,0.03711
135,0,0,0.00004401,0.03710
136,0,1,0.00004391,0.03710
137,0,0,0.00004381,0.03709
138,0,0,0.00004372,0.03709
139,0,1,0.00004374,0.03709
140,0,1,0.00004368,0.03708
141,0,0,0.00004363,0.03708
142,0,0,0.00004358,0.03708
143,0,0,0.00004354,0.03708
144,0,0,0.00004350,0.03708
145,0,0,0.00004347,0.03707
146,0,1,0.00004339,0.03708
147,0,0,0.00004332,0.03708
148,0,0,0.00004326,0.03709
149,0,0,0.00004320,0.03709
150,0,0,0.00004315,0.03709
151,0,0,0.00004310,0.03710
152,0,0,0.00004306,0.03710
153,0,0,0.00004303,0.03711
154,0,1,0.00004290,0.03710
155,0,0,0.00004279,0.03710
156,0,0,0.00004269,0.03709
157,0,0,0.00004260,0.03709
158,0,0,0.00004252,0.03709
159,0,0,0.00004245,0.03708
160,0,0,0.00004239,0.03708
161,0,0,0.00004233,0.03708
162,0,1,0.00004216,0.03707
163,0,0,0.00004200,0.03707
164,0,0,0.00004186,0.03707
165,0,1,0.00004180,0.03706
166,0,0,0.00004174,0.03705
167,0,0,0.00004168,0.03705
168,0,0,0.00004163,0.03704
169,0,1,0.00004168,0.03703
170,0,0,0.00004172,0.03702
171,0,0,0.00004175,0.03702
172,0,1,0.00004189,0.03701
173,0,0,0.00004201,0.03700
174,0,0,0.00004212,0.03700
175,0,0,0.00004221,0.03699
176,0,0,0.00004230,0.03699
177,0,0,0.00004238,0.03698
178,0,0,0.00004245,0.03698
179,0,0,0.00004252,0.03697
180,0,0,0.00004258,0.03697
181,0,2,0.00004253,0.03697
182,0,1,0.00004279,0.03697
183,0,1,0.00004304,0.03696
184,0,0,0.00004327,0.03696
185,0,1,0.00004351,0.03695
186,0,0,0.00004373,0.03695
187,0,0,0.00004393,0.03695
188,0,0,0.00004411,0.03694
189,0,0,0.00004427,0.03694
190,0,0,0.00004442,0.03694
191,0,0,0.00004455,0.03693
192,0,0,0.00004466,0.03693
193,0,1,0.00004475,0.03693
194,0,1,0.00004474,0.03693
195,0,0,0.00004472,0.03692
196,0,1,0.00004469,0.03692
197,0,0,0.00004467,0.03693
198,0,0,0.00004464,0.03693
199,0,0,0.00004462,0.03693
200,0,1,0.00004463,0.03693
201,0,0,0.00004464,0.03693
202,0,0,0.00004464,0.03694
203,0,0,0.00004465,0.03694
204,0,0,0.00004466,0.03694
205,0,0,0.00004466,0.03695
206,0,0,0.00004467,0.03695
207,0,1,0.00004468,0.03695
208,0,0,0.00004470,0.03696
209,0,0,0.00004472,0.03696
210,0,0,0.00004473,0.03696
211,0,1,0.00004466,0.03696
212,0,0,0.00004459,0.03697
213,0,0,0.00004453,0.03697
214,0,0,0.00004448,0.03698
