Frame,KE,StableProtons,UnstableParticles,NewBorn,Dissolved,SpinFlips,ColorFlips,AvgClusterSize,MinClusterSize,MaxClusterSize,MinDistance,MaxDistance,MeanDistance
0,0.30069,283,708,358,0,0,3,2.26,0,6,0.37495,10.39229,4.21291
1,0.32221,282,717,1,4,0,3,2.26,0,6,0.37491,10.39229,4.21291
2,0.35328,282,720,1,2,0,6,2.26,0,6,0.37488,10.39228,4.21291
3,0.39234,281,721,3,4,0,2,2.26,0,6,0.37485,10.39228,4.21291
4,0.43520,283,717,2,0,0,5,2.26,0,6,0.37482,10.39228,4.21291
5,0.47677,281,724,1,5,0,6,2.26,0,6,0.37479,10.39228,4.2129
6,0.51726,281,727,4,4,0,6,2.26,0,6,0.37475,10.39228,4.2129
7,0.55603,282,724,3,1,0,2,2.26,0,6,0.37472,10.39228,4.2129
8,0.59351,283,724,3,2,0,4,2.26,0,6,0.37469,10.39228,4.2129
9,0.62900,282,728,1,2,0,3,2.26,0,6,0.37466,10.39227,4.2129
10,0.66234,282,730,2,2,0,5,2.26,0,6,0.37463,10.39227,4.2129
11,0.69235,279,741,1,5,0,2,2.26,0,6,0.37461,10.39227,4.2129
12,0.71985,280,739,1,0,0,2,2.26,0,6,0.37458,10.39227,4.2129
13,0.74485,279,740,1,3,0,4,2.26,0,6,0.37456,10.39227,4.2129
14,0.76659,277,744,1,3,0,8,2.26,0,6,0.37454,10.39227,4.2129
15,0.78586,275,750,1,5,0,3,2.26,0,6,0.37452,10.39226,4.2129
16,0.80254,273,750,3,4,0,2,2.26,0,6,0.3745,10.39226,4.2129
17,0.81738,276,745,4,1,0,3,2.26,0,6,0.37449,10.39226,4.2129
18,0.82981,276,740,5,2,0,5,2.26,0,6,0.37447,10.39226,4.2129
19,0.84030,276,741,1,1,0,4,2.26,0,6,0.37446,10.39226,4.2129
20,0.84924,279,730,5,1,0,7,2.26,0,6,0.37445,10.39226,4.2129
21,0.85598,280,729,3,2,0,8,2.26,0,6,0.37444,10.39226,4.2129
22,0.86117,280,727,5,4,0,7,2.26,0,6,0.37443,10.39226,4.2129
23,0.86514,282,724,3,1,0,7,2.26,0,6,0.37442,10.39226,4.2129
24,0.86762,281,722,2,2,0,4,2.26,0,6,0.37441,10.39225,4.2129
25,0.86876,281,721,2,2,0,8,2.26,0,6,0.3744,10.39225,4.2129
26,0.86909,281,718,3,1,0,5,2.26,0,6,0.37439,10.39225,4.2129
27,0.86862,282,712,3,1,0,4,2.26,0,6,0.37439,10.39225,4.2129
28,0.86709,280,725,0,6,0,7,2.26,0,6,0.37438,10.39225,4.2129
29,0.86486,283,720,5,2,0,6,2.26,0,6,0.37438,10.39225,4.2129
30,0.86166,284,714,3,0,0,6,2.26,0,6,0.37437,10.39225,4.2129
31,0.85806,284,717,3,4,0,4,2.26,0,6,0.37437,10.39225,4.2129
32,0.85394,282,724,3,5,0,4,2.26,0,6,0.37436,10.39225,4.2129
33,0.84934,281,729,2,3,0,2,2.26,0,6,0.37436,10.39225,4.2129
34,0.84420,280,733,0,2,0,4,2.26,0,6,0.37435,10.39225,4.2129
35,0.83867,284,716,7,0,0,7,2.26,0,6,0.37435,10.39225,4.2129
36,0.83297,285,712,2,1,0,1,2.26,0,6,0.37435,10.39225,4.2129
37,0.82701,286,716,3,4,0,6,2.26,0,6,0.37434,10.39225,4.2129
38,0.82082,284,722,0,2,0,2,2.26,0,6,0.37434,10.39225,4.2129
39,0.81457,285,721,2,2,0,2,2.26,0,6,0.37434,10.39225,4.2129
40,0.80807,285,723,1,1,0,6,2.26,0,6,0.37434,10.39225,4.2129
41,0.80145,284,726,3,5,0,3,2.26,0,6,0.37433,10.39225,4.2129
42,0.79463,284,722,3,2,0,4,2.26,0,6,0.37433,10.39225,4.2129
43,0.78767,286,711,6,2,0,4,2.26,0,6,0.37433,10.39225,4.2129
44,0.78058,286,711,1,1,0,4,2.26,0,6,0.37433,10.39225,4.2129
45,0.77345,286,707,3,3,0,6,2.26,0,6,0.37433,10.39225,4.2129
46,0.76627,287,704,4,2,0,3,2.26,0,6,0.37432,10.39225,4.2129
47,0.75895,288,700,3,2,0,6,2.26,0,6,0.37432,10.39225,4.2129
48,0.75156,286,704,0,2,0,6,2.26,0,6,0.37432,10.39225,4.2129
49,0.74417,285,707,0,1,0,3,2.26,0,6,0.37432,10.39225,4.2129
50,0.73684,287,697,6,1,0,2,2.26,0,6,0.37432,10.39225,4.2129
51,0.72953,286,697,2,2,0,3,2.26,0,6,0.37432,10.39225,4.2129
52,0.72216,283,707,0,4,0,3,2.26,0,6,0.37432,10.39225,4.2129
53,0.71482,282,707,2,3,0,4,2.26,0,6,0.37431,10.39225,4.2129
54,0.70750,285,694,6,1,0,4,2.26,0,6,0.37431,10.39225,4.2129
55,0.70016,285,691,2,1,0,5,2.26,0,6,0.37431,10.39225,4.2129
56,0.69284,285,688,1,0,0,4,2.26,0,6,0.37431,10.39225,4.2129
57,0.68557,285,691,0,1,0,4,2.26,0,6,0.37431,10.39225,4.2129
58,0.67836,283,696,1,3,0,2,2.26,0,6,0.37431,10.39225,4.2129
59,0.67118,284,694,3,1,0,3,2.26,0,6,0.37431,10.39225,4.2129
60,0.66405,285,686,5,2,0,3,2.26,0,6,0.37431,10.39225,4.2129
61,0.65695,284,690,2,3,0,5,2.26,0,6,0.37431,10.39225,4.2129
62,0.64985,286,681,4,1,0,3,2.26,0,6,0.3743,10.39225,4.2129
63,0.64283,285,682,2,2,0,4,2.26,0,6,0.3743,10.39225,4.2129
64,0.63591,285,682,1,1,0,2,2.26,0,6,0.3743,10.39224,4.2129
65,0.62906,286,679,1,0,0,2,2.26,0,6,0.3743,10.39224,4.2129
66,0.62227,285,683,1,2,0,7,2.26,0,6,0.3743,10.39224,4.2129
67,0.61558,285,683,2,2,0,7,2.26,0,6,0.3743,10.39224,4.2129
68,0.60895,286,681,3,2,0,4,2.26,0,6,0.3743,10.39224,4.2129
69,0.60237,288,678,3,4,0,6,2.26,0,6,0.3743,10.39224,4.2129
70,0.59585,286,689,2,6,0,7,2.26,0,6,0.3743,10.39224,4.2129
71,0.58938,287,689,2,2,0,1,2.26,0,6,0.3743,10.39224,4.2129
72,0.58297,286,691,3,4,0,2,2.26,0,6,0.37429,10.39224,4.2129
73,0.57662,286,691,1,1,0,3,2.26,0,6,0.37429,10.39224,4.2129
74,0.57029,287,686,3,1,0,5,2.26,0,6,0.37429,10.39224,4.2129
75,0.56404,286,689,1,3,0,5,2.26,0,6,0.37429,10.39224,4.2129
76,0.55786,288,686,5,2,0,6,2.26,0,6,0.37429,10.39224,4.2129
77,0.55173,287,689,1,2,0,2,2.26,0,6,0.37429,10.39224,4.2129
78,0.54571,290,680,3,0,0,2,2.26,0,6,0.37429,10.39224,4.2129
79,0.53978,289,684,0,2,0,1,2.26,0,6,0.37429,10.39224,4.2129
80,0.53392,291,681,2,1,0,6,2.26,0,6,0.37429,10.39224,4.2129
81,0.52813,291,680,3,2,0,3,2.26,0,6,0.37429,10.39224,4.2129
82,0.52237,291,676,3,1,0,5,2.26,0,6,0.37428,10.39224,4.2129
83,0.51667,292,670,3,1,0,4,2.26,0,6,0.37428,10.39224,4.2129
84,0.51105,293,670,1,1,0,4,2.26,0,6,0.37428,10.39224,4.2129
85,0.50547,291,675,1,3,0,2,2.26,0,6,0.37428,10.39224,4.2129
86,0.49997,293,666,5,2,0,4,2.26,0,6,0.37428,10.39224,4.2129
87,0.49454,293,667,2,2,0,1,2.26,0,6,0.37428,10.39224,4.2129
88,0.48917,291,671,0,2,0,4,2.26,0,6,0.37428,10.39224,4.2129
89,0.48389,291,670,1,0,0,2,2.26,0,6,0.37428,10.39224,4.2129
90,0.47865,290,669,2,2,0,5,2.26,0,6,0.37428,10.39224,4.2129
91,0.47350,290,665,5,4,0,8,2.26,0,6,0.37428,10.39224,4.2129
92,0.46838,290,662,2,2,0,3,2.26,0,6,0.37427,10.39224,4.2129
93,0.46330,291,662,1,1,0,6,2.26,0,6,0.37427,10.39224,4.2129
94,0.45830,293,655,7,4,0,6,2.26,0,6,0.37427,10.39224,4.2129
95,0.45333,293,656,3,4,0,7,2.26,0,6,0.37427,10.39224,4.2129
96,0.44838,292,658,2,3,0,3,2.26,0,6,0.37427,10.39224,4.2129
97,0.44346,294,648,4,1,0,5,2.26,0,6,0.37427,10.39224,4.2129
98,0.43858,293,648,1,2,0,2,2.26,0,6,0.37427,10.39224,4.2129
99,0.43374,292,654,1,3,0,2,2.26,0,6,0.37427,10.39224,4.2129
100,0.42896,291,655,2,3,0,4,2.26,0,6,0.37427,10.39224,4.2129
101,0.42424,291,656,2,2,0,5,2.26,0,6,0.37427,10.39224,4.2129
102,0.41957,290,659,1,2,0,1,2.26,0,6,0.37427,10.39224,4.2129
103,0.41494,289,662,1,2,0,5,2.26,0,6,0.37427,10.39224,4.2129
104,0.41038,288,664,1,2,0,6,2.26,0,6,0.37426,10.39224,4.2129
105,0.40586,288,665,2,2,0,2,2.26,0,6,0.37426,10.39224,4.2129
106,0.40142,287,666,3,5,0,7,2.26,0,6,0.37426,10.39224,4.2129
107,0.39699,284,674,2,6,0,4,2.26,0,6,0.37426,10.39224,4.2129
108,0.39261,285,673,2,1,0,1,2.26,0,6,0.37426,10.39224,4.2129
109,0.38828,285,674,3,3,0,2,2.26,0,6,0.37426,10.39224,4.2129
110,0.38400,282,681,1,4,0,2,2.26,0,6,0.37426,10.39224,4.2129
111,0.37977,284,674,3,1,0,3,2.26,0,6,0.37426,10.39224,4.2129
112,0.37557,284,677,1,2,0,3,2.26,0,6,0.37426,10.39224,4.2129
113,0.37141,285,673,2,0,0,2,2.26,0,6,0.37426,10.39224,4.2129
114,0.36728,286,664,3,0,0,10,2.26,0,6,0.37426,10.39224,4.2129
115,0.36319,286,665,3,2,0,3,2.26,0,6,0.37426,10.39224,4.2129
116,0.35913,285,667,3,4,0,10,2.26,0,6,0.37426,10.39224,4.2129
117,0.35512,287,660,6,1,0,6,2.26,0,6,0.37425,10.39224,4.2129
