ClusterID,BirthFrame,DeathFrame,Lifetime
132-440-464,1,2,1
158-323-343,1,2,1
50-129-211,1,2,1
160-220-262,1,2,1
26-77-494,1,3,2
35-132-440,3,5,2
387-450-474,2,5,3
75-100-394,5,7,2
160-220-381,16,5000,4984
97-219-259,4,8,4
16-92-418,6,9,3
5-309-403,4,9,5
44-45-199,6,9,3
64-354-420,8,9,1
36-107-115,8,10,2
35-440-464,27,5000,4973
81-85-376,3,14,11
135-470-498,7,16,9
167-413-416,12,783,771
16-44-45,12,2193,2181
44-199-418,2459,5000,2541
92-235-254,2639,2250,2237
79-191-251,6,4682,4676
26-378-494,25,5000,4975
16-45-92,2768,5000,2232
158-323-429,8,5000,4992
75-100-472,12,5000,4988
319-387-450,4251,5000,749
