Frame,SpinFlips,ColorFlips,DT,KineticEnergy,PotentialEnergy,HamiltonianEnergy
0,0,0,0.0009,0.098555,32286.863458,32286.962013
1,0,0,0.00081,0.312826,32281.123232,32281.436058
2,0,0,0.00073,0.606368,32273.761074,32274.367442
3,0,0,0.000657,0.949551,32265.368717,32266.318268
4,0,0,0.000591,1.324647,32256.402943,32257.727589
5,0,0,0.000532,1.718976,32247.171009,32248.889985
6,0,0,0.000479,2.121523,32237.924006,32240.045528
7,0,0,0.000432,2.523845,32228.845573,32231.369417
8,0,0,0.000389,2.917001,32220.062663,32222.979664
9,0,0,0.00035,3.284391,32211.675593,32214.959983
10,0,0,0.000315,3.623055,32203.755312,32207.378366
11,0,0,0.000284,3.951736,32196.31431,32200.266046
12,0,0,0.000256,4.265053,32189.365018,32193.630071
13,0,0,0.00023,4.554636,32182.910638,32187.465274
14,0,0,0.000207,4.822219,32176.937133,32181.759351
15,0,0,0.000187,5.06236,32171.431528,32176.493889
16,0,0,0.000168,5.286128,32166.370036,32171.656164
17,0,0,0.000152,5.490639,32161.72807,32167.218709
18,0,0,0.000137,5.674533,32157.47978,32163.154314
19,0,0,0.000123,5.844054,32153.598263,32159.442316
20,0,0,0.000111,6.002002,32150.055858,32156.057861
21,0,0,0.0001,6.146595,32146.826646,32152.973241
22,0,0,9e-05,6.278424,32143.885866,32150.164289
23,0,0,8.2e-05,6.395966,32141.210496,32147.606462
24,0,0,7.4e-05,6.500975,32138.778353,32145.279328
25,0,0,6.6e-05,6.597415,32136.568339,32143.165755
26,0,0,6e-05,6.685299,32134.560986,32141.246285
27,0,0,5.4e-05,6.762834,32132.738448,32139.501281
28,0,0,4.9e-05,6.834598,32131.083618,32137.918216
29,0,0,4.4e-05,6.897769,32129.581583,32136.479352
30,0,0,4e-05,6.954654,32128.218124,32135.172778
31,0,0,3.6e-05,7.00503,32126.980439,32133.985469
32,0,0,3.3e-05,7.051766,32125.85642,32132.908186
33,0,0,3e-05,7.095575,32124.835187,32131.930763
34,0,0,2.7e-05,7.133638,32123.907064,32131.040701
35,0,0,2.4e-05,7.167463,32123.063157,32130.23062
36,0,0,2.2e-05,7.197693,32122.29536,32129.493053
37,0,0,2e-05,7.225629,32121.596273,32128.821902
38,0,0,1.8e-05,7.250999,32120.959221,32128.210219
39,0,0,1.7e-05,7.272997,32120.378199,32127.651196
40,0,0,1.5e-05,7.292688,32119.847747,32127.140435
41,0,0,1.4e-05,7.311222,32119.362886,32126.674109
42,0,0,1.3e-05,7.327763,32118.919136,32126.246899
43,0,0,1.2e-05,7.342413,32118.51246,32125.854873
44,0,0,1.1e-05,7.355797,32118.139205,32125.495002
45,0,0,1e-05,7.367607,32117.796089,32125.163696
46,0,0,9e-06,7.378491,32117.480122,32124.858612
47,0,0,8e-06,7.387676,32117.188631,32124.576307
48,0,0,8e-06,7.396416,32116.919181,32124.315597
49,0,0,7e-06,7.403994,32116.669593,32124.073587
50,0,0,7e-06,7.410526,32116.4379,32123.848426
51,0,0,6e-06,7.416564,32116.22232,32123.638884
52,0,0,6e-06,7.421955,32116.021254,32123.443209
53,0,0,5e-06,7.427047,32115.833255,32123.260302
54,0,0,5e-06,7.431683,32115.657021,32123.088704
55,0,0,5e-06,7.435408,32115.491387,32122.926795
56,0,0,4e-06,7.439105,32115.335293,32122.774398
57,0,0,4e-06,7.442341,32115.187789,32122.63013
58,0,0,4e-06,7.445178,32115.04802,32122.493198
59,0,0,4e-06,7.44765,32114.915215,32122.362865
60,0,0,4e-06,7.449855,32114.788681,32122.238536
61,0,0,3e-06,7.45184,32114.667792,32122.119631
62,0,0,3e-06,7.453519,32114.551985,32122.005503
63,0,0,3e-06,7.454952,32114.440753,32121.895705
64,0,0,3e-06,7.456367,32114.33364,32121.790007
65,0,0,3e-06,7.457588,32114.230234,32121.687822
66,0,0,3e-06,7.458612,32114.130165,32121.588777
67,0,0,3e-06,7.459545,32114.033102,32121.492647
68,0,0,3e-06,7.460279,32113.938743,32121.399023
69,0,0,3e-06,7.461063,32113.84682,32121.307883
70,0,0,3e-06,7.461566,32113.757089,32121.218655
71,0,0,3e-06,7.462163,32113.669332,32121.131495
72,0,0,2e-06,7.462602,32113.583352,32121.045954
73,0,0,2e-06,7.462931,32113.498972,32120.961903
74,0,0,2e-06,7.463191,32113.416033,32120.879224
75,0,0,2e-06,7.463405,32113.33439,32120.797796
76,0,0,2e-06,7.463477,32113.253917,32120.717394
77,0,0,2e-06,7.463594,32113.174495,32120.638089
78,0,0,2e-06,7.463829,32113.09602,32120.559849
79,0,0,2e-06,7.464012,32113.018397,32120.482409
80,0,0,2e-06,7.464246,32112.941541,32120.405787
81,0,0,2e-06,7.464333,32112.865377,32120.32971
82,0,0,2e-06,7.464342,32112.789836,32120.254178
83,0,0,2e-06,7.464467,32112.714856,32120.179323
84,0,0,2e-06,7.464585,32112.64038,32120.104965
85,0,0,2e-06,7.464586,32112.566361,32120.030947
86,0,0,2e-06,7.464636,32112.492752,32119.957388
87,0,0,2e-06,7.464662,32112.419512,32119.884175
88,0,0,2e-06,7.464741,32112.346606,32119.811346
89,0,0,2e-06,7.464794,32112.274,32119.738794
90,0,0,2e-06,7.464871,32112.201665,32119.666536
91,0,0,2e-06,7.464977,32112.129573,32119.59455
92,0,0,2e-06,7.465176,32112.057701,32119.522878
93,0,0,2e-06,7.465227,32111.986028,32119.451256
94,0,0,2e-06,7.465322,32111.914534,32119.379856
95,0,0,2e-06,7.465506,32111.843201,32119.308707
96,0,0,2e-06,7.465584,32111.772014,32119.237598
97,0,0,2e-06,7.465686,32111.700959,32119.166645
98,0,0,2e-06,7.465773,32111.630022,32119.095795
99,0,0,2e-06,7.465879,32111.559194,32119.025073
100,0,0,2e-06,7.465829,32111.488463,32118.954293
101,0,0,2e-06,7.466038,32111.417821,32118.883859
102,0,0,2e-06,7.465992,32111.347259,32118.813251
103,0,0,2e-06,7.466188,32111.276769,32118.742957
104,0,0,2e-06,7.466437,32111.206343,32118.67278
105,0,0,2e-06,7.466621,32111.135977,32118.602598
106,0,0,2e-06,7.466753,32111.065665,32118.532418
107,0,0,2e-06,7.46699,32110.995401,32118.462391
108,0,0,2e-06,7.46714,32110.925181,32118.392322
109,0,0,2e-06,7.467366,32110.855002,32118.322368
110,0,0,2e-06,7.467556,32110.784859,32118.252415
111,0,0,2e-06,7.46776,32110.71475,32118.18251
112,0,0,2e-06,7.467881,32110.644671,32118.112552
113,0,0,2e-06,7.468078,32110.574621,32118.042699
114,0,0,2e-06,7.468374,32110.504596,32117.97297
115,0,0,2e-06,7.468614,32110.434594,32117.903208
116,0,0,2e-06,7.468846,32110.364614,32117.833461
117,0,0,2e-06,7.469182,32110.294654,32117.763836
118,0,0,2e-06,7.469472,32110.224711,32117.694183
119,0,0,2e-06,7.469727,32110.154786,32117.624512
120,0,0,2e-06,7.470079,32110.084875,32117.554954
121,0,0,2e-06,7.47035,32110.014979,32117.485329
122,0,0,2e-06,7.470718,32109.945095,32117.415814
123,0,0,2e-06,7.471112,32109.875224,32117.346335
124,0,0,2e-06,7.471402,32109.805364,32117.276765
125,0,0,2e-06,7.471766,32109.735514,32117.207281
126,0,0,2e-06,7.472159,32109.665674,32117.137833
127,0,0,2e-06,7.472547,32109.595843,32117.06839
128,0,0,2e-06,7.472898,32109.526021,32116.99892
129,0,0,2e-06,7.473339,32109.456207,32116.929546
130,0,0,2e-06,7.473787,32109.3864,32116.860188
131,0,0,2e-06,7.474313,32109.3166,32116.790913
132,0,0,2e-06,7.474586,32109.246808,32116.721393
133,0,0,2e-06,7.475032,32109.177021,32116.652053
134,0,0,2e-06,7.475441,32109.107241,32116.582682
135,0,0,2e-06,7.47602,32109.037466,32116.513487
136,0,0,2e-06,7.476528,32108.967697,32116.444224
137,0,0,2e-06,7.476974,32108.897933,32116.374907
138,0,0,2e-06,7.477484,32108.828173,32116.305657
139,0,0,2e-06,7.477969,32108.758419,32116.236388
140,0,0,2e-06,7.478479,32108.68867,32116.167149
141,0,0,2e-06,7.47903,32108.618924,32116.097954
142,0,0,2e-06,7.479645,32108.549183,32116.028827
143,0,0,2e-06,7.480143,32108.479446,32115.959588
144,0,0,2e-06,7.480752,32108.409712,32115.890464
145,0,0,2e-06,7.481289,32108.339982,32115.821272
146,0,0,2e-06,7.481749,32108.270258,32115.752007
147,0,0,2e-06,7.482286,32108.200537,32115.682822
148,0,0,2e-06,7.482748,32108.13082,32115.613568
149,0,0,2e-06,7.483355,32108.061107,32115.544462
150,0,0,2e-06,7.483785,32107.991399,32115.475184
151,0,0,2e-06,7.484321,32107.921694,32115.406015
152,0,0,2e-06,7.484842,32107.851994,32115.336835
153,0,0,2e-06,7.485481,32107.782296,32115.267777
154,0,0,2e-06,7.485961,32107.712603,32115.198564
155,0,0,2e-06,7.486575,32107.642914,32115.129488
156,0,0,2e-06,7.487282,32107.573227,32115.060509
157,0,0,2e-06,7.487934,32107.503544,32114.991478
158,0,0,2e-06,7.488626,32107.433863,32114.922488
159,0,0,2e-06,7.489396,32107.364184,32114.85358
160,0,0,2e-06,7.490182,32107.294508,32114.78469
161,0,0,2e-06,7.490939,32107.224834,32114.715774
162,0,0,2e-06,7.491666,32107.155163,32114.646829
163,0,0,2e-06,7.492478,32107.085495,32114.577973
164,0,0,2e-06,7.493233,32107.015829,32114.509062
165,0,0,2e-06,7.493881,32106.946167,32114.440048
166,0,0,2e-06,7.494724,32106.876506,32114.37123
167,0,0,2e-06,7.495529,32106.806848,32114.302377
168,0,0,2e-06,7.496375,32106.737192,32114.233567
169,0,0,2e-06,7.497155,32106.667539,32114.164694
170,0,0,2e-06,7.497953,32106.597888,32114.095841
171,0,0,2e-06,7.498496,32106.528241,32114.026737
172,0,0,2e-06,7.49931,32106.458596,32113.957905
173,0,0,2e-06,7.500034,32106.388954,32113.888988
174,0,0,2e-06,7.500723,32106.319315,32113.820038
175,0,0,2e-06,7.501532,32106.249678,32113.75121
176,0,0,2e-06,7.50234,32106.180044,32113.682384
177,0,0,2e-06,7.503146,32106.110413,32113.613559
178,0,0,2e-06,7.504038,32106.040784,32113.544822
179,0,0,2e-06,7.504838,32105.971157,32113.475995
180,0,0,2e-06,7.505627,32105.901533,32113.40716
181,0,0,2e-06,7.506543,32105.831912,32113.338455
182,0,0,2e-06,7.507387,32105.762292,32113.26968
183,0,0,2e-06,7.508203,32105.692676,32113.200878
184,0,0,2e-06,7.509076,32105.623061,32113.132137
185,0,0,2e-06,7.509953,32105.553449,32113.063403
186,0,0,2e-06,7.51088,32105.48384,32112.99472
187,0,0,2e-06,7.511731,32105.414232,32112.925963
188,0,0,2e-06,7.512489,32105.344628,32112.857117
189,0,0,2e-06,7.513341,32105.275026,32112.788367
190,0,0,2e-06,7.514236,32105.205427,32112.719663
191,0,0,2e-06,7.51516,32105.13583,32112.65099
192,0,0,2e-06,7.51606,32105.066235,32112.582295
193,0,0,2e-06,7.517068,32104.996642,32112.513709
194,0,0,2e-06,7.517958,32104.927051,32112.445009
195,0,0,2e-06,7.518815,32104.857462,32112.376277
196,0,0,2e-06,7.519686,32104.787876,32112.307562
197,0,0,2e-06,7.52059,32104.718292,32112.238882
198,0,0,2e-06,7.52153,32104.64871,32112.17024
199,0,0,2e-06,7.522613,32104.579129,32112.101742
200,0,0,2e-06,7.523461,32104.509551,32112.033012
201,0,0,2e-06,7.524402,32104.439976,32111.964378
202,0,0,2e-06,7.525466,32104.370401,32111.895867
203,0,0,2e-06,7.526455,32104.300829,32111.827284
204,0,0,2e-06,7.52754,32104.231258,32111.758798
205,0,0,2e-06,7.528456,32104.16169,32111.690145
206,0,0,2e-06,7.529561,32104.092123,32111.621684
207,0,0,2e-06,7.530405,32104.022558,32111.552963
208,0,0,2e-06,7.531401,32103.952996,32111.484397
209,0,0,2e-06,7.532522,32103.883435,32111.415957
210,0,0,2e-06,7.533498,32103.813877,32111.347374
211,0,0,2e-06,7.534493,32103.74432,32111.278813
212,0,0,2e-06,7.535658,32103.674764,32111.210423
213,0,0,2e-06,7.536732,32103.60521,32111.141942
214,0,0,2e-06,7.537848,32103.535657,32111.073505
215,0,0,2e-06,7.538933,32103.466106,32111.005039
216,0,0,2e-06,7.539833,32103.396558,32110.93639
217,0,0,2e-06,7.541054,32103.32701,32110.868064
218,0,0,2e-06,7.542216,32103.257463,32110.799679
219,0,0,2e-06,7.543269,32103.187918,32110.731188
220,0,0,2e-06,7.54433,32103.118375,32110.662706
221,0,0,2e-06,7.545383,32103.048834,32110.594217
222,0,0,2e-06,7.546507,32102.979295,32110.525802
223,0,0,2e-06,7.547688,32102.909756,32110.457444
224,0,0,2e-06,7.548879,32102.840219,32110.389098
225,0,0,2e-06,7.550044,32102.770683,32110.320728
226,0,0,2e-06,7.551303,32102.701148,32110.252451
227,0,0,2e-06,7.55248,32102.631614,32110.184094
228,0,0,2e-06,7.553765,32102.56208,32110.115845
229,0,0,2e-06,7.554878,32102.492549,32110.047426
230,0,0,2e-06,7.556121,32102.423018,32109.979138
231,0,0,2e-06,7.557394,32102.353487,32109.910881
232,0,0,2e-06,7.558741,32102.283957,32109.842698
233,0,0,2e-06,7.560041,32102.214428,32109.774469
234,0,0,2e-06,7.561306,32102.144899,32109.706205
235,0,0,2e-06,7.562606,32102.075372,32109.637978
236,0,0,2e-06,7.56371,32102.005845,32109.569555
237,0,0,2e-06,7.564931,32101.93632,32109.501251
238,0,0,2e-06,7.566156,32101.866796,32109.432952
239,0,0,2e-06,7.567353,32101.797274,32109.364627
240,0,0,2e-06,7.568598,32101.727752,32109.29635
241,0,0,2e-06,7.569807,32101.658232,32109.228038
242,0,0,2e-06,7.571019,32101.588713,32109.159731
243,0,0,2e-06,7.572201,32101.519195,32109.091396
244,0,0,2e-06,7.573498,32101.449678,32109.023176
245,0,0,2e-06,7.574811,32101.380161,32108.954972
246,0,0,2e-06,7.57603,32101.310646,32108.886677
247,0,0,2e-06,7.577356,32101.241132,32108.818488
248,0,0,2e-06,7.578641,32101.171619,32108.75026
249,0,0,2e-06,7.579914,32101.102106,32108.68202
250,0,0,2e-06,7.581208,32101.032594,32108.613802
251,0,0,2e-06,7.582507,32100.963083,32108.545589
252,0,0,2e-06,7.583883,32100.893572,32108.477455
253,0,0,2e-06,7.585176,32100.824062,32108.409238
254,0,0,2e-06,7.58646,32100.754553,32108.341013
255,0,0,2e-06,7.587872,32100.685045,32108.272916
256,0,0,2e-06,7.589288,32100.615537,32108.204825
257,0,0,2e-06,7.590606,32100.546029,32108.136635
258,0,0,2e-06,7.592037,32100.476522,32108.068559
259,0,0,2e-06,7.593516,32100.407015,32108.000532
260,0,0,2e-06,7.595049,32100.337507,32107.932556
261,0,0,2e-06,7.596408,32100.268,32107.864408
262,0,0,2e-06,7.597848,32100.198494,32107.796342
263,0,0,2e-06,7.599302,32100.128987,32107.728289
264,0,0,2e-06,7.600764,32100.059481,32107.660245
265,0,0,2e-06,7.602105,32099.989975,32107.59208
266,0,0,2e-06,7.603613,32099.920468,32107.524081
267,0,0,2e-06,7.604885,32099.850963,32107.455848
268,0,0,2e-06,7.606347,32099.781458,32107.387805
269,0,0,2e-06,7.607734,32099.711953,32107.319687
270,0,0,2e-06,7.60921,32099.642448,32107.251658
271,0,0,2e-06,7.610634,32099.572944,32107.183578
272,0,0,2e-06,7.612147,32099.50344,32107.115587
273,0,0,2e-06,7.613564,32099.433936,32107.0475
274,0,0,2e-06,7.615093,32099.364432,32106.979525
275,0,0,2e-06,7.616689,32099.294928,32106.911616
276,0,0,2e-06,7.618044,32099.225424,32106.843468
277,0,0,2e-06,7.61956,32099.15592,32106.775481
278,0,0,2e-06,7.621088,32099.086416,32106.707505
279,0,0,2e-06,7.622525,32099.016913,32106.639437
280,0,0,2e-06,7.624073,32098.947409,32106.571482
281,0,0,2e-06,7.625607,32098.877905,32106.503512
282,0,0,2e-06,7.627082,32098.808401,32106.435483
283,0,0,2e-06,7.628588,32098.738897,32106.367485
284,0,0,2e-06,7.630191,32098.669392,32106.299583
285,0,0,2e-06,7.631771,32098.599887,32106.231658
286,0,0,2e-06,7.633171,32098.530383,32106.163554
287,0,0,2e-06,7.634741,32098.460879,32106.09562
288,0,0,2e-06,7.636345,32098.391373,32106.027719
289,0,0,2e-06,7.637946,32098.321867,32105.959813
290,0,0,2e-06,7.639486,32098.252362,32105.891848
291,0,0,2e-06,7.64107,32098.182856,32105.823925
292,0,0,2e-06,7.642659,32098.113349,32105.756009
293,0,0,2e-06,7.644218,32098.043842,32105.68806
294,0,0,2e-06,7.645701,32097.974336,32105.620037
295,0,0,2e-06,7.6472,32097.904829,32105.55203
296,0,0,2e-06,7.648843,32097.835322,32105.484165
297,0,0,2e-06,7.650508,32097.765815,32105.416323
298,0,0,2e-06,7.652159,32097.696307,32105.348466
299,0,0,2e-06,7.653774,32097.626798,32105.280572
300,0,0,2e-06,7.6554,32097.557289,32105.212689
301,0,0,2e-06,7.657076,32097.487779,32105.144855
302,0,0,2e-06,7.658675,32097.418269,32105.076944
303,0,0,2e-06,7.660367,32097.348758,32105.009125
304,0,0,2e-06,7.662102,32097.279246,32104.941348
305,0,0,2e-06,7.663574,32097.209734,32104.873308
306,0,0,2e-06,7.665215,32097.140222,32104.805438
307,0,0,2e-06,7.666763,32097.07071,32104.737473
308,0,0,2e-06,7.668481,32097.001197,32104.669678
309,0,0,2e-06,7.670266,32096.931683,32104.601949
310,0,0,2e-06,7.672027,32096.862168,32104.534195
311,0,0,2e-06,7.673646,32096.792652,32104.466297
312,0,0,2e-06,7.675404,32096.723135,32104.398539
313,0,0,2e-06,7.676962,32096.653618,32104.33058
314,0,0,2e-06,7.678619,32096.5841,32104.262719
315,0,0,2e-06,7.680247,32096.514582,32104.194829
316,0,0,2e-06,7.681951,32096.445064,32104.127015
317,0,0,2e-06,7.683707,32096.375544,32104.059251
318,0,0,2e-06,7.685571,32096.306023,32103.991594
319,0,0,2e-06,7.687408,32096.2365,32103.923908
320,0,0,2e-06,7.689137,32096.166976,32103.856113
321,0,0,2e-06,7.690933,32096.097451,32103.788384
322,0,0,2e-06,7.692641,32096.027926,32103.720567
323,0,0,2e-06,7.694394,32095.958399,32103.652792
324,0,0,2e-06,7.69613,32095.888871,32103.585001
325,0,0,2e-06,7.697948,32095.819343,32103.517291
326,0,0,2e-06,7.699683,32095.749813,32103.449496
327,0,0,2e-06,7.701419,32095.680282,32103.381702
328,0,0,2e-06,7.703107,32095.610751,32103.313858
329,0,0,2e-06,7.704814,32095.541219,32103.246033
330,0,0,2e-06,7.706655,32095.471685,32103.17834
331,0,0,2e-06,7.708403,32095.402151,32103.110554
332,0,0,2e-06,7.710204,32095.332615,32103.04282
333,0,0,2e-06,7.7121,32095.263078,32102.975178
334,0,0,2e-06,7.713904,32095.193539,32102.907443
335,0,0,2e-06,7.715759,32095.123999,32102.839758
336,0,0,2e-06,7.717606,32095.054457,32102.772063
337,0,0,2e-06,7.719332,32094.984914,32102.704246
338,0,0,2e-06,7.721084,32094.91537,32102.636454
339,0,0,2e-06,7.723001,32094.845825,32102.568826
340,0,0,2e-06,7.724886,32094.776278,32102.501164
341,0,0,2e-06,7.726749,32094.706729,32102.433478
342,0,0,2e-06,7.728611,32094.637179,32102.36579
343,0,0,2e-06,7.730501,32094.567628,32102.298129
344,0,0,2e-06,7.73241,32094.498075,32102.230485
345,0,0,2e-06,7.734291,32094.42852,32102.162811
346,0,0,2e-06,7.73615,32094.358963,32102.095113
347,0,0,2e-06,7.738063,32094.289405,32102.027469
348,0,0,2e-06,7.739981,32094.219845,32101.959826
349,0,0,2e-06,7.741877,32094.150284,32101.892161
350,0,0,2e-06,7.743851,32094.08072,32101.824572
351,0,0,2e-06,7.745742,32094.011155,32101.756897
352,0,0,2e-06,7.747477,32093.941589,32101.689066
353,0,0,2e-06,7.749319,32093.872022,32101.62134
354,0,0,2e-06,7.75129,32093.802453,32101.553742
355,0,0,2e-06,7.753157,32093.732882,32101.486039
356,0,0,2e-06,7.755047,32093.66331,32101.418356
357,0,0,2e-06,7.756883,32093.593736,32101.35062
358,0,0,2e-06,7.758797,32093.524161,32101.282958
359,0,0,2e-06,7.760705,32093.454584,32101.215289
360,0,0,2e-06,7.762657,32093.385006,32101.147663
