Frame,KE,StableProtons,UnstableParticles,NewBorn,Dissolved,SpinFlips,ColorFlips,AvgClusterSize,MinClusterSize,MaxClusterSize,MinDistance,MaxDistance,MeanDistance,KELossRadiative,ClustersDamped,ParticlesDamped
0,0.09855,3,6,3,0,0,0,0.46,0,5,0.0,9.92212,4.48149,0.0,0,0
1,0.31283,1,3,1,4,0,0,0.46,0,5,0.0,9.92209,4.4854,0.0,0,0
2,0.60637,4,0,3,1,0,0,0.46,0,4,0.0,9.92204,4.48187,0.0,0,0
3,0.94955,4,6,0,0,0,0,0.47,0,4,0.0,9.92198,4.4841,0.0,0,0
4,1.32468,2,9,0,0,0,0,0.47,0,3,0.0,9.92196,4.48265,3e-05,1,4
5,1.71902,3,15,1,0,0,0,0.49,0,3,0.0,9.9219,4.48333,4e-05,1,4
6,2.12162,4,12,2,0,0,0,0.48,0,3,0.0,9.92184,4.48359,0.0001,3,11
7,2.52422,7,9,3,0,0,0,0.5,0,3,0.0,9.92178,4.4873,0.00038,4,14
8,2.91714,6,0,0,0,0,0,0.5,0,3,0.0,9.92173,4.49075,0.00014,3,11
9,3.28505,5,0,0,0,0,0,0.48,0,3,0.0,9.92167,4.49178,0.00066,4,14
10,3.62383,5,0,0,0,0,0,0.46,0,3,0.0,9.92159,4.49252,0.00078,6,20
11,3.95265,6,6,1,0,0,0,0.46,0,3,0.0,9.92154,4.4943,0.00091,7,23
12,4.26602,5,9,0,0,0,0,0.48,0,3,0.0,9.92149,4.49464,0.00097,6,20
13,4.55567,4,9,0,0,0,0,0.46,0,3,0.0,9.92144,4.49572,0.00103,5,17
14,4.82331,4,9,0,0,0,0,0.46,0,3,0.0,9.9214,4.49622,0.00109,5,17
15,5.06436,4,9,1,0,0,0,0.48,0,3,0.0,9.92136,4.49656,0.002,7,23
16,5.28830,4,9,0,0,0,0,0.48,0,3,0.0,9.92133,4.49654,0.00217,9,30
17,5.49289,4,9,0,0,0,0,0.48,0,3,0.0,9.92129,4.49653,0.00225,9,30
18,5.67685,4,9,0,0,0,0,0.48,0,3,0.0,9.92126,4.49701,0.00232,9,30
19,5.84738,4,9,0,0,0,0,0.48,0,3,0.0,9.92123,4.49753,0.00332,11,37
20,6.00541,4,9,0,0,0,0,0.48,0,3,0.0,9.92121,4.49751,0.00341,11,37
21,6.15007,4,9,0,0,0,0,0.48,0,3,0.0,9.92119,4.4975,0.00348,11,37
22,6.28197,4,9,0,0,0,0,0.48,0,3,0.0,9.92116,4.49749,0.00355,11,37
23,6.39957,4,9,0,0,0,0,0.48,0,3,0.0,9.92115,4.49748,0.0036,11,37
24,6.50448,4,12,0,0,0,0,0.47,0,3,0.0,9.92113,4.49723,0.0035,10,33
25,6.60096,4,12,0,0,0,0,0.48,0,3,0.0,9.92111,4.49725,0.00355,10,33
26,6.68884,5,12,1,0,0,0,0.46,0,3,0.0,9.9211,4.49704,0.00355,9,29
27,6.76641,5,12,0,0,0,0,0.47,0,3,0.0,9.92108,4.49741,0.00357,9,29
28,6.83827,5,12,0,0,0,0,0.47,0,3,0.0,9.92107,4.49741,0.00367,10,32
29,6.90147,5,12,0,0,0,0,0.47,0,3,0.0,9.92106,4.4974,0.0037,10,32
30,6.95839,5,12,0,0,0,0,0.47,0,3,0.0,9.92105,4.4974,0.00373,11,35
31,7.00877,5,12,0,0,0,0,0.47,0,3,0.0,9.92104,4.49739,0.00374,11,35
32,7.05552,5,12,0,0,0,0,0.46,0,3,0.0,9.92104,4.49714,0.00376,11,35
33,7.09934,5,12,0,0,0,0,0.46,0,3,0.0,9.92103,4.49713,0.00377,11,35
34,7.13741,5,12,0,0,0,0,0.46,0,3,0.0,9.92102,4.49713,0.00378,11,35
35,7.17124,5,12,0,0,0,0,0.47,0,3,0.0,9.92102,4.49742,0.00378,11,35
36,7.20148,5,12,0,0,0,0,0.47,0,3,0.0,9.92101,4.49741,0.00379,11,35
37,7.22942,5,12,0,0,0,0,0.47,0,3,0.0,9.921,4.49741,0.00379,11,35
38,7.25479,5,12,0,0,0,0,0.47,0,3,0.0,9.921,4.49741,0.00379,11,35
39,7.27679,5,12,0,0,0,0,0.46,0,3,0.0,9.921,4.49722,0.00379,11,35
40,7.29647,5,12,0,0,0,0,0.46,0,3,0.0,9.92099,4.49722,0.00379,11,35
41,7.31500,5,12,0,0,0,0,0.46,0,3,0.0,9.92099,4.49721,0.00378,11,35
42,7.33154,5,12,0,0,0,0,0.46,0,3,0.0,9.92099,4.49721,0.00378,11,35
43,7.34618,5,12,0,0,0,0,0.46,0,3,0.0,9.92098,4.49721,0.00377,11,35
44,7.35956,5,12,0,0,0,0,0.46,0,3,0.0,9.92098,4.49721,0.00376,11,35
45,7.37136,5,12,0,0,0,0,0.46,0,3,0.0,9.92098,4.49721,0.00376,11,35
46,7.38224,5,12,0,0,0,0,0.47,0,3,0.0,9.92098,4.49692,0.00375,11,35
47,7.39142,5,12,0,0,0,0,0.47,0,3,0.0,9.92097,4.49692,0.00374,11,35
48,7.40015,5,12,0,0,0,0,0.47,0,3,0.0,9.92097,4.49692,0.00373,11,35
49,7.40772,5,12,0,0,0,0,0.47,0,3,0.0,9.92097,4.49691,0.00372,11,35
50,7.41424,5,12,0,0,0,0,0.47,0,3,0.0,9.92097,4.49691,0.00371,11,35
51,7.42027,5,12,0,0,0,0,0.47,0,3,0.0,9.92097,4.49691,0.0037,11,35
52,7.42565,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00369,11,35
53,7.43073,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00368,11,35
54,7.43535,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00367,11,35
55,7.43907,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00366,11,35
56,7.44275,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00365,11,35
57,7.44598,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00364,11,35
58,7.44880,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00362,11,35
59,7.45126,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.00361,11,35
60,7.45346,5,12,0,0,0,0,0.47,0,3,0.0,9.92096,4.49691,0.0036,11,35
61,7.45543,5,12,0,0,0,0,0.47,0,3,0.0,9.92095,4.49691,0.00359,11,35
62,7.45710,5,12,0,0,0,0,0.47,0,3,0.0,9.92095,4.49691,0.00358,11,35
63,7.45852,5,12,0,0,0,0,0.47,0,3,0.0,9.92095,4.49691,0.00356,11,35
