Frame,SpinFlips,ColorFlips,DT,KineticEnergy,PotentialEnergy,HamiltonianEnergy
0,0,2,0.000901,0.079741,55328103955491.914,55328103955491.99
1,0,1,0.000811,0.109302,64497798432.60948,64497798432.71878
2,0,2,0.00073,0.173191,5118108210.699254,5118108210.872445
3,0,2,0.000658,0.260633,1037292249.909824,1037292250.170457
4,0,0,0.000592,0.363438,332099541.132769,332099541.496207
5,0,0,0.000533,0.475408,139732591.096947,139732591.572355
6,0,0,0.00048,0.591835,70501329.047547,70501329.639382
7,0,0,0.000432,0.709267,40470532.508158,40470533.217425
8,0,1,0.000389,0.825164,25573463.317975,25573464.143139
9,0,0,0.00035,0.937742,17399880.117674,17399881.055416
10,0,0,0.000316,1.0459,12550457.949258,12550458.995158
11,0,0,0.000284,1.148514,9488462.586568,9488463.735082
12,0,0,0.000256,1.245063,7455194.778152,7455196.023215
13,0,2,0.000231,1.335456,6047991.19794,6047992.533396
14,0,2,0.000208,1.419802,5039801.505668,5039802.92547
15,0,0,0.000187,1.497694,4296067.37761,4296068.875304
16,0,0,0.000169,1.56961,3733737.448697,3733739.018307
17,0,3,0.000152,1.635792,3299451.517916,3299453.153708
18,0,0,0.000137,1.6968,2957865.942872,2957867.639672
19,0,3,0.000123,1.752683,2684883.197143,2684884.949826
20,0,0,0.000111,1.803766,2463693.474172,2463695.277938
21,0,0,0.0001,1.850376,2282291.092882,2282292.943258
22,0,2,9.1e-05,1.89284,2131929.762945,2131931.655785
23,0,1,8.2e-05,1.931469,2006122.945503,2006124.876973
24,0,1,7.4e-05,1.966567,1899981.732307,1899983.698875
25,0,0,6.7e-05,1.998422,1809766.952171,1809768.950593
26,0,1,6e-05,2.027306,1732580.337828,1732582.365134
27,0,0,5.4e-05,2.053472,1666147.825408,1666149.878881
28,0,0,4.9e-05,2.07716,1608665.047282,1608667.124442
29,0,1,4.4e-05,2.098589,1558685.534619,1558687.633208
30,0,1,4e-05,2.117962,1515038.716744,1515040.834706
31,0,1,3.6e-05,2.135468,1476769.013967,1476771.149435
32,0,2,3.3e-05,2.151279,1443090.065833,1443092.217112
33,0,0,3e-05,2.165543,1413349.956761,1413352.122303
34,0,0,2.7e-05,2.178414,1387004.526284,1387006.704698
35,0,1,2.5e-05,2.190024,1363596.68779,1363598.877814
36,0,0,2.2e-05,2.200495,1342740.258594,1342742.459089
37,0,4,2e-05,2.209934,1324107.209857,1324109.419792
38,0,0,1.8e-05,2.218442,1307417.532418,1307419.75086
39,0,1,1.7e-05,2.22611,1292431.120661,1292433.34677
40,0,0,1.5e-05,2.233018,1278941.22579,1278943.458808
41,0,3,1.4e-05,2.239242,1266769.138935,1266771.378177
42,0,2,1.3e-05,2.244848,1255759.845017,1255762.089865
43,0,1,1.2e-05,2.249898,1245778.44818,1245780.698078
44,0,1,1.1e-05,2.254446,1236707.214547,1236709.468993
45,0,0,1e-05,2.258543,1228443.112007,1228445.37055
46,0,1,9e-06,2.262234,1220895.752626,1220898.01486
47,0,0,8e-06,2.265558,1213985.663108,1213987.928666
48,0,1,8e-06,2.268553,1207642.824039,1207645.092592
49,0,1,7e-06,2.271253,1201805.43056,1201807.701813
50,0,2,7e-06,2.273686,1196418.836389,1196421.110074
51,0,0,6e-06,2.275879,1191434.650426,1191436.926305
52,0,2,6e-06,2.277858,1186809.960965,1186812.238823
53,0,1,5e-06,2.279644,1182506.667083,1182508.946727
54,0,2,5e-06,2.281256,1178490.900488,1178493.181745
55,0,1,5e-06,2.282713,1174732.524006,1174734.806719
