Frame,KE,StableProtons,UnstableParticles,NewBorn,Dissolved,SpinFlips,ColorFlips,AvgClusterSize,MinClusterSize,MaxClusterSize,MinDistance,MaxDistance,MeanDistance,KELossRadiative
0,0.07980,22,45,29,0,0,2,0.62,0,3,1e-05,9.96397,4.28966,6e-05
1,0.10939,22,48,1,0,0,1,0.62,0,3,0.0001,9.96394,4.28973,8e-05
2,0.17330,21,48,0,0,0,2,0.61,0,3,0.00023,9.96391,4.28898,0.0001
3,0.26079,21,45,2,1,0,2,0.6,0,3,0.00039,9.96388,4.28852,0.00016
4,0.36365,21,42,0,0,0,0,0.59,0,3,0.00057,9.96385,4.28911,0.00022
5,0.47568,20,42,0,0,0,0,0.58,0,3,0.00075,9.97795,4.29021,0.00027
6,0.59219,21,42,3,0,0,0,0.59,0,3,0.00095,9.97793,4.28994,0.00035
7,0.70968,20,42,0,0,0,0,0.59,0,3,0.37455,9.97792,4.29066,0.00042
8,0.82564,20,42,0,0,0,1,0.59,0,3,0.37448,9.9779,4.29065,0.00048
9,0.93827,19,42,0,0,0,0,0.58,0,3,0.3744,9.97788,4.29014,0.00052
10,1.04632,18,42,0,0,0,0,0.57,0,3,0.37433,9.97787,4.29034,0.00042
11,1.14914,18,42,0,0,0,0,0.57,0,3,0.37427,9.97786,4.29033,0.00063
12,1.24591,18,42,0,0,0,0,0.57,0,3,0.3742,9.97784,4.29033,0.00085
13,1.33635,18,36,1,0,0,2,0.57,0,3,0.37414,9.97783,4.29042,0.0009
14,1.42058,17,36,0,0,0,2,0.56,0,3,0.37409,9.97782,4.2911,0.00078
15,1.49884,17,36,0,0,0,0,0.56,0,3,0.37404,9.97781,4.29109,0.00115
16,1.57080,17,36,0,0,0,0,0.56,0,3,0.37399,9.97781,4.29099,0.00119
17,1.63702,17,36,0,0,0,3,0.56,0,3,0.37395,9.9778,4.29098,0.00123
18,1.69779,16,36,0,0,0,0,0.55,0,3,0.37391,9.97779,4.29149,0.00099
19,1.75370,16,36,0,0,0,3,0.55,0,3,0.37387,9.97779,4.29149,0.00102
20,1.80480,16,36,0,0,0,0,0.55,0,3,0.37384,9.97778,4.29148,0.00104
21,1.85143,16,36,0,0,0,0,0.55,0,3,0.37381,9.97777,4.29148,0.00106
22,1.89391,14,39,0,0,0,2,0.56,0,3,0.37378,9.96372,4.29157,0.00107
23,1.93255,14,39,0,0,0,1,0.56,0,3,0.37375,9.96371,4.29157,0.00108
24,1.96766,14,39,0,0,0,1,0.56,0,3,0.37373,9.96371,4.29157,0.00109
25,1.99953,14,39,0,0,0,0,0.56,0,3,0.37371,9.96371,4.29157,0.00111
26,2.02842,14,39,0,0,0,1,0.56,0,3,0.37369,9.96371,4.29156,0.00111
27,2.05459,14,39,0,0,0,0,0.56,0,3,0.37367,9.9637,4.29211,0.00112
28,2.07829,14,39,0,0,0,0,0.56,0,3,0.37365,9.9637,4.29211,0.00113
29,2.09972,14,39,0,0,0,1,0.56,0,3,0.37364,9.9637,4.29211,0.00113
30,2.11910,14,39,0,0,0,1,0.56,0,3,0.37363,9.9637,4.29211,0.00113
31,2.13661,14,39,0,0,0,1,0.56,0,3,0.37361,9.9637,4.2921,0.00114
32,2.15242,14,39,0,0,0,2,0.56,0,3,0.3736,9.96369,4.2921,0.00114
33,2.16669,14,39,0,0,0,0,0.56,0,3,0.37359,9.96369,4.2921,0.00115
34,2.17956,14,39,0,0,0,0,0.56,0,3,0.37358,9.96369,4.2921,0.00115
35,2.19117,14,39,0,0,0,1,0.56,0,3,0.37358,9.96369,4.2921,0.00115
36,2.20164,14,39,0,0,0,0,0.56,0,3,0.37357,9.96369,4.2921,0.00115
37,2.21108,13,40,0,0,0,4,0.56,0,3,0.37356,9.96369,4.2921,0.00114
38,2.21958,13,40,0,0,0,0,0.56,0,3,0.37356,9.96369,4.2921,0.00114
39,2.22725,14,37,1,0,0,1,0.56,0,3,0.37355,9.96369,4.29208,0.00114
40,2.23415,14,37,0,0,0,0,0.56,0,3,0.37354,9.96369,4.29208,0.00114
41,2.24037,14,37,0,0,0,3,0.56,0,3,0.37354,9.96369,4.29208,0.00113
42,2.24598,14,37,0,0,0,2,0.56,0,3,0.37354,9.96369,4.29208,0.00113
43,2.25102,14,37,0,0,0,1,0.56,0,3,0.37353,9.96369,4.29208,0.00112
44,2.25557,14,37,0,0,0,1,0.56,0,3,0.37353,9.96369,4.29208,0.00112
45,2.25966,14,37,0,0,0,0,0.56,0,3,0.37352,9.96369,4.29208,0.00112
