Frame,ClusterID,FailureReason
100,5-7-227,color_ratio_wrong
100,27-65-173,color_ratio_wrong
100,49-334-430,spin_violation
100,53-206-318,spin_violation
100,87-290-475,color_ratio_wrong
100,129-143-307,color_ratio_wrong
100,24-135-314,color_ratio_wrong
100,194-262-459,color_ratio_wrong
100,7-61-227,color_ratio_wrong
100,221-260-436,spin_violation
100,194-262-424,spin_violation
100,267-394-416,spin_violation
100,114-293-449,spin_violation
100,0-302-381,spin_violation
100,129-307-377,color_ratio_wrong
100,53-69-318,color_ratio_wrong
100,106-141-389,color_ratio_wrong
100,144-238-474,spin_violation
200,27-65-173,color_ratio_wrong
200,49-334-430,spin_violation
200,53-206-318,spin_violation
200,87-290-475,color_ratio_wrong
200,129-143-307,color_ratio_wrong
200,169-290-475,color_ratio_wrong
200,194-262-459,color_ratio_wrong
200,12-197-370,color_ratio_wrong
200,221-260-436,spin_violation
200,194-262-424,spin_violation
200,267-394-416,spin_violation
200,114-293-449,spin_violation
200,0-302-381,spin_violation
200,129-307-377,color_ratio_wrong
200,90-150-341,color_ratio_wrong
200,106-141-389,color_ratio_wrong
200,144-238-474,spin_violation
200,87-169-475,color_ratio_wrong
200,60-202-476,spin_violation
200,124-147-482,color_ratio_wrong
300,27-65-173,color_ratio_wrong
300,49-334-430,spin_violation
300,53-206-318,spin_violation
300,87-290-475,color_ratio_wrong
300,129-143-307,color_ratio_wrong
300,169-290-475,color_ratio_wrong
300,194-262-459,color_ratio_wrong
300,12-197-370,color_ratio_wrong
300,221-260-436,spin_violation
300,194-262-424,spin_violation
300,267-394-416,spin_violation
300,114-293-449,spin_violation
300,0-302-381,spin_violation
300,129-307-377,color_ratio_wrong
300,106-141-389,color_ratio_wrong
300,144-238-474,spin_violation
300,87-169-475,color_ratio_wrong
300,60-202-476,spin_violation
300,122-437-495,color_ratio_wrong
400,27-65-173,color_ratio_wrong
400,49-334-430,spin_violation
400,53-206-318,spin_violation
400,87-290-475,color_ratio_wrong
400,129-143-307,color_ratio_wrong
400,38-141-389,color_ratio_wrong
400,169-290-475,color_ratio_wrong
400,194-262-459,color_ratio_wrong
400,12-197-370,color_ratio_wrong
400,7-61-227,color_ratio_wrong
400,221-260-436,spin_violation
400,194-262-424,spin_violation
400,267-394-416,spin_violation
400,114-293-449,spin_violation
400,0-302-381,spin_violation
400,129-307-377,color_ratio_wrong
400,106-141-389,color_ratio_wrong
400,144-238-474,spin_violation
400,87-169-475,color_ratio_wrong
400,60-202-476,spin_violation
400,124-147-482,color_ratio_wrong
400,122-437-495,color_ratio_wrong
500,24-135-478,color_ratio_wrong
500,27-65-173,color_ratio_wrong
500,49-334-430,spin_violation
500,53-206-318,spin_violation
500,87-290-475,color_ratio_wrong
500,38-141-389,color_ratio_wrong
500,169-290-475,color_ratio_wrong
500,12-197-370,color_ratio_wrong
500,7-61-227,color_ratio_wrong
500,221-260-436,spin_violation
500,194-262-424,spin_violation
500,267-394-416,spin_violation
500,114-293-449,spin_violation
500,0-302-381,spin_violation
500,53-69-318,color_ratio_wrong
500,106-141-389,color_ratio_wrong
500,267-371-416,color_ratio_wrong
500,49-165-430,color_ratio_wrong
500,144-238-474,spin_violation
500,87-169-475,color_ratio_wrong
500,60-202-476,spin_violation
500,124-147-482,color_ratio_wrong
500,122-437-495,color_ratio_wrong
600,27-65-173,color_ratio_wrong
600,49-334-430,spin_violation
600,53-206-318,spin_violation
600,87-290-475,color_ratio_wrong
600,38-141-389,color_ratio_wrong
600,169-290-475,color_ratio_wrong
600,115-151-187,color_ratio_wrong
600,12-197-370,color_ratio_wrong
600,221-260-436,spin_violation
600,194-262-424,spin_violation
600,267-394-416,spin_violation
600,114-293-449,spin_violation
600,0-302-381,spin_violation
600,53-69-318,color_ratio_wrong
600,262-424-486,color_ratio_wrong
600,49-165-430,color_ratio_wrong
600,144-238-474,spin_violation
600,87-169-475,color_ratio_wrong
600,60-202-476,spin_violation
600,124-147-482,color_ratio_wrong
600,122-437-495,color_ratio_wrong
700,0-302-435,color_ratio_wrong
700,27-65-173,color_ratio_wrong
700,49-334-430,spin_violation
700,53-206-318,spin_violation
700,115-151-187,color_ratio_wrong
700,12-197-370,color_ratio_wrong
700,14-207-268,color_ratio_wrong
700,221-260-436,spin_violation
700,194-262-424,spin_violation
700,267-394-416,spin_violation
700,114-293-449,spin_violation
700,0-302-381,spin_violation
700,267-371-416,color_ratio_wrong
700,49-165-430,color_ratio_wrong
700,144-238-474,spin_violation
700,60-202-476,spin_violation
700,124-147-482,color_ratio_wrong
700,122-437-495,color_ratio_wrong
800,29-116-370,color_ratio_wrong
800,49-334-430,spin_violation
800,53-206-318,spin_violation
800,14-207-268,color_ratio_wrong
800,221-260-436,spin_violation
800,194-262-424,spin_violation
800,267-394-416,spin_violation
800,114-293-449,spin_violation
800,0-302-381,spin_violation
800,135-172-314,color_ratio_wrong
800,388-411-447,color_ratio_wrong
800,267-371-416,color_ratio_wrong
800,144-238-474,spin_violation
800,60-202-476,spin_violation
800,124-147-482,color_ratio_wrong
800,122-437-495,color_ratio_wrong
900,49-334-430,spin_violation
900,53-206-318,spin_violation
900,14-207-268,color_ratio_wrong
900,221-260-436,spin_violation
900,194-262-424,spin_violation
900,267-394-416,spin_violation
900,114-293-449,spin_violation
900,0-302-381,spin_violation
900,135-172-314,color_ratio_wrong
900,90-150-341,color_ratio_wrong
900,388-411-447,color_ratio_wrong
900,144-238-474,spin_violation
900,60-202-476,spin_violation
900,122-437-495,color_ratio_wrong
1000,49-334-430,spin_violation
1000,53-206-318,spin_violation
1000,151-182-187,color_ratio_wrong
1000,14-207-268,color_ratio_wrong
1000,221-260-436,spin_violation
1000,194-262-424,spin_violation
1000,267-394-416,spin_violation
1000,114-293-449,spin_violation
1000,0-302-381,spin_violation
1000,90-150-341,color_ratio_wrong
1000,144-238-474,spin_violation
1000,60-202-476,spin_violation
1100,49-334-430,spin_violation
1100,53-206-318,spin_violation
1100,38-141-389,color_ratio_wrong
1100,151-182-187,color_ratio_wrong
1100,14-207-268,color_ratio_wrong
1100,221-260-436,spin_violation
1100,194-262-424,spin_violation
1100,267-394-416,spin_violation
1100,114-293-449,spin_violation
1100,0-302-381,spin_violation
1100,388-411-447,color_ratio_wrong
1100,144-238-474,spin_violation
1100,60-202-476,spin_violation
1100,200-343-493,color_ratio_wrong
1200,0-302-435,color_ratio_wrong
1200,49-334-430,spin_violation
1200,53-206-318,spin_violation
1200,87-290-475,color_ratio_wrong
1200,38-141-389,color_ratio_wrong
1200,115-151-187,color_ratio_wrong
1200,14-207-268,color_ratio_wrong
1200,221-260-436,spin_violation
1200,194-262-424,spin_violation
1200,267-394-416,spin_violation
1200,114-293-449,spin_violation
1200,0-302-381,spin_violation
1200,267-371-416,color_ratio_wrong
1200,144-238-474,spin_violation
1200,60-202-476,spin_violation
1200,124-147-482,color_ratio_wrong
1200,200-343-493,color_ratio_wrong
1300,0-302-435,color_ratio_wrong
1300,24-135-478,color_ratio_wrong
1300,49-334-430,spin_violation
1300,53-206-318,spin_violation
1300,24-135-314,color_ratio_wrong
1300,38-141-389,color_ratio_wrong
1300,2-159-315,color_ratio_wrong
1300,169-290-475,color_ratio_wrong
1300,115-151-187,color_ratio_wrong
1300,14-207-268,color_ratio_wrong
1300,221-260-436,spin_violation
1300,194-262-424,spin_violation
1300,267-394-416,spin_violation
1300,114-293-449,spin_violation
1300,0-302-381,spin_violation
1300,129-307-377,color_ratio_wrong
1300,135-172-314,color_ratio_wrong
1300,267-371-416,color_ratio_wrong
1300,144-238-474,spin_violation
1300,60-202-476,spin_violation
1300,124-147-482,color_ratio_wrong
1400,0-302-435,color_ratio_wrong
1400,49-334-430,spin_violation
1400,53-206-318,spin_violation
1400,38-141-389,color_ratio_wrong
1400,2-159-315,color_ratio_wrong
1400,194-262-459,color_ratio_wrong
1400,221-260-436,spin_violation
1400,194-262-424,spin_violation
1400,267-394-416,spin_violation
1400,114-293-449,spin_violation
1400,0-302-381,spin_violation
1400,129-307-377,color_ratio_wrong
