ClusterID,BirthFrame,DeathFrame,Lifetime
45-304-306,8,197,189
278-299-331,3406,5000,1594
278-299-460,2736,1017,1016
278-331-460,1017,2238,1221
82-122-270,1,2325,2324
156-286-465,1,2527,2526
73-117-307,2156,2757,601
2-195-292,1,2829,2828
245-358-394,1,2986,2985
67-183-490,3350,3087,110
141-349-390,3997,4662,665
243-303-375,1,5000,4999
148-253-261,1,5000,4999
277-369-377,1,5000,4999
115-248-300,1,5000,4999
170-286-427,2527,5000,2473
229-460-476,4541,5000,459
105-256-482,1940,5000,3060
316-438-497,1,5000,4999
0-20-420,1,5000,4999
289-324-326,2338,5000,2662
135-197-319,4818,5000,182
35-138-174,2317,5000,2683
72-353-418,1,5000,4999
106-284-491,4556,5000,444
219-388-485,1,5000,4999
51-151-231,1,5000,4999
261-357-447,1,5000,4999
289-324-378,2259,5000,2741
90-176-413,3563,5000,1437
333-370-470,1,5000,4999
25-83-450,1,5000,4999
217-348-367,2755,5000,2245
155-171-283,4539,5000,461
104-112-483,1,5000,4999
78-109-381,4957,5000,43
17-209-246,3974,5000,1026
172-318-332,1,5000,4999
353-418-464,1,5000,4999
15-79-236,3448,5000,1552
51-327-417,264,5000,4736
129-322-454,1,5000,4999
107-190-207,1,5000,4999
10-80-260,1,5000,4999
162-252-347,1,5000,4999
79-94-133,3821,5000,1179
225-368-397,2210,5000,2790
39-404-449,2873,5000,2127
89-138-174,2308,5000,2692
82-374-384,2325,5000,2675
239-418-464,4305,5000,695
289-326-378,2338,5000,2662
105-111-256,2532,5000,2468
2-292-328,1,5000,4999
195-269-435,139,5000,4861
188-229-476,4541,5000,459
10-72-353,1,5000,4999
82-226-270,3144,5000,1856
23-365-419,1,5000,4999
132-206-235,1,5000,4999
7-54-55,1,5000,4999
76-143-494,2012,5000,2988
35-89-138,1,5000,4999
194-400-448,1,5000,4999
124-308-498,1743,5000,3257
1-50-429,2948,5000,2052
195-292-435,139,5000,4861
53-401-411,1584,5000,3416
91-368-412,1,5000,4999
107-190-481,1,5000,4999
217-348-351,1,5000,4999
275-433-461,3439,5000,1561
22-113-395,4380,5000,620
73-117-221,1797,5000,3203
213-340-452,1,5000,4999
225-368-412,1,5000,4999
243-342-375,1,5000,4999
18-336-338,1,5000,4999
343-348-367,3857,5000,1143
13-14-344,1,5000,4999
51-151-327,1,5000,4999
27-127-142,1,5000,4999
35-89-174,2317,5000,2683
324-326-378,1,5000,4999
103-219-388,1,5000,4999
168-169-408,1,5000,4999
2-269-328,1,5000,4999
125-291-350,4720,5000,280
164-234-466,4020,5000,980
91-341-412,2792,5000,2208
82-122-469,1,5000,4999
190-309-481,1,5000,4999
4-251-379,1581,5000,3419
213-340-416,2728,5000,2272
248-300-489,1,5000,4999
132-235-258,1,5000,4999
15-79-94,2288,5000,2712
320-346-462,1,5000,4999
124-199-308,1743,5000,3257
10-72-260,1,5000,4999
107-207-430,1,5000,4999
103-168-408,1,5000,4999
269-328-435,139,5000,4861
179-230-306,197,5000,4803
