Frame,ClusterID,Charge,BindingEnergy
0,2-292-328,2,44.63311769122377
0,7-54-55,1,40.29639660668124
0,10-72-260,2,44.628333819051974
0,13-14-344,2,44.6321392673934
0,18-336-338,1,44.62938840403417
0,0-20-420,2,40.29430417691992
0,10-72-353,1,44.63240838759475
0,104-112-483,1,44.629518479326435
0,107-190-207,2,44.626842471161815
0,82-122-469,1,44.62598989823642
0,129-322-454,2,162.92681561391169
0,35-89-138,1,44.62819525065525
0,162-252-347,2,40.294571167844715
0,107-190-481,1,44.63176300991887
0,194-400-448,1,162.9279966368216
0,217-348-351,2,44.62780330528063
0,219-388-485,1,44.63217415538475
0,243-303-375,1,40.29640004645286
0,245-358-394,1,44.63086159909848
0,115-248-300,2,44.633291405404826
0,10-80-260,2,44.633071251072444
0,320-346-462,1,44.63512421003056
0,324-326-378,2,44.632333633828075
0,2-269-328,1,44.63012415423737
0,278-299-331,1,162.93012585577517
0,172-318-332,1,44.63344944079374
0,72-353-418,1,44.63295591702048
0,225-368-412,1,44.63782109445552
0,103-219-388,1,44.63658853836877
0,103-168-408,2,44.631368093498565
0,91-368-412,2,44.63732992620017
0,23-365-419,2,40.29477608549102
0,261-357-447,2,44.62813019204603
0,278-299-460,1,162.92800555878935
0,190-309-481,1,44.62881054331081
10,2-292-328,2,44.63931932954748
10,7-54-55,1,40.30332740422715
10,10-72-260,2,44.60796083411824
10,13-14-344,2,44.633277588806685
10,18-336-338,1,44.61171231037388
10,0-20-420,2,40.28461073587724
10,10-72-353,1,44.639594351173294
10,104-112-483,1,44.61589283477976
10,107-190-207,2,44.59227151558975
10,82-122-469,1,44.58489280754007
10,129-322-454,2,162.91710765123517
10,35-89-138,1,44.60486543399321
10,162-252-347,2,40.28651076032688
10,107-190-481,1,44.63341506819868
10,194-400-448,1,162.92792064370877
10,217-348-351,2,44.601336848333744
10,219-388-485,1,44.635224893893685
10,243-303-375,1,40.298661158340494
10,245-358-394,1,44.62539526623961
10,115-248-300,2,44.64759435831141
10,10-80-260,2,44.645805466707856
10,320-346-462,1,44.66012528115078
10,324-326-378,2,44.63667178376241
10,2-269-328,1,44.6148338107244
10,278-299-331,1,162.94658392848643
10,172-318-332,1,44.64680882604
10,72-353-418,1,44.64236091978107
10,225-368-412,1,44.6813357953567
10,103-219-388,1,44.67199185163324
10,103-168-408,2,44.630890534709735
10,91-368-412,2,44.67545368377759
10,23-365-419,2,40.287814893785885
10,261-357-447,2,44.599604075733716
10,278-299-460,1,162.9310550865134
10,190-309-481,1,44.610379209936944
20,2-292-328,2,44.64238817518097
20,7-54-55,1,40.30806052373394
20,10-72-260,2,44.596059264784635
20,13-14-344,2,44.63404351957412
20,18-336-338,1,44.60036441311323
20,0-20-420,2,40.278632890388835
20,10-72-353,1,44.64388297322489
20,104-112-483,1,44.60762227342435
20,107-190-207,2,44.57053265989069
20,82-122-469,1,44.559889944705446
20,129-322-454,2,162.91103488098713
20,35-89-138,1,44.59083543932306
20,162-252-347,2,40.28149627167666
20,107-190-481,1,44.6341282989312
20,194-400-448,1,162.92754526262746
20,217-348-351,2,44.585061882668164
20,219-388-485,1,44.636812995354965
20,243-303-375,1,40.2999734274087
20,245-358-394,1,44.62203572964136
20,115-248-300,2,44.656105160685236
20,10-80-260,2,44.653606778111865
20,320-346-462,1,44.67579855650477
20,324-326-378,2,44.638535629660936
20,2-269-328,1,44.60560466228338
20,278-299-331,1,162.95667167411105
20,172-318-332,1,44.65485925093977
20,72-353-418,1,44.647815014801026
20,225-368-412,1,44.708048245154245
20,103-219-388,1,44.69260506676124
20,103-168-408,2,44.63014062336705
20,91-368-412,2,44.69862579416864
20,23-365-419,2,40.283857695421915
20,261-357-447,2,44.582204461057714
20,278-299-460,1,162.93333801406652
20,190-309-481,1,44.598830466683694
30,2-292-328,2,44.64433397257598
30,7-54-55,1,40.31197367427755
30,10-72-260,2,44.58728877090355
30,13-14-344,2,44.634667646572055
30,18-336-338,1,44.59131515306444
30,0-20-420,2,40.27399712282673
30,10-72-353,1,44.647094678336536
30,104-112-483,1,44.601281185985904
30,107-190-207,2,44.553651349046305
30,82-122-469,1,44.54074093170994
30,129-322-454,2,162.90628586388402
30,35-89-138,1,44.58011122637163
30,162-252-347,2,40.27758643137249
30,107-190-481,1,44.634522121177724
30,194-400-448,1,162.9270887939791
30,217-348-351,2,44.572442637737666
30,219-388-485,1,44.6379903622826
30,243-303-375,1,40.300881080644736
30,245-358-394,1,44.619452384463365
30,115-248-300,2,44.66250861498762
30,10-80-260,2,44.659586636752096
30,320-346-462,1,44.688106259012336
30,324-326-378,2,44.6395772115291
30,2-269-328,1,44.59863442803033
30,278-299-331,1,162.9644222272457
30,172-318-332,1,44.661009443919845
30,72-353-418,1,44.65182777603241
30,225-368-412,1,44.7286614194255
30,103-219-388,1,44.70765203292666
30,103-168-408,2,44.62940822193018
30,91-368-412,2,44.716351034255034
30,23-365-419,2,40.28095595895157
30,261-357-447,2,44.56879444364207
30,278-299-460,1,162.93527505596643
30,190-309-481,1,44.58983261458456
40,2-292-328,2,44.64575758390534
40,7-54-55,1,40.315662982697944
40,10-72-260,2,44.57979467575463
40,13-14-344,2,44.6352545822652
40,18-336-338,1,44.58300148176668
40,0-20-420,2,40.26984564952709
40,10-72-353,1,44.649877772415614
40,104-112-483,1,44.59564544173858
40,107-190-207,2,44.53856660715476
40,82-122-469,1,44.5237599431658
40,129-322-454,2,162.90199653691397
40,35-89-138,1,44.57059998168445
40,162-252-347,2,40.27406547464432
40,107-190-481,1,44.634759733764135
40,194-400-448,1,162.9265522655091
40,217-348-351,2,44.56112623730565
40,219-388-485,1,44.63902442533544
40,243-303-375,1,40.301592651351456
40,245-358-394,1,44.61715144959968
40,115-248-300,2,44.66809424146531
40,10-80-260,2,44.66488499462332
40,320-346-462,1,44.69927194792832
40,324-326-378,2,44.64021777973283
40,2-269-328,1,44.59255129622023
40,278-299-331,1,162.97131091612917
40,172-318-332,1,44.666469617437485
40,72-353-418,1,44.655255965349475
40,225-368-412,1,44.74706069367944
40,103-219-388,1,44.720360716144405
40,103-168-408,2,44.62867519155356
40,91-368-412,2,44.73203861654477
40,23-365-419,2,40.27847120847449
40,261-357-447,2,44.556828173162735
40,278-299-460,1,162.93710981812444
40,190-309-481,1,44.58175028036626
50,2-292-328,2,44.646867447140046
50,7-54-55,1,40.31935664238674
50,10-72-260,2,44.57294741431829
50,13-14-344,2,44.63584409618906
50,18-336-338,1,44.574858232047205
50,0-20-420,2,40.265875452198365
50,10-72-353,1,44.65245734087367
50,104-112-483,1,44.59028354170582
50,107-190-207,2,44.52418621430102
50,82-122-469,1,44.507667364801
50,129-322-454,2,162.89786186895518
50,35-89-138,1,44.56158335721942
50,162-252-347,2,40.270679428474686
50,107-190-481,1,44.63488904048486
50,194-400-448,1,162.925923149034
50,217-348-351,2,44.55029494563001
50,219-388-485,1,44.639993622173876
50,243-303-375,1,40.30217957492796
50,245-358-394,1,44.61495901849595
50,115-248-300,2,44.67330805185285
50,10-80-260,2,44.66990119412924
50,320-346-462,1,44.71008615544181
50,324-326-378,2,44.6405755606944
50,2-269-328,1,44.58690260383502
50,278-299-331,1,162.97784608598022
50,172-318-332,1,44.67166003457753
50,72-353-418,1,44.6583914803111
50,225-368-412,1,44.764608817241445
50,103-219-388,1,44.731838864594984
50,103-168-408,2,44.627911363121214
50,91-368-412,2,44.746881891321536
50,23-365-419,2,40.27618174329152
50,261-357-447,2,44.54541853911891
50,278-299-460,1,162.93894498009763
50,190-309-481,1,44.57400257097653
60,2-292-328,2,44.64774577639591
60,7-54-55,1,40.323136721312835
60,10-72-260,2,44.566526530938994
60,13-14-344,2,44.63645018928676
60,18-336-338,1,44.56668863529703
60,0-20-420,2,40.26198101807117
60,10-72-353,1,44.65491202874338
60,104-112-483,1,44.585049652274094
60,107-190-207,2,44.51013253404856
60,82-122-469,1,44.492020540149426
60,129-322-454,2,162.8937754950463
60,35-89-138,1,44.552818698340644
60,162-252-347,2,40.26734017636739
60,107-190-481,1,44.63493944200236
60,194-400-448,1,162.92519640101926
60,217-348-351,2,44.539662839742164
60,219-388-485,1,44.64091646761745
60,243-303-375,1,40.30266662881724
60,245-358-394,1,44.61281489321478
60,115-248-300,2,44.67829611434103
60,10-80-260,2,44.67477397864485
60,320-346-462,1,44.72083328757587
60,324-326-378,2,44.640685076111865
60,2-269-328,1,44.58153809761755
60,278-299-331,1,162.98420881234276
60,172-318-332,1,44.676728861625584
60,72-353-418,1,44.661338978670145
60,225-368-412,1,44.78177750457081
60,103-219-388,1,44.74248532557825
60,103-168-408,2,44.62710071557935
60,91-368-412,2,44.76129705818513
60,23-365-419,2,40.274013842619716
60,261-357-447,2,44.534258756483375
60,278-299-460,1,162.94081182674853
60,190-309-481,1,44.56639853569639
70,2-292-328,2,44.648422477924946
70,7-54-55,1,40.32702511588585
70,10-72-260,2,44.560455740440275
70,13-14-344,2,44.63707594800247
70,18-336-338,1,44.55843923382702
70,0-20-420,2,40.258131625203234
70,10-72-353,1,44.65726674502061
70,104-112-483,1,44.57990726622877
70,107-190-207,2,44.49628871372638
70,82-122-469,1,44.4766862207814
70,129-322-454,2,162.8897068078231
70,35-89-138,1,44.54423091206837
70,162-252-347,2,40.26402230606757
70,107-190-481,1,44.63492383701564
70,194-400-448,1,162.92437200623027
70,217-348-351,2,44.52915213789303
70,219-388-485,1,44.641793486258216
70,243-303-375,1,40.30305677344466
70,245-358-394,1,44.610695565021445
70,115-248-300,2,44.68310131054096
70,10-80-260,2,44.679544488590395
70,320-346-462,1,44.73159300213181
70,324-326-378,2,44.64056657800491
70,2-269-328,1,44.57640388968666
70,278-299-331,1,162.99045529616185
70,172-318-332,1,44.68172923246799
70,72-353-418,1,44.66413695083251
70,225-368-412,1,44.79870561054728
70,103-219-388,1,44.75245141073013
70,103-168-408,2,44.626237577676356
70,91-368-412,2,44.77540775809352
70,23-365-419,2,40.27194106030557
70,261-357-447,2,44.52325807100917
70,278-299-460,1,162.94271033918344
70,190-309-481,1,44.558887871282074
80,2-292-328,2,44.648920947133426
80,7-54-55,1,40.33103327040408
80,10-72-260,2,44.55469722646777
80,13-14-344,2,44.637721960096115
80,18-336-338,1,44.55009196419487
80,0-20-420,2,40.25431079358174
80,10-72-353,1,44.659541148751224
80,104-112-483,1,44.574837340162645
80,107-190-207,2,44.48258689794332
80,82-122-469,1,44.461586156216775
80,129-322-454,2,162.88564103348645
80,35-89-138,1,44.535774881185816
80,162-252-347,2,40.2607124024153
80,107-190-481,1,44.63484125304827
80,194-400-448,1,162.92345007905067
80,217-348-351,2,44.51872021880053
80,219-388-485,1,44.64261178525858
80,243-303-375,1,40.303355597962614
80,245-358-394,1,44.60859087534972
80,115-248-300,2,44.6877433007358
80,10-80-260,2,44.684235026254996
80,320-346-462,1,44.74239833085308
80,324-326-378,2,44.640234511147526
80,2-269-328,1,44.57147698411084
80,278-299-331,1,162.9966167508422
80,172-318-332,1,44.686681067291005
80,72-353-418,1,44.66681418490636
80,225-368-412,1,44.815467486198514
80,103-219-388,1,44.761828512022404
80,103-168-408,2,44.62531398868677
80,91-368-412,2,44.789280362812676
80,23-365-419,2,40.269951964604886
80,261-357-447,2,44.51237241164943
80,278-299-460,1,162.94464335228614
80,190-309-481,1,44.55144019058326
90,2-292-328,2,44.64926520398957
90,7-54-55,1,40.33516487142579
90,10-72-260,2,44.54923077628573
90,13-14-344,2,44.63838625990338
90,18-336-338,1,44.5416428348532
90,0-20-420,2,40.25051361697109
90,10-72-353,1,44.6617385109471
90,104-112-483,1,44.56983455315242
90,107-190-207,2,44.4689961224738
90,82-122-469,1,44.44668247102771
90,129-322-454,2,162.8815822502256
90,35-89-138,1,44.52742703482179
90,162-252-347,2,40.25740468845041
90,107-190-481,1,44.63469339992209
90,194-400-448,1,162.92243123364926
90,217-348-351,2,44.508347552261704
90,219-388-485,1,44.64336052835436
90,243-303-375,1,40.303568725848386
90,245-358-394,1,44.60649719493393
90,115-248-300,2,44.69224029928501
90,10-80-260,2,44.68885674175935
90,320-346-462,1,44.753258621582
90,324-326-378,2,44.63968652907715
90,2-269-328,1,44.56674719818376
90,278-299-331,1,163.00270512886877
90,172-318-332,1,44.691603002939104
90,72-353-418,1,44.66937366251272
90,225-368-412,1,44.83209660215361
90,103-219-388,1,44.77067574119665
90,103-168-408,2,44.624328081115706
90,91-368-412,2,44.802946436925176
90,23-365-419,2,40.268041273441085
90,261-357-447,2,44.501580816357105
90,278-299-460,1,162.94661059705115
90,190-309-481,1,44.54404299448636
100,2-292-328,2,44.649473365488404
100,7-54-55,1,40.33941266197799
100,10-72-260,2,44.54404026259096
100,13-14-344,2,44.6390732199472
100,18-336-338,1,44.53308953883274
100,0-20-420,2,40.24674258482013
100,10-72-353,1,44.66386090116716
100,104-112-483,1,44.56489995191001
100,107-190-207,2,44.45550161443004
100,82-122-469,1,44.43196535298188
100,129-322-454,2,162.87753029348283
100,35-89-138,1,44.519162058923406
100,162-252-347,2,40.254097545286776
100,107-190-481,1,44.634485367888246
100,194-400-448,1,162.92131660970273
100,217-348-351,2,44.49802833281391
100,219-388-485,1,44.644029070224036
100,243-303-375,1,40.303701151129445
100,245-358-394,1,44.60441321715599
100,115-248-300,2,44.69660001195646
100,10-80-260,2,44.69341566457992
100,320-346-462,1,44.76417462645966
100,324-326-378,2,44.638926336292975
100,2-269-328,1,44.562206597800525
100,278-299-331,1,163.00872546731745
100,172-318-332,1,44.6964974665165
100,72-353-418,1,44.6718167936051
100,225-368-412,1,44.84860519784403
100,103-219-388,1,44.77902919868103
100,103-168-408,2,44.623279437317095
100,91-368-412,2,44.81642073504889
100,23-365-419,2,40.26620620384439
100,261-357-447,2,44.49087267889317
100,278-299-460,1,162.94861011221562
100,190-309-481,1,44.536692507567004
110,2-292-328,2,44.649563008025645
110,7-54-55,1,40.343769005132145
110,10-72-260,2,44.539113239543575
110,13-14-344,2,44.639782660697996
110,18-336-338,1,44.52443308001046
110,0-20-420,2,40.24299649520276
110,10-72-353,1,44.665918356987454
110,104-112-483,1,44.56003152883305
110,107-190-207,2,44.442094142405814
110,82-122-469,1,44.41742571212888
110,129-322-454,2,162.8734840811209
110,35-89-138,1,44.51097565993356
110,162-252-347,2,40.25079164009694
110,107-190-481,1,44.63422428894224
110,194-400-448,1,162.92010774588547
110,217-348-351,2,44.48776606214105
110,219-388-485,1,44.64461483054254
110,243-303-375,1,40.30375750330725
110,245-358-394,1,44.602335052669865
110,115-248-300,2,44.70082018914846
110,10-80-260,2,44.69791584208925
110,320-346-462,1,44.775136857439634
110,324-326-378,2,44.63795879427748
110,2-269-328,1,44.557844142909275
110,278-299-331,1,163.01468375106512
110,172-318-332,1,44.70136496232343
110,72-353-418,1,44.67415802163331
110,225-368-412,1,44.865000225169105
110,103-219-388,1,44.78692648245505
110,103-168-408,2,44.62217200921452
110,91-368-412,2,44.829711598334775
110,23-365-419,2,40.264444789530415
110,261-357-447,2,44.480241873628785
110,278-299-460,1,162.95064540670688
110,190-309-481,1,44.52939720925187
120,2-292-328,2,44.64954491885981
120,7-54-55,1,40.348237322325495
120,10-72-260,2,44.53443451823301
120,13-14-344,2,44.64051418610261
120,18-336-338,1,44.5156757358027
120,0-20-420,2,40.23927441696093
120,10-72-353,1,44.66791459620032
120,104-112-483,1,44.555235974900825
120,107-190-207,2,44.42876737110584
120,82-122-469,1,44.40305500797233
120,129-322-454,2,162.86944345718445
120,35-89-138,1,44.502868549038766
120,162-252-347,2,40.2474845616771
120,107-190-481,1,44.63391002208118
120,194-400-448,1,162.91880398144673
120,217-348-351,2,44.47757135344464
120,219-388-485,1,44.64511882770072
120,243-303-375,1,40.303742745301
120,245-358-394,1,44.600256857981286
120,115-248-300,2,44.70490302089487
120,10-80-260,2,44.70236048149651
120,320-346-462,1,44.78613392807676
120,324-326-378,2,44.63678866730212
120,2-269-328,1,44.553644573388496
120,278-299-331,1,163.02058489779841
120,172-318-332,1,44.70620190846528
120,72-353-418,1,44.676427185407526
120,225-368-412,1,44.881286538914175
120,103-219-388,1,44.79439653311509
120,103-168-408,2,44.62100798812727
120,91-368-412,2,44.8428192148425
120,23-365-419,2,40.26275521583337
120,261-357-447,2,44.469683389587125
120,278-299-460,1,162.95272333679094
120,190-309-481,1,44.52215267522612
130,2-292-328,2,44.64943423192493
130,7-54-55,1,40.352791078893866
130,10-72-260,2,44.53001030941648
130,13-14-344,2,44.64126364583347
130,18-336-338,1,44.50686192334928
130,0-20-420,2,40.23559326302539
130,10-72-353,1,44.669843574892106
130,104-112-483,1,44.55053968902349
130,107-190-207,2,44.4155776724914
130,82-122-469,1,44.38890585043563
130,129-322-454,2,162.8654269627031
130,35-89-138,1,44.49487977028619
130,162-252-347,2,40.24419158516671
130,107-190-481,1,44.63353447045499
130,194-400-448,1,162.91740774323677
130,217-348-351,2,44.46749751591133
130,219-388-485,1,44.645549777225675
130,243-303-375,1,40.30366687790852
130,245-358-394,1,44.59818929175088
130,115-248-300,2,44.708821691588376
130,10-80-260,2,44.706731845801045
130,320-346-462,1,44.797106581389
130,324-326-378,2,44.635427393562665
130,2-269-328,1,44.54961419825516
130,278-299-331,1,163.0264039874039
130,172-318-332,1,44.710982818405874
130,72-353-418,1,44.67863060795765
130,225-368-412,1,44.89739234918538
130,103-219-388,1,44.8014186007922
130,103-168-408,2,44.61979679787914
130,91-368-412,2,44.855684685201076
130,23-365-419,2,40.26114156607298
130,261-357-447,2,44.45924164382375
130,278-299-460,1,162.95483077477482
130,190-309-481,1,44.514975536968514
140,2-292-328,2,44.649236368847106
140,7-54-55,1,40.35739427874088
140,10-72-260,2,44.52584831058811
140,13-14-344,2,44.64202917087847
140,18-336-338,1,44.49804364038451
140,0-20-420,2,40.23197144928266
140,10-72-353,1,44.67169765454425
140,104-112-483,1,44.545963749418554
140,107-190-207,2,44.402595320406185
140,82-122-469,1,44.375045057802055
140,129-322-454,2,162.86145562686102
140,35-89-138,1,44.48704898544114
140,162-252-347,2,40.240930176589764
140,107-190-481,1,44.63310110226997
140,194-400-448,1,162.91593011452264
140,217-348-351,2,44.45759612067945
140,219-388-485,1,44.64589836146402
140,243-303-375,1,40.303528969942136
140,245-358-394,1,44.59614126384454
140,115-248-300,2,44.71255339177149
140,10-80-260,2,44.711009063053666
140,269-328-435,1,44.42212097034995
140,320-346-462,1,44.80799421899604
140,324-326-378,2,44.63389115543962
140,2-269-328,1,44.54575930796704
