Frame,ClusterID,Charge,Lifetime
0,172-318-332,1,-1
0,245-358-394,1,-1
0,10-72-353,1,-1
0,243-303-375,1,-1
0,23-365-419,2,-1
0,225-368-412,1,-1
0,7-54-55,1,-1
0,18-336-338,1,-1
0,129-322-454,2,-1
0,115-248-300,2,-1
0,107-190-207,2,-1
0,13-14-344,2,-1
0,162-252-347,2,-1
0,10-80-260,2,-1
0,324-326-378,2,-1
0,103-219-388,1,-1
0,2-269-328,1,-1
0,0-20-420,2,-1
0,82-122-469,1,-1
0,35-89-138,1,-1
0,72-353-418,1,-1
0,194-400-448,1,-1
0,190-309-481,1,-1
0,219-388-485,1,-1
0,278-299-460,1,-1
0,320-346-462,1,-1
0,91-368-412,2,-1
0,261-357-447,2,-1
0,2-292-328,2,-1
0,107-190-481,1,-1
0,10-72-260,2,-1
0,278-299-331,1,-1
0,103-168-408,2,-1
0,217-348-351,2,-1
0,104-112-483,1,-1
10,172-318-332,1,9
10,245-358-394,1,9
10,10-72-353,1,9
10,243-303-375,1,9
10,23-365-419,2,9
10,225-368-412,1,9
10,7-54-55,1,9
10,18-336-338,1,9
10,129-322-454,2,9
10,115-248-300,2,9
10,107-190-207,2,9
10,13-14-344,2,9
10,162-252-347,2,9
10,10-80-260,2,9
10,324-326-378,2,9
10,103-219-388,1,9
10,2-269-328,1,9
10,0-20-420,2,9
10,82-122-469,1,9
10,35-89-138,1,9
10,72-353-418,1,9
10,194-400-448,1,9
10,190-309-481,1,9
10,219-388-485,1,9
10,278-299-460,1,9
10,320-346-462,1,9
10,91-368-412,2,9
10,261-357-447,2,9
10,2-292-328,2,9
10,107-190-481,1,9
10,10-72-260,2,9
10,278-299-331,1,9
10,103-168-408,2,9
10,217-348-351,2,9
10,104-112-483,1,9
20,172-318-332,1,19
20,245-358-394,1,19
20,10-72-353,1,19
20,243-303-375,1,19
20,23-365-419,2,19
20,225-368-412,1,19
20,7-54-55,1,19
20,18-336-338,1,19
20,129-322-454,2,19
20,115-248-300,2,19
20,107-190-207,2,19
20,13-14-344,2,19
20,162-252-347,2,19
20,10-80-260,2,19
20,324-326-378,2,19
20,103-219-388,1,19
