Frame,KE,StableProtons,UnstableParticles,NewBorn,Dissolved,SpinFlips,ColorFlips,AvgClusterSize,MinClusterSize,MaxClusterSize,MinDistance,MaxDistance,MeanDistance
0,0.73117,98,264,130,0,0,1,1.16,0,4,0.37497,10.18041,4.24502
1,2.22089,98,264,0,0,0,1,1.16,0,4,0.37492,10.18042,4.24507
2,4.32148,99,264,1,1,0,3,1.16,0,4,0.37485,10.18044,4.24512
3,6.80470,99,264,0,0,0,1,1.16,0,4,0.37479,10.18046,4.24519
4,9.49795,96,273,0,4,0,4,1.16,0,4,0.37472,10.18048,4.24526
5,12.10064,97,270,1,0,0,2,1.16,0,4,0.37465,10.1805,4.24533
6,14.63700,98,271,2,1,0,2,1.16,0,4,0.37458,10.18053,4.2454
7,17.04407,97,275,0,2,0,3,1.16,0,4,0.37451,10.18055,4.24547
8,19.28020,95,279,1,3,0,2,1.16,0,4,0.37445,10.18057,4.24553
9,21.31993,94,280,0,1,0,1,1.16,0,4,0.37438,10.18059,4.2456
10,23.14996,95,278,1,0,0,1,1.16,0,4,0.37433,10.18061,4.24565
11,24.76597,94,281,0,1,0,3,1.16,0,4,0.37428,10.18063,4.24571
12,26.17018,95,275,2,0,0,2,1.16,0,4,0.37423,10.18065,4.24576
13,27.36944,95,275,0,0,0,2,1.16,0,4,0.37418,10.18066,4.2458
14,28.37372,95,275,0,0,0,2,1.16,0,4,0.37414,10.18068,4.24585
15,29.19505,95,278,1,2,0,0,1.16,0,4,0.3741,10.18069,4.24589
16,29.84661,97,270,4,0,0,0,1.16,0,4,0.37407,10.1807,4.24592
17,30.34215,98,272,1,2,0,2,1.16,0,4,0.37404,10.18071,4.24595
18,30.69549,98,270,1,0,0,1,1.16,0,4,0.37401,10.18072,4.24598
19,30.92018,98,270,0,0,0,0,1.16,0,4,0.37399,10.18073,4.24601
20,31.02928,99,267,2,1,0,2,1.16,0,4,0.37396,10.18074,4.24603
21,31.03521,99,270,0,1,0,2,1.16,0,4,0.37394,10.18075,4.24605
22,30.94960,98,272,0,2,0,1,1.16,0,4,0.37392,10.18076,4.24607
23,30.78333,96,278,1,3,0,2,1.16,0,4,0.37391,10.18076,4.24609
24,30.54639,98,273,4,1,0,4,1.16,0,4,0.37389,10.18077,4.24611
25,30.24801,97,273,1,1,0,3,1.16,0,4,0.37388,10.18077,4.24612
26,29.89655,98,270,1,0,0,2,1.16,0,4,0.37387,10.18078,4.24613
27,29.49965,97,271,0,1,0,1,1.16,0,4,0.37386,10.18078,4.24615
28,29.06419,97,268,1,0,0,1,1.16,0,4,0.37385,10.18078,4.24616
29,28.59637,98,267,1,0,0,3,1.16,0,4,0.37384,10.18079,4.24616
30,28.10175,99,264,3,0,0,3,1.16,0,4,0.37383,10.18079,4.24617
31,27.58531,99,265,0,1,0,0,1.16,0,4,0.37382,10.18079,4.24618
32,27.05146,99,265,0,0,0,0,1.16,0,4,0.37382,10.1808,4.24619
33,26.50415,100,265,1,1,0,2,1.16,0,4,0.37381,10.1808,4.24619
34,25.94685,101,261,2,0,0,3,1.16,0,4,0.37381,10.1808,4.2462
35,25.38263,101,261,0,0,0,1,1.16,0,4,0.3738,10.1808,4.2462
36,24.81418,98,270,0,5,0,1,1.16,0,4,0.3738,10.1808,4.24621
37,24.24386,97,271,1,2,0,2,1.16,0,4,0.37379,10.1808,4.24621
38,23.67374,96,277,2,4,0,0,1.16,0,4,0.37379,10.18081,4.24621
39,23.10560,95,280,0,1,0,1,1.16,0,4,0.37379,10.18081,4.24622
40,22.54098,95,280,0,0,0,2,1.16,0,4,0.37378,10.18081,4.24622
41,21.98124,96,276,2,1,0,3,1.16,0,4,0.37378,10.18081,4.24622
42,21.42749,97,273,3,1,0,5,1.16,0,4,0.37378,10.18081,4.24622
43,20.88071,97,269,4,2,0,1,1.16,0,4,0.37378,10.18081,4.24623
44,20.34172,96,274,0,2,0,3,1.16,0,4,0.37378,10.18081,4.24623
45,19.81119,94,277,0,3,0,0,1.16,0,4,0.37377,10.18081,4.24623
46,19.28970,94,279,1,1,0,2,1.16,0,4,0.37377,10.18081,4.24623
47,18.77769,93,279,1,1,0,4,1.16,0,4,0.37377,10.18081,4.24623
48,18.27552,95,275,2,0,0,1,1.16,0,4,0.37377,10.18081,4.24623
49,17.78349,94,278,0,1,0,0,1.16,0,4,0.37377,10.18081,4.24624
50,17.30181,94,278,0,0,0,0,1.16,0,4,0.37377,10.18081,4.24624
51,16.83061,94,277,1,1,0,1,1.16,0,4,0.37377,10.18081,4.24624
52,16.37000,94,277,0,0,0,1,1.16,0,4,0.37377,10.18081,4.24624
53,15.92003,97,273,5,3,0,1,1.16,0,4,0.37377,10.18081,4.24624
54,15.48069,98,266,3,0,0,1,1.16,0,4,0.37376,10.18081,4.24624
55,15.05196,98,264,2,2,0,3,1.16,0,4,0.37376,10.18081,4.24624
56,14.63378,98,264,0,0,0,2,1.16,0,4,0.37376,10.18081,4.24624
57,14.22606,97,267,0,1,0,0,1.16,0,4,0.37376,10.18082,4.24624
58,13.82869,97,267,0,0,0,2,1.16,0,4,0.37376,10.18082,4.24624
59,13.44154,95,271,0,2,0,1,1.16,0,4,0.37376,10.18082,4.24624
60,13.06447,94,271,1,3,0,2,1.16,0,4,0.37376,10.18082,4.24624
61,12.69732,94,271,0,0,0,0,1.16,0,4,0.37376,10.18082,4.24624
62,12.33993,94,271,0,0,0,0,1.16,0,4,0.37376,10.18082,4.24624
63,11.99210,94,271,0,0,0,2,1.16,0,4,0.37376,10.18082,4.24625
64,11.65367,95,269,3,1,0,5,1.16,0,4,0.37376,10.18082,4.24625
65,11.32444,95,269,0,0,0,1,1.16,0,4,0.37376,10.18082,4.24625
66,11.00421,94,274,0,3,0,0,1.16,0,4,0.37376,10.18082,4.24625
67,10.69279,95,273,1,0,0,1,1.16,0,4,0.37376,10.18082,4.24625
68,10.38998,95,273,0,0,0,3,1.16,0,4,0.37376,10.18082,4.24625
69,10.09558,95,273,0,0,0,1,1.16,0,4,0.37376,10.18082,4.24625
70,9.80939,94,274,0,1,0,0,1.16,0,4,0.37376,10.18082,4.24625
71,9.66648,94,271,2,1,0,3,1.16,0,4,0.37376,10.18082,4.24625
72,9.52548,95,270,1,0,0,1,1.16,0,4,0.37376,10.18082,4.24625
73,9.38639,94,274,1,3,0,3,1.16,0,4,0.37376,10.18082,4.24625
74,9.24921,93,277,0,1,0,3,1.16,0,4,0.37376,10.18082,4.24625
75,9.11394,95,276,2,0,0,5,1.16,0,4,0.37376,10.18082,4.24625
76,8.98057,94,279,0,1,0,1,1.16,0,4,0.37376,10.18082,4.24625
77,8.84908,94,280,0,1,0,5,1.16,0,4,0.37376,10.18082,4.24625
78,8.71947,94,278,1,1,0,1,1.16,0,4,0.37376,10.18082,4.24625
79,8.59172,94,278,1,1,0,1,1.16,0,4,0.37376,10.18082,4.24625
80,8.46581,94,278,1,2,0,2,1.16,0,4,0.37376,10.18082,4.24625
81,8.34173,94,277,2,2,0,3,1.16,0,4,0.37376,10.18082,4.24625
82,8.21946,93,280,0,1,0,2,1.16,0,4,0.37375,10.18082,4.24625
83,8.09899,92,283,1,2,0,3,1.16,0,4,0.37375,10.18082,4.24625
84,7.98028,93,282,2,0,0,3,1.16,0,4,0.37375,10.18082,4.24625
85,7.86333,94,282,1,1,0,2,1.16,0,4,0.37375,10.18082,4.24625
86,7.74811,93,286,0,2,0,1,1.16,0,4,0.37375,10.18082,4.24625
87,7.63461,94,282,2,0,0,1,1.16,0,4,0.37375,10.18082,4.24625
88,7.52279,96,278,3,0,0,7,1.16,0,4,0.37375,10.18082,4.24625
89,7.41265,95,279,1,2,0,4,1.16,0,4,0.37375,10.18082,4.24625
90,7.30415,95,282,0,1,0,1,1.16,0,4,0.37375,10.18082,4.24625
91,7.19727,94,285,0,1,0,2,1.16,0,4,0.37375,10.18082,4.24625
92,7.09200,94,288,0,1,0,2,1.16,0,4,0.37375,10.18082,4.24625
93,6.98832,94,285,1,0,0,3,1.16,0,4,0.37375,10.18082,4.24625
94,6.88619,94,285,0,0,0,2,1.16,0,4,0.37375,10.18082,4.24625
95,6.78560,93,284,1,1,0,2,1.16,0,4,0.37375,10.18082,4.24625
96,6.68653,94,282,2,1,0,3,1.16,0,4,0.37375,10.18082,4.24625
97,6.58895,94,283,0,1,0,0,1.16,0,4,0.37375,10.18082,4.24625
98,6.49285,94,283,0,0,0,0,1.16,0,4,0.37375,10.18082,4.24625
99,6.39820,95,282,1,0,0,4,1.16,0,4,0.37375,10.18082,4.24625
100,6.30498,96,279,1,0,0,0,1.16,0,4,0.37375,10.18082,4.24625
101,6.21317,95,279,1,1,0,3,1.16,0,4,0.37375,10.18082,4.24625
102,6.12275,94,277,1,1,0,2,1.16,0,4,0.37375,10.18082,4.24626
103,6.03370,95,278,2,1,0,1,1.16,0,4,0.37375,10.18082,4.24626
104,5.94600,97,272,5,1,0,2,1.16,0,4,0.37375,10.18082,4.24626
105,5.85963,98,269,1,0,0,4,1.16,0,4,0.37375,10.18082,4.24626
106,5.77456,97,271,0,1,0,4,1.16,0,4,0.37375,10.18082,4.24626
107,5.69079,97,271,0,0,0,2,1.16,0,4,0.37375,10.18082,4.24626
108,5.60828,96,271,1,2,0,4,1.16,0,4,0.37375,10.18082,4.24626
109,5.52702,93,277,0,4,0,2,1.16,0,4,0.37375,10.18082,4.24626
110,5.44700,93,277,0,0,0,1,1.16,0,4,0.37375,10.18082,4.24626
111,5.36818,95,275,3,0,0,2,1.16,0,4,0.37375,10.18082,4.24626
112,5.29056,96,273,1,0,0,0,1.16,0,4,0.37375,10.18082,4.24626
113,5.21412,96,270,1,0,0,1,1.16,0,4,0.37375,10.18082,4.24626
114,5.13883,96,270,0,0,0,1,1.16,0,4,0.37375,10.18082,4.24626
115,5.06469,97,267,1,0,0,0,1.16,0,4,0.37375,10.18082,4.24626
116,4.99166,96,269,0,1,0,0,1.16,0,4,0.37375,10.18082,4.24626
117,4.91975,96,269,0,0,0,0,1.16,0,4,0.37375,10.18082,4.24626
118,4.84892,96,268,2,1,0,1,1.16,0,4,0.37375,10.18082,4.24626
119,4.77916,95,268,0,1,0,2,1.16,0,4,0.37375,10.18082,4.24626
120,4.71046,96,270,1,1,0,2,1.16,0,4,0.37375,10.18082,4.24626
121,4.64279,96,270,0,0,0,2,1.16,0,4,0.37375,10.18082,4.24626
122,4.57615,98,263,3,0,0,0,1.16,0,4,0.37375,10.18082,4.24626
123,4.51052,97,261,1,1,0,0,1.16,0,4,0.37375,10.18082,4.24626
124,4.44588,95,265,0,2,0,2,1.16,0,4,0.37375,10.18082,4.24626
125,4.38221,96,262,2,0,0,1,1.16,0,4,0.37375,10.18082,4.24626
126,4.31951,96,262,0,0,0,1,1.16,0,4,0.37375,10.18082,4.24626
127,4.25775,96,265,0,1,0,1,1.16,0,4,0.37375,10.18082,4.24626
128,4.19692,96,260,2,1,0,4,1.16,0,4,0.37375,10.18082,4.24626
129,4.13702,95,261,0,1,0,6,1.16,0,4,0.37375,10.18082,4.24626
130,4.07801,96,259,2,0,0,1,1.16,0,4,0.37375,10.18082,4.24626
131,4.01990,95,260,0,1,0,2,1.16,0,4,0.37375,10.18082,4.24626
132,3.96266,96,256,2,1,0,4,1.16,0,4,0.37375,10.18082,4.24626
133,3.90628,99,249,4,0,0,2,1.16,0,4,0.37375,10.18082,4.24626
134,3.85076,100,242,4,1,0,5,1.16,0,4,0.37375,10.18082,4.24626
135,3.79606,100,242,0,0,0,4,1.16,0,4,0.37375,10.18082,4.24626
136,3.74220,101,239,2,0,0,3,1.16,0,4,0.37375,10.18082,4.24626
137,3.68914,100,241,0,2,0,1,1.16,0,4,0.37375,10.18082,4.24626
138,3.63688,99,244,0,1,0,3,1.16,0,4,0.37375,10.18082,4.24626
139,3.58540,100,241,1,0,0,1,1.16,0,4,0.37374,10.18082,4.24626
140,3.53470,101,238,3,1,0,0,1.16,0,4,0.37374,10.18082,4.24626
141,3.48476,99,242,0,2,0,0,1.16,0,4,0.37374,10.18082,4.24626
142,3.43557,99,242,0,0,0,3,1.16,0,4,0.37374,10.18082,4.24626
143,3.38712,99,245,0,1,0,2,1.16,0,4,0.37374,10.18082,4.24626
144,3.33939,99,245,2,2,0,6,1.16,0,4,0.37374,10.18082,4.24626
145,3.29238,97,248,0,2,0,2,1.16,0,4,0.37374,10.18082,4.24626
146,3.24608,97,251,0,1,0,1,1.16,0,4,0.37374,10.18082,4.24626
147,3.20047,96,255,0,2,0,2,1.16,0,4,0.37374,10.18082,4.24626
148,3.15554,96,258,0,1,0,2,1.16,0,4,0.37374,10.18082,4.24626
149,3.11128,96,256,2,2,0,0,1.16,0,4,0.37374,10.18082,4.24626
150,3.06769,96,256,1,1,0,1,1.16,0,4,0.37374,10.18082,4.24626
151,3.02475,95,257,0,1,0,2,1.16,0,4,0.37374,10.18082,4.24626
152,2.98245,98,250,5,3,0,5,1.16,0,4,0.37374,10.18082,4.24626
153,2.94078,98,250,0,0,0,0,1.16,0,4,0.37374,10.18082,4.24626
154,2.89974,97,252,0,1,0,1,1.16,0,4,0.37374,10.18082,4.24626
155,2.85930,96,252,0,1,0,3,1.16,0,4,0.37374,10.18082,4.24626
156,2.81947,96,252,0,0,0,1,1.16,0,4,0.37374,10.18082,4.24626
157,2.78024,95,255,0,1,0,2,1.16,0,4,0.37374,10.18082,4.24626
158,2.74159,96,252,1,0,0,1,1.16,0,4,0.37374,10.18082,4.24626
159,2.70351,98,243,5,0,0,1,1.16,0,4,0.37374,10.18082,4.24626
160,2.66601,99,241,2,0,0,2,1.16,0,4,0.37374,10.18082,4.24626
161,2.62906,102,235,5,1,0,6,1.16,0,4,0.37374,10.18082,4.24626
162,2.59266,102,233,1,1,0,2,1.16,0,4,0.37374,10.18082,4.24626
163,2.55680,103,232,2,1,0,5,1.16,0,4,0.37374,10.18082,4.24626
164,2.52148,104,232,1,0,0,1,1.16,0,4,0.37374,10.18082,4.24626
165,2.48668,104,232,0,0,0,2,1.16,0,4,0.37374,10.18082,4.24626
166,2.45239,105,229,1,0,0,2,1.16,0,4,0.37374,10.18082,4.24626
167,2.41862,105,233,2,3,0,6,1.16,0,4,0.37374,10.18082,4.24626
168,2.38535,104,239,0,2,0,3,1.16,0,4,0.37374,10.18082,4.24627
169,2.35257,104,239,0,0,0,1,1.16,0,4,0.37374,10.18082,4.24627
170,2.32027,104,240,1,1,0,3,1.16,0,4,0.37374,10.18082,4.24627
171,2.28846,106,231,5,0,0,3,1.16,0,4,0.37374,10.18082,4.24627
172,2.25711,104,235,0,3,0,2,1.16,0,4,0.37374,10.18082,4.24627
173,2.22623,103,240,2,3,0,3,1.16,0,4,0.37374,10.18082,4.24627
174,2.19581,102,241,1,2,0,4,1.16,0,4,0.37374,10.18082,4.24627
175,2.16583,102,241,0,0,0,1,1.16,0,4,0.37374,10.18082,4.24627
176,2.13630,100,246,0,3,0,3,1.16,0,4,0.37374,10.18082,4.24627
177,2.10721,100,246,0,0,0,1,1.16,0,4,0.37374,10.18082,4.24627
178,2.07854,101,249,1,2,0,1,1.16,0,4,0.37374,10.18082,4.24627
179,2.05030,102,247,2,0,0,2,1.16,0,4,0.37374,10.18082,4.24627
180,2.02247,102,250,0,1,0,2,1.16,0,4,0.37374,10.18082,4.24627
181,1.99506,102,253,0,1,0,2,1.16,0,4,0.37374,10.18082,4.24627
182,1.96804,101,254,0,1,0,2,1.16,0,4,0.37374,10.18082,4.24627
183,1.94143,102,250,2,0,0,4,1.16,0,4,0.37374,10.18082,4.24627
184,1.91520,103,247,1,0,0,3,1.16,0,4,0.37374,10.18082,4.24627
185,1.88937,103,244,2,1,0,4,1.16,0,4,0.37374,10.18082,4.24627
186,1.86391,103,244,1,1,0,3,1.16,0,4,0.37374,10.18082,4.24627
187,1.83882,103,247,1,2,0,4,1.16,0,4,0.37374,10.18082,4.24627
188,1.81411,103,247,1,1,0,3,1.16,0,4,0.37374,10.18082,4.24627
