Frame,SpinFlips,ColorFlips,DT,KineticEnergy,PotentialEnergy,HamiltonianEnergy
0,0,0,0.0009,0.152691,-4559.145862,-4558.993172
1,0,1,0.000811,0.357598,-4559.200058,-4558.84246
2,0,0,0.00073,0.647763,-4559.269176,-4558.621413
3,0,1,0.000657,0.99224,-4559.347844,-4558.355604
4,0,0,0.000592,1.362062,-4559.431725,-4558.069663
5,0,0,0.000533,1.742854,-4559.517692,-4557.774838
6,0,2,0.00048,2.121692,-4559.60344,-4557.481747
7,0,1,0.000432,2.4893,-4559.687305,-4557.198005
8,0,0,0.000389,2.839229,-4559.768122,-4556.928893
9,0,0,0.000351,3.167209,-4559.845112,-4556.677903
10,0,0,0.000316,3.470627,-4559.917786,-4556.447158
11,0,1,0.000284,3.748126,-4559.985879,-4556.237753
12,0,0,0.000256,3.999281,-4560.049294,-4556.050013
13,0,1,0.000231,4.22435,-4560.108054,-4555.883704
14,0,0,0.000208,4.424082,-4560.16227,-4555.738188
15,0,0,0.000188,4.59956,-4560.212115,-4555.612554
16,0,2,0.000169,4.752093,-4560.257802,-4555.505709
17,0,0,0.000152,4.88312,-4560.299571,-4555.416452
18,0,3,0.000138,4.994148,-4560.337675,-4555.343527
19,0,0,0.000124,5.086701,-4560.372369,-4555.285668
20,0,1,0.000112,5.162284,-4560.403909,-4555.241625
21,0,0,0.000101,5.222358,-4560.432543,-4555.210185
22,0,1,9.1e-05,5.268321,-4560.45851,-4555.190189
23,0,1,8.2e-05,5.301496,-4560.482036,-4555.18054
24,0,1,7.4e-05,5.323127,-4560.503335,-4555.180208
25,0,4,6.7e-05,5.334372,-4560.522606,-4555.188234
26,0,0,6.1e-05,5.336305,-4560.540035,-4555.203729
27,0,2,5.5e-05,5.329918,-4560.555793,-4555.225875
28,0,0,5e-05,5.316119,-4560.570037,-4555.253919
29,0,1,4.5e-05,5.29574,-4560.582914,-4555.287174
30,0,1,4.1e-05,5.269541,-4560.594554,-4555.325013
31,0,1,3.7e-05,5.238211,-4560.605079,-4555.366868
32,0,1,3.4e-05,5.202376,-4560.614599,-4555.412223
33,0,3,3.1e-05,5.162604,-4560.623214,-4555.46061
34,0,2,2.8e-05,5.119404,-4560.631013,-4555.511609
35,0,2,2.5e-05,5.073239,-4560.638079,-4555.56484
36,0,0,2.3e-05,5.024524,-4560.644487,-4555.619963
37,0,0,2.1e-05,4.973631,-4560.650301,-4555.676671
38,0,0,1.9e-05,4.920894,-4560.655584,-4555.73469
39,0,1,1.8e-05,4.866614,-4560.660389,-4555.793776
40,0,2,1.6e-05,4.811057,-4560.664766,-4555.853709
41,0,1,1.5e-05,4.754463,-4560.668757,-4555.914294
42,0,1,1.4e-05,4.697046,-4560.672403,-4555.975356
43,0,0,1.2e-05,4.638996,-4560.675739,-4556.036743
44,0,1,1.2e-05,4.58048,-4560.678797,-4556.098316
45,0,3,1.1e-05,4.52165,-4560.681605,-4556.159954
46,0,2,1e-05,4.462638,-4560.684189,-4556.221551
47,0,2,9e-06,4.403562,-4560.686573,-4556.283011
48,0,2,9e-06,4.344526,-4560.688776,-4556.34425
49,0,0,8e-06,4.28562,-4560.690818,-4556.405197
50,0,1,7e-06,4.226927,-4560.692714,-4556.465787
51,0,1,7e-06,4.168515,-4560.69448,-4556.525965
52,0,2,7e-06,4.110448,-4560.696129,-4556.585681
53,0,1,6e-06,4.052778,-4560.697672,-4556.644894
54,0,1,6e-06,3.995553,-4560.699121,-4556.703568
55,0,0,6e-06,3.938813,-4560.700485,-4556.761671
56,0,0,5e-06,3.882593,-4560.701772,-4556.819179
57,0,2,5e-06,3.826923,-4560.70299,-4556.876067
58,0,0,5e-06,3.771828,-4560.704146,-4556.932318
59,0,1,5e-06,3.717328,-4560.705246,-4556.987918
60,0,1,4e-06,3.663443,-4560.706295,-4557.042852
61,0,0,4e-06,3.610187,-4560.707299,-4557.097112
62,0,2,4e-06,3.557572,-4560.708261,-4557.15069
63,0,0,4e-06,3.505606,-4560.709186,-4557.20358
64,0,1,4e-06,3.454297,-4560.710077,-4557.25578
65,0,0,4e-06,3.403651,-4560.710937,-4557.307287
66,0,3,4e-06,3.35367,-4560.711769,-4557.358099
67,0,4,4e-06,3.304357,-4560.712576,-4557.408219
68,0,2,3e-06,3.255712,-4560.71336,-4557.457647
69,0,0,3e-06,3.207735,-4560.714122,-4557.506387
70,0,1,3e-06,3.160424,-4560.714865,-4557.554441
71,0,1,3e-06,3.113776,-4560.715589,-4557.601813
72,0,0,3e-06,3.067789,-4560.716298,-4557.648509
73,0,1,3e-06,3.022457,-4560.716991,-4557.694534
74,0,3,3e-06,2.977777,-4560.717671,-4557.739894
75,0,0,3e-06,2.933744,-4560.718338,-4557.784594
76,0,2,3e-06,2.890351,-4560.718992,-4557.828642
77,0,1,3e-06,2.847592,-4560.719636,-4557.872044
78,0,0,3e-06,2.805462,-4560.720269,-4557.914807
79,0,2,3e-06,2.763954,-4560.720893,-4557.956939
80,0,0,3e-06,2.72306,-4560.721507,-4557.998447
81,0,1,3e-06,2.682774,-4560.722113,-4558.039339
82,0,1,3e-06,2.643089,-4560.722711,-4558.079622
83,0,2,3e-06,2.603997,-4560.723301,-4558.119304
84,0,1,3e-06,2.56549,-4560.723884,-4558.158394
85,0,0,3e-06,2.527562,-4560.72446,-4558.196898
86,0,2,3e-06,2.490204,-4560.72503,-4558.234825
87,0,0,3e-06,2.45341,-4560.725593,-4558.272183
88,0,2,3e-06,2.41717,-4560.72615,-4558.30898
89,0,0,3e-06,2.381479,-4560.726702,-4558.345223
90,0,2,3e-06,2.346327,-4560.727248,-4558.380921
91,0,1,3e-06,2.311708,-4560.727789,-4558.416081
92,0,1,3e-06,2.277614,-4560.728324,-4558.45071
93,0,1,3e-06,2.244037,-4560.728855,-4558.484818
94,0,1,3e-06,2.21097,-4560.729381,-4558.51841
95,0,0,3e-06,2.178406,-4560.729902,-4558.551496
96,0,0,3e-06,2.146337,-4560.730418,-4558.584082
97,0,1,3e-06,2.114755,-4560.73093,-4558.616175
98,0,1,3e-06,2.083654,-4560.731438,-4558.647784
99,0,1,3e-06,2.053026,-4560.731941,-4558.678915
100,0,0,3e-06,2.022865,-4560.73244,-4558.709575
101,0,0,3e-06,1.993163,-4560.732936,-4558.739773
102,0,0,3e-06,1.963913,-4560.733427,-4558.769513
103,0,0,3e-06,1.935109,-4560.733914,-4558.798805
104,0,1,3e-06,1.906744,-4560.734397,-4558.827653
105,0,1,3e-06,1.87881,-4560.734877,-4558.856066
106,0,1,3e-06,1.851303,-4560.735352,-4558.88405
107,0,2,3e-06,1.824214,-4560.735824,-4558.91161
108,0,2,3e-06,1.797538,-4560.736293,-4558.938755
109,0,2,3e-06,1.771268,-4560.736757,-4558.965489
110,0,1,3e-06,1.745398,-4560.737218,-4558.99182
111,0,1,3e-06,1.719923,-4560.737676,-4559.017754
112,0,1,3e-06,1.694835,-4560.73813,-4559.043296
113,0,4,3e-06,1.670129,-4560.738581,-4559.068452
114,0,0,3e-06,1.645799,-4560.739028,-4559.09323
115,0,0,3e-06,1.621839,-4560.739472,-4559.117633
116,0,0,3e-06,1.598244,-4560.739913,-4559.141669
117,0,0,3e-06,1.575008,-4560.740351,-4559.165343
118,0,1,3e-06,1.552125,-4560.740785,-4559.18866
119,0,1,3e-06,1.52959,-4560.741216,-4559.211626
120,0,1,3e-06,1.507397,-4560.741644,-4559.234246
121,0,2,3e-06,1.485542,-4560.742068,-4559.256526
122,0,1,3e-06,1.464019,-4560.74249,-4559.278471
123,0,3,3e-06,1.442823,-4560.742908,-4559.300086
124,0,1,3e-06,1.421948,-4560.743323,-4559.321375
125,0,4,3e-06,1.40139,-4560.743736,-4559.342345
126,0,0,3e-06,1.381145,-4560.744145,-4559.363
127,0,1,3e-06,1.361206,-4560.744551,-4559.383345
128,0,0,3e-06,1.34157,-4560.744955,-4559.403385
129,0,2,3e-06,1.322231,-4560.745355,-4559.423124
130,0,1,3e-06,1.303186,-4560.745753,-4559.442567
131,0,1,3e-06,1.284429,-4560.746147,-4559.461718
132,0,2,3e-06,1.265956,-4560.746539,-4559.480583
133,0,1,3e-06,1.247763,-4560.746928,-4559.499165
134,0,0,3e-06,1.229845,-4560.747314,-4559.517469
135,0,1,3e-06,1.212198,-4560.747697,-4559.535499
136,0,3,3e-06,1.194818,-4560.748078,-4559.55326
137,0,0,3e-06,1.177701,-4560.748456,-4559.570755
138,0,1,3e-06,1.160842,-4560.748831,-4559.587989
139,0,1,3e-06,1.144238,-4560.749203,-4559.604965
140,0,0,3e-06,1.127885,-4560.749573,-4559.621688
141,0,1,3e-06,1.111779,-4560.74994,-4559.638161
142,0,1,3e-06,1.095916,-4560.750305,-4559.654389
143,0,0,3e-06,1.080292,-4560.750666,-4559.670374
144,0,0,3e-06,1.064904,-4560.751026,-4559.686122
145,0,0,3e-06,1.049747,-4560.751382,-4559.701635
146,0,1,3e-06,1.034819,-4560.751737,-4559.716917
147,0,1,3e-06,1.020116,-4560.752088,-4559.731972
148,0,3,3e-06,1.005634,-4560.752437,-4559.746803
149,0,1,3e-06,0.995352,-4560.752785,-4559.757433
150,0,2,3e-06,0.985183,-4560.75313,-4559.767947
151,0,1,3e-06,0.975127,-4560.753474,-4559.778347
152,0,2,3e-06,0.965183,-4560.753816,-4559.788633
153,0,1,3e-06,0.955349,-4560.754156,-4559.798808
154,0,1,3e-06,0.945623,-4560.754495,-4559.808871
155,0,1,3e-06,0.936006,-4560.754832,-4559.818826
156,0,0,3e-06,0.926494,-4560.755167,-4559.828673
157,0,3,3e-06,0.917088,-4560.7555,-4559.838412
