Frame,SpinFlips,ColorFlips,DT,KineticEnergy
0,0,1,0.00090026,0.15829
1,0,0,0.00081049,0.37234
2,0,3,0.00072970,0.67467
3,0,0,0.00065698,1.02905
4,0,1,0.00059154,1.41301
5,0,1,0.00053264,1.80829
6,0,2,0.00047964,2.20148
7,0,1,0.00043193,2.58297
8,0,0,0.00038899,2.94606
9,0,1,0.00035035,3.28633
10,0,1,0.00031557,3.60107
11,0,1,0.00028427,3.88889
12,0,0,0.00025610,4.14933
13,0,3,0.00023075,4.38268
14,0,3,0.00020793,4.58972
15,0,0,0.00018739,4.77158
16,0,0,0.00016891,4.92960
17,0,0,0.00015228,5.06530
18,0,0,0.00013731,5.18024
19,0,4,0.00012383,5.27600
20,0,0,0.00011171,5.35415
21,0,1,0.00010079,5.41620
22,0,0,0.00009097,5.46360
23,0,3,0.00008213,5.49773
24,0,2,0.00007417,5.51988
25,0,0,0.00006701,5.53126
26,0,1,0.00006057,5.53298
27,0,2,0.00005477,5.52607
28,0,2,0.00004955,5.51147
29,0,2,0.00004485,5.49004
30,0,0,0.00004062,5.46258
31,0,0,0.00003682,5.42980
32,0,1,0.00003339,5.39235
33,0,2,0.00003031,5.35082
34,0,0,0.00002753,5.30574
35,0,2,0.00002504,5.25759
36,0,0,0.00002279,5.20680
37,0,1,0.00002077,5.15375
38,0,2,0.00001895,5.09880
39,0,1,0.00001731,5.04225
40,0,0,0.00001584,4.98438
41,0,0,0.00001451,4.92544
42,0,0,0.00001331,4.86565
43,0,0,0.00001224,4.80521
44,0,0,0.00001127,4.74429
45,0,0,0.00001040,4.68305
46,0,1,0.00000962,4.62163
47,0,2,0.00000891,4.56015
48,0,0,0.00000828,4.49872
49,0,0,0.00000771,4.43742
50,0,1,0.00000719,4.37635
51,0,0,0.00000673,4.31558
52,0,0,0.00000631,4.25517
53,0,0,0.00000594,4.19518
54,0,1,0.00000560,4.13565
55,0,2,0.00000530,4.07663
56,0,2,0.00000503,4.01816
57,0,1,0.00000478,3.96026
58,0,1,0.00000456,3.90296
59,0,1,0.00000436,3.84628
60,0,1,0.00000418,3.79025
61,0,0,0.00000402,3.73487
62,0,2,0.00000387,3.68016
63,0,0,0.00000374,3.62613
64,0,2,0.00000363,3.57279
65,0,0,0.00000352,3.52013
66,0,0,0.00000342,3.46817
67,0,1,0.00000334,3.41691
68,0,1,0.00000326,3.36634
69,0,1,0.00000319,3.31647
70,0,1,0.00000313,3.26730
71,0,2,0.00000307,3.21882
72,0,4,0.00000302,3.17102
73,0,0,0.00000298,3.12391
74,0,2,0.00000294,3.07748
75,0,1,0.00000290,3.03172
76,0,0,0.00000287,2.98663
77,0,0,0.00000284,2.94220
78,0,1,0.00000281,2.89842
79,0,1,0.00000279,2.85530
80,0,1,0.00000276,2.81281
81,0,3,0.00000274,2.77096
82,0,1,0.00000273,2.72973
83,0,1,0.00000271,2.68912
84,0,1,0.00000270,2.64912
85,0,1,0.00000268,2.60972
86,0,1,0.00000267,2.57092
87,0,0,0.00000266,2.53271
88,0,4,0.00000265,2.49507
89,0,1,0.00000264,2.45800
90,0,1,0.00000264,2.42150
91,0,0,0.00000263,2.38555
92,0,0,0.00000262,2.35015
93,0,2,0.00000262,2.31528
94,0,1,0.00000261,2.28095
95,0,2,0.00000261,2.24714
96,0,1,0.00000260,2.21385
97,0,0,0.00000260,2.18106
98,0,1,0.00000260,2.14878
99,0,2,0.00000259,2.11698
100,0,1,0.00000259,2.08568
101,0,2,0.00000259,2.05485
102,0,0,0.00000259,2.02449
103,0,0,0.00000258,1.99460
104,0,0,0.00000258,1.96516
105,0,1,0.00000258,1.93617
106,0,0,0.00000258,1.90763
107,0,0,0.00000258,1.87952
108,0,2,0.00000258,1.85184
109,0,1,0.00000258,1.82459
110,0,1,0.00000258,1.79775
111,0,5,0.00000257,1.77132
112,0,0,0.00000257,1.74530
113,0,0,0.00000257,1.71967
114,0,0,0.00000257,1.69444
115,0,0,0.00000257,1.66958
116,0,1,0.00000257,1.64511
117,0,1,0.00000257,1.62102
118,0,0,0.00000257,1.59729
119,0,2,0.00000257,1.57392
120,0,0,0.00000257,1.55091
121,0,3,0.00000257,1.52825
122,0,0,0.00000257,1.50593
123,0,1,0.00000257,1.48396
124,0,1,0.00000257,1.46232
125,0,3,0.00000257,1.44101
126,0,0,0.00000257,1.42003
127,0,0,0.00000257,1.39936
128,0,2,0.00000257,1.37901
129,0,5,0.00000257,1.35897
130,0,1,0.00000257,1.33923
131,0,1,0.00000257,1.31980
132,0,2,0.00000257,1.30065
133,0,1,0.00000257,1.28180
134,0,1,0.00000257,1.26324
135,0,0,0.00000257,1.24496
136,0,2,0.00000257,1.22696
137,0,1,0.00000257,1.20923
138,0,1,0.00000257,1.19176
139,0,2,0.00000257,1.17457
140,0,0,0.00000257,1.15763
141,0,0,0.00000257,1.14095
142,0,1,0.00000257,1.12453
143,0,2,0.00000257,1.10835
144,0,1,0.00000257,1.09242
145,0,0,0.00000257,1.07673
146,0,1,0.00000257,1.06127
147,0,2,0.00000257,1.04605
148,0,0,0.00000257,1.03106
149,0,1,0.00000257,1.01630
150,0,1,0.00000257,1.00176
151,0,0,0.00000257,0.99140
152,0,2,0.00000257,0.98116
153,0,2,0.00000257,0.97104
154,0,1,0.00000257,0.96102
155,0,1,0.00000257,0.95112
156,0,0,0.00000257,0.94133
157,0,3,0.00000257,0.93165
158,0,1,0.00000257,0.92208
159,0,0,0.00000257,0.91261
160,0,1,0.00000257,0.90324
161,0,0,0.00000257,0.89398
162,0,0,0.00000257,0.88483
163,0,0,0.00000257,0.87577
164,0,1,0.00000257,0.86682
165,0,1,0.00000257,0.85796
166,0,1,0.00000257,0.84921
167,0,1,0.00000257,0.84055
168,0,0,0.00000257,0.83198
169,0,0,0.00000257,0.82351
170,0,1,0.00000257,0.81514
171,0,0,0.00000257,0.80686
172,0,1,0.00000257,0.79867
173,0,0,0.00000257,0.79057
174,0,0,0.00000257,0.78255
175,0,1,0.00000257,0.77463
176,0,0,0.00000257,0.76680
177,0,2,0.00000257,0.75905
178,0,0,0.00000257,0.75138
179,0,0,0.00000257,0.74381
180,0,0,0.00000257,0.73631
181,0,0,0.00000257,0.72890
182,0,4,0.00000257,0.72157
183,0,0,0.00000257,0.71432
184,0,1,0.00000257,0.70715
185,0,1,0.00000257,0.70005
186,0,1,0.00000257,0.69304
187,0,0,0.00000257,0.68610
188,0,1,0.00000257,0.67924
189,0,1,0.00000257,0.67246
190,0,1,0.00000257,0.66575
191,0,0,0.00000257,0.65911
192,0,0,0.00000257,0.65254
193,0,2,0.00000257,0.64605
194,0,0,0.00000257,0.63963
195,0,3,0.00000257,0.63328
196,0,1,0.00000257,0.62700
197,0,0,0.00000257,0.62078
198,0,0,0.00000257,0.61464
199,0,1,0.00000257,0.60856
200,0,1,0.00000257,0.60255
201,0,2,0.00000257,0.59660
202,0,0,0.00000257,0.59072
203,0,1,0.00000257,0.58490
204,0,1,0.00000257,0.57915
205,0,0,0.00000257,0.57346
206,0,1,0.00000257,0.56783
207,0,0,0.00000257,0.56226
208,0,1,0.00000257,0.55676
209,0,0,0.00000257,0.55131
210,0,3,0.00000257,0.54592
211,0,1,0.00000257,0.54059
212,0,2,0.00000257,0.53532
213,0,0,0.00000257,0.53010
214,0,2,0.00000257,0.52495
215,0,1,0.00000257,0.51985
216,0,0,0.00000257,0.51480
217,0,2,0.00000257,0.50981
218,0,0,0.00000257,0.50487
219,0,1,0.00000257,0.49998
220,0,0,0.00000257,0.49515
221,0,0,0.00000257,0.49037
222,0,1,0.00000257,0.48564
223,0,1,0.00000257,0.48097
224,0,1,0.00000257,0.47634
225,0,1,0.00000257,0.47177
226,0,0,0.00000257,0.46724
227,0,2,0.00000257,0.46276
228,0,0,0.00000257,0.45833
229,0,0,0.00000257,0.45395
230,0,0,0.00000257,0.44961
231,0,3,0.00000257,0.44532
232,0,0,0.00000257,0.44108
233,0,1,0.00000257,0.43688
234,0,1,0.00000257,0.43273
235,0,0,0.00000257,0.42862
236,0,0,0.00000257,0.42456
237,0,2,0.00000257,0.42054
238,0,1,0.00000257,0.41656
239,0,1,0.00000257,0.41263
240,0,2,0.00000257,0.40874
241,0,2,0.00000257,0.40489
242,0,1,0.00000257,0.40108
243,0,2,0.00000257,0.39731
244,0,4,0.00000257,0.39358
245,0,2,0.00000257,0.38989
246,0,1,0.00000257,0.38624
