Frame,KE,StableProtons,UnstableParticles,NewBorn,Dissolved,SpinFlips,ColorFlips,AvgClusterSize,MinClusterSize,MaxClusterSize,MinDistance,MaxDistance,MeanDistance
0,0.15829,20,28,28,0,0,1,0.55,0,4,0.37498,9.37503,4.20927
1,0.37234,19,31,0,1,0,0,0.55,0,4,0.37495,9.37508,4.2093
2,0.67467,19,31,0,0,0,3,0.55,0,4,0.37492,9.37513,4.20933
3,1.02905,19,31,0,0,0,0,0.55,0,4,0.37488,9.37518,4.20937
4,1.41301,18,34,0,1,0,1,0.55,0,4,0.37485,9.37524,4.2094
5,1.80829,18,34,0,0,0,1,0.55,0,4,0.37481,9.37529,4.20944
6,2.20148,18,34,0,0,0,2,0.55,0,4,0.37477,9.37535,4.20948
7,2.58297,18,34,0,0,0,1,0.55,0,4,0.37474,9.3754,4.20952
8,2.94606,18,34,0,0,0,0,0.55,0,4,0.37471,9.37545,4.20955
9,3.28633,18,34,0,0,0,1,0.55,0,4,0.37467,9.3755,4.20959
10,3.60107,18,34,0,0,0,1,0.55,0,4,0.37464,9.37555,4.20962
11,3.88889,18,34,0,0,0,1,0.55,0,4,0.37462,9.37559,4.20965
12,4.14933,18,34,0,0,0,0,0.55,0,4,0.37459,9.37563,4.20968
13,4.38268,18,34,0,0,0,3,0.55,0,4,0.37457,9.37567,4.20971
14,4.58972,18,34,0,0,0,3,0.55,0,4,0.37455,9.3757,4.20973
15,4.77158,18,34,0,0,0,0,0.55,0,4,0.37453,9.37573,4.20975
16,4.92960,18,34,0,0,0,0,0.55,0,4,0.37451,9.37576,4.20977
17,5.06530,18,31,1,0,0,0,0.55,0,4,0.37449,9.37578,4.20979
18,5.18024,18,31,0,0,0,0,0.55,0,4,0.37448,9.37581,4.20981
19,5.27600,18,34,0,1,0,4,0.55,0,4,0.37446,9.37583,4.20983
20,5.35415,18,34,0,0,0,0,0.55,0,4,0.37445,9.37585,4.20984
21,5.41620,18,34,0,0,0,1,0.55,0,4,0.37444,9.37586,4.20985
22,5.46360,18,34,0,0,0,0,0.55,0,4,0.37443,9.37588,4.20986
23,5.49773,18,34,0,0,0,3,0.55,0,4,0.37442,9.37589,4.20987
24,5.51988,19,30,2,0,0,2,0.55,0,4,0.37441,9.37591,4.20988
25,5.53126,19,30,0,0,0,0,0.55,0,4,0.3744,9.37592,4.20989
26,5.53298,19,30,0,0,0,1,0.55,0,4,0.3744,9.37593,4.2099
27,5.52607,18,33,0,1,0,2,0.55,0,4,0.37439,9.37594,4.20991
28,5.51147,18,33,0,0,0,2,0.55,0,4,0.37439,9.37595,4.20991
29,5.49004,18,33,0,0,0,2,0.55,0,4,0.37438,9.37596,4.20992
30,5.46258,18,33,0,0,0,0,0.55,0,4,0.37438,9.37596,4.20992
31,5.42980,18,33,0,0,0,0,0.55,0,4,0.37437,9.37597,4.20993
32,5.39235,18,33,0,0,0,1,0.55,0,4,0.37437,9.37597,4.20993
33,5.35082,18,33,0,0,0,2,0.55,0,4,0.37436,9.37598,4.20994
34,5.30574,18,33,0,0,0,0,0.55,0,4,0.37436,9.37598,4.20994
35,5.25759,18,33,0,0,0,2,0.55,0,4,0.37436,9.37599,4.20994
36,5.20680,18,33,0,0,0,0,0.55,0,4,0.37435,9.37599,4.20995
37,5.15375,18,33,0,0,0,1,0.55,0,4,0.37435,9.376,4.20995
38,5.09880,18,33,0,0,0,2,0.55,0,4,0.37435,9.376,4.20995
39,5.04225,19,30,1,0,0,1,0.55,0,4,0.37435,9.376,4.20995
40,4.98438,19,30,0,0,0,0,0.55,0,4,0.37435,9.376,4.20996
41,4.92544,19,30,0,0,0,0,0.55,0,4,0.37434,9.37601,4.20996
42,4.86565,19,30,0,0,0,0,0.55,0,4,0.37434,9.37601,4.20996
43,4.80521,20,30,1,2,0,0,0.55,0,4,0.37434,9.37601,4.20996
44,4.74429,20,30,0,0,0,0,0.55,0,4,0.37434,9.37601,4.20996
45,4.68305,20,30,0,0,0,0,0.55,0,4,0.37434,9.37601,4.20996
46,4.62163,20,30,0,0,0,1,0.55,0,4,0.37434,9.37602,4.20996
47,4.56015,20,30,0,0,0,2,0.55,0,4,0.37434,9.37602,4.20997
48,4.49872,20,30,0,0,0,0,0.55,0,4,0.37434,9.37602,4.20997
49,4.43742,20,30,0,0,0,0,0.55,0,4,0.37433,9.37602,4.20997
50,4.37635,20,30,0,0,0,1,0.55,0,4,0.37433,9.37602,4.20997
51,4.31558,20,30,1,1,0,0,0.55,0,4,0.37433,9.37602,4.20997
52,4.25517,20,30,0,0,0,0,0.55,0,4,0.37433,9.37602,4.20997
53,4.19518,20,30,0,0,0,0,0.55,0,4,0.37433,9.37602,4.20997
54,4.13565,20,30,0,0,0,1,0.55,0,4,0.37433,9.37602,4.20997
55,4.07663,20,30,0,0,0,2,0.55,0,4,0.37433,9.37603,4.20997
56,4.01816,19,33,0,1,0,2,0.55,0,4,0.37433,9.37603,4.20997
57,3.96026,19,33,0,0,0,1,0.55,0,4,0.37433,9.37603,4.20997
58,3.90296,19,33,0,0,0,1,0.55,0,4,0.37433,9.37603,4.20997
59,3.84628,19,33,0,0,0,1,0.55,0,4,0.37433,9.37603,4.20997
60,3.79025,19,33,0,0,0,1,0.55,0,4,0.37433,9.37603,4.20997
61,3.73487,19,33,0,0,0,0,0.55,0,4,0.37433,9.37603,4.20997
62,3.68016,19,33,0,0,0,2,0.55,0,4,0.37433,9.37603,4.20997
63,3.62613,19,33,0,0,0,0,0.55,0,4,0.37433,9.37603,4.20998
64,3.57279,19,33,0,0,0,2,0.55,0,4,0.37433,9.37603,4.20998
65,3.52013,19,33,0,0,0,0,0.55,0,4,0.37433,9.37603,4.20998
66,3.46817,19,33,0,0,0,0,0.55,0,4,0.37433,9.37603,4.20998
67,3.41691,19,33,0,0,0,1,0.55,0,4,0.37433,9.37603,4.20998
68,3.36634,19,33,0,0,0,1,0.55,0,4,0.37433,9.37603,4.20998
69,3.31647,19,36,0,1,0,1,0.55,0,4,0.37432,9.37603,4.20998
70,3.26730,19,36,0,0,0,1,0.55,0,4,0.37432,9.37603,4.20998
71,3.21882,20,33,2,0,0,2,0.55,0,4,0.37432,9.37603,4.20998
72,3.17102,20,33,0,0,0,4,0.55,0,4,0.37432,9.37603,4.20998
73,3.12391,20,33,0,0,0,0,0.55,0,4,0.37432,9.37603,4.20998
74,3.07748,20,33,0,0,0,2,0.55,0,4,0.37432,9.37604,4.20998
75,3.03172,20,33,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
76,2.98663,20,33,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20998
77,2.94220,20,33,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20998
78,2.89842,20,33,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
79,2.85530,20,33,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
80,2.81281,20,33,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
81,2.77096,20,34,1,2,0,3,0.55,0,4,0.37432,9.37604,4.20998
82,2.72973,20,34,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
83,2.68912,20,37,0,1,0,1,0.55,0,4,0.37432,9.37604,4.20998
84,2.64912,21,36,2,1,0,1,0.55,0,4,0.37432,9.37604,4.20998
85,2.60972,21,36,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
86,2.57092,21,36,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
87,2.53271,21,36,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20998
88,2.49507,21,36,0,0,0,4,0.55,0,4,0.37432,9.37604,4.20998
89,2.45800,21,36,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
90,2.42150,21,36,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
91,2.38555,21,36,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20998
92,2.35015,21,36,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20998
93,2.31528,21,36,0,0,0,2,0.55,0,4,0.37432,9.37604,4.20998
94,2.28095,20,37,0,1,0,1,0.55,0,4,0.37432,9.37604,4.20998
95,2.24714,20,37,0,0,0,2,0.55,0,4,0.37432,9.37604,4.20998
96,2.21385,20,34,1,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
97,2.18106,20,34,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20998
98,2.14878,20,34,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
99,2.11698,20,34,0,0,0,2,0.55,0,4,0.37432,9.37604,4.20998
100,2.08568,20,34,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20998
101,2.05485,20,34,1,1,0,2,0.55,0,4,0.37432,9.37604,4.20998
102,2.02449,21,31,1,0,0,0,0.55,0,4,0.37432,9.37604,4.20999
103,1.99460,21,31,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20999
104,1.96516,21,31,0,0,0,0,0.55,0,4,0.37432,9.37604,4.20999
105,1.93617,21,31,0,0,0,1,0.55,0,4,0.37432,9.37604,4.20999
106,1.90763,20,34,0,1,0,0,0.55,0,4,0.37432,9.37604,4.20999
107,1.87952,19,37,0,1,0,0,0.55,0,4,0.37432,9.37605,4.20999
108,1.85184,20,37,1,1,0,2,0.55,0,4,0.37432,9.37605,4.20999
109,1.82459,20,37,0,0,0,1,0.55,0,4,0.37432,9.37605,4.20999
110,1.79775,20,37,0,0,0,1,0.55,0,4,0.37432,9.37605,4.20999
111,1.77132,20,37,0,0,0,5,0.55,0,4,0.37432,9.37605,4.20999
112,1.74530,20,37,0,0,0,0,0.55,0,4,0.37432,9.37605,4.20999
113,1.71967,20,37,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
114,1.69444,20,37,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
115,1.66958,20,37,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
116,1.64511,20,37,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
117,1.62102,20,37,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
118,1.59729,20,37,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
119,1.57392,20,37,0,0,0,2,0.55,0,4,0.37431,9.37605,4.20999
120,1.55091,20,37,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
121,1.52825,20,37,0,0,0,3,0.55,0,4,0.37431,9.37605,4.20999
122,1.50593,20,34,1,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
123,1.48396,20,34,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
124,1.46232,20,32,1,1,0,1,0.55,0,4,0.37431,9.37605,4.20999
125,1.44101,20,32,0,0,0,3,0.55,0,4,0.37431,9.37605,4.20999
126,1.42003,20,32,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
127,1.39936,19,35,0,1,0,0,0.55,0,4,0.37431,9.37605,4.20999
128,1.37901,19,35,0,0,0,2,0.55,0,4,0.37431,9.37605,4.20999
129,1.35897,19,35,0,0,0,5,0.55,0,4,0.37431,9.37605,4.20999
130,1.33923,19,35,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
131,1.31980,19,35,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
132,1.30065,19,35,0,0,0,2,0.55,0,4,0.37431,9.37605,4.20999
133,1.28180,18,38,0,1,0,1,0.55,0,4,0.37431,9.37605,4.20999
134,1.26324,18,38,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
135,1.24496,18,38,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
136,1.22696,18,38,0,0,0,2,0.55,0,4,0.37431,9.37605,4.20999
137,1.20923,18,38,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
138,1.19176,18,38,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
139,1.17457,18,38,0,0,0,2,0.55,0,4,0.37431,9.37605,4.20999
140,1.15763,18,38,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
141,1.14095,18,38,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
142,1.12453,18,38,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
143,1.10835,18,38,0,0,0,2,0.55,0,4,0.37431,9.37605,4.20999
144,1.09242,18,38,0,0,0,1,0.55,0,4,0.37431,9.37605,4.20999
145,1.07673,18,38,0,0,0,0,0.55,0,4,0.37431,9.37605,4.20999
